club,marketValueUnformatted,age,data_date,player_id,Name
Hannover 96 II,100000,18,2015-07-14,283001,Noah Joel Sarenren Bazee
Hannover 96 II,50000,19,2015-11-04,283001,Noah Joel Sarenren Bazee
Hannover 96 II,75000,19,2016-02-25,283001,Noah Joel Sarenren Bazee
Hannover 96,200000,19,2016-04-13,283001,Noah Joel Sarenren Bazee
Hannover 96,600000,19,2016-07-22,283001,Noah Joel Sarenren Bazee
Hannover 96,1500000,20,2017-01-23,283001,Noah Joel Sarenren Bazee
Hannover 96,1500000,20,2017-06-27,283001,Noah Joel Sarenren Bazee
Hannover 96,1500000,21,2017-12-28,283001,Noah Joel Sarenren Bazee
Hannover 96,1500000,21,2018-06-05,283001,Noah Joel Sarenren Bazee
Hannover 96,1500000,22,2018-12-18,283001,Noah Joel Sarenren Bazee
Hannover 96,1250000,22,2019-06-05,283001,Noah Joel Sarenren Bazee
FC Augsburg,900000,23,2019-12-17,283001,Noah Joel Sarenren Bazee
FC Augsburg,725000,23,2020-04-08,283001,Noah Joel Sarenren Bazee
FC Augsburg,1500000,23,2020-07-08,283001,Noah Joel Sarenren Bazee
FC Augsburg,1200000,24,2021-02-10,283001,Noah Joel Sarenren Bazee
FC Augsburg,1000000,24,2021-06-09,283001,Noah Joel Sarenren Bazee
FC Augsburg,1000000,25,2021-12-22,283001,Noah Joel Sarenren Bazee
FC Augsburg,1000000,25,2022-06-09,283001,Noah Joel Sarenren Bazee
FC Augsburg,800000,26,2022-11-09,283001,Noah Joel Sarenren Bazee
