club,marketValueUnformatted,age,data_date,player_id,Name
Wadi Degla FC,25000,17,2016-07-01,445939,Omar Marmoush
Wadi Degla FC,50000,17,2017-01-11,445939,Omar Marmoush
Wadi Degla FC,100000,18,2017-07-20,445939,Omar Marmoush
VfL Wolfsburg II,100000,19,2018-02-09,445939,Omar Marmoush
VfL Wolfsburg II,75000,19,2018-08-08,445939,Omar Marmoush
VfL Wolfsburg II,50000,20,2019-02-24,445939,Omar Marmoush
VfL Wolfsburg II,25000,20,2019-07-28,445939,Omar Marmoush
VfL Wolfsburg II,75000,20,2019-10-27,445939,Omar Marmoush
VfL Wolfsburg II,125000,21,2020-02-20,445939,Omar Marmoush
VfL Wolfsburg,400000,21,2020-07-08,445939,Omar Marmoush
FC St. Pauli,750000,22,2021-02-08,445939,Omar Marmoush
FC St. Pauli,1500000,22,2021-03-29,445939,Omar Marmoush
FC St. Pauli,2000000,22,2021-06-16,445939,Omar Marmoush
VfB Stuttgart,4000000,22,2021-10-07,445939,Omar Marmoush
VfB Stuttgart,4500000,22,2021-12-22,445939,Omar Marmoush
VfB Stuttgart,6000000,23,2022-06-09,445939,Omar Marmoush
VfL Wolfsburg,6000000,23,2022-11-09,445939,Omar Marmoush
