club,marketValueUnformatted,age,data_date,player_id,Name
Borussia Mönchengladbach,50000,18,2010-01-17,32711,Patrick Herrmann
Borussia Mönchengladbach,250000,18,2010-01-27,32711,Patrick Herrmann
Borussia Mönchengladbach,500000,19,2010-03-26,32711,Patrick Herrmann
Borussia Mönchengladbach,1000000,19,2010-08-06,32711,Patrick Herrmann
Borussia Mönchengladbach,2000000,19,2010-09-28,32711,Patrick Herrmann
Borussia Mönchengladbach,2500000,19,2011-01-12,32711,Patrick Herrmann
Borussia Mönchengladbach,2250000,20,2011-06-29,32711,Patrick Herrmann
Borussia Mönchengladbach,3500000,20,2012-01-23,32711,Patrick Herrmann
Borussia Mönchengladbach,5500000,21,2012-03-05,32711,Patrick Herrmann
Borussia Mönchengladbach,7500000,21,2012-06-29,32711,Patrick Herrmann
Borussia Mönchengladbach,7500000,21,2013-01-13,32711,Patrick Herrmann
Borussia Mönchengladbach,9500000,22,2013-06-30,32711,Patrick Herrmann
Borussia Mönchengladbach,9500000,23,2014-07-10,32711,Patrick Herrmann
Borussia Mönchengladbach,9500000,23,2015-02-04,32711,Patrick Herrmann
Borussia Mönchengladbach,12000000,24,2015-07-01,32711,Patrick Herrmann
Borussia Mönchengladbach,12000000,25,2016-02-15,32711,Patrick Herrmann
Borussia Mönchengladbach,12000000,25,2016-07-22,32711,Patrick Herrmann
Borussia Mönchengladbach,10000000,25,2016-10-13,32711,Patrick Herrmann
Borussia Mönchengladbach,8000000,25,2017-02-07,32711,Patrick Herrmann
Borussia Mönchengladbach,7000000,26,2017-06-19,32711,Patrick Herrmann
Borussia Mönchengladbach,5000000,26,2017-12-28,32711,Patrick Herrmann
Borussia Mönchengladbach,4500000,27,2018-06-05,32711,Patrick Herrmann
Borussia Mönchengladbach,4500000,27,2018-12-18,32711,Patrick Herrmann
Borussia Mönchengladbach,4500000,28,2019-06-05,32711,Patrick Herrmann
Borussia Mönchengladbach,6500000,28,2019-12-17,32711,Patrick Herrmann
Borussia Mönchengladbach,5200000,29,2020-04-08,32711,Patrick Herrmann
Borussia Mönchengladbach,6500000,29,2020-09-16,32711,Patrick Herrmann
Borussia Mönchengladbach,5000000,29,2021-02-10,32711,Patrick Herrmann
Borussia Mönchengladbach,3500000,30,2021-06-09,32711,Patrick Herrmann
Borussia Mönchengladbach,2500000,30,2021-12-22,32711,Patrick Herrmann
Borussia Mönchengladbach,2300000,31,2022-06-09,32711,Patrick Herrmann
Borussia Mönchengladbach,2000000,31,2022-11-09,32711,Patrick Herrmann
