club,marketValueUnformatted,age,data_date,player_id,Name
Young Violets Austria Wien,100000,18,2019-07-05,533295,Patrick Wimmer
Young Violets Austria Wien,200000,18,2019-12-03,533295,Patrick Wimmer
Austria Vienna,800000,19,2020-07-22,533295,Patrick Wimmer
Austria Vienna,1500000,19,2020-10-12,533295,Patrick Wimmer
Austria Vienna,1500000,19,2020-12-21,533295,Patrick Wimmer
Austria Vienna,1500000,20,2021-06-02,533295,Patrick Wimmer
Arminia Bielefeld,4000000,20,2021-12-22,533295,Patrick Wimmer
Arminia Bielefeld,8000000,20,2022-03-24,533295,Patrick Wimmer
Arminia Bielefeld,8000000,21,2022-06-09,533295,Patrick Wimmer
VfL Wolfsburg,8000000,21,2022-11-09,533295,Patrick Wimmer
VfL Wolfsburg,12000000,21,2023-03-29,533295,Patrick Wimmer
