club,marketValueUnformatted,age,data_date,player_id,Name
AC Sparta Prague U19,200000,18,2014-05-08,242086,Patrik Schick
AC Sparta Prague,200000,18,2015-01-17,242086,Patrik Schick
Bohemians Prague 1905,350000,19,2015-10-15,242086,Patrik Schick
Bohemians Prague 1905,500000,20,2016-03-18,242086,Patrik Schick
UC Sampdoria,3000000,20,2016-07-15,242086,Patrik Schick
UC Sampdoria,3500000,20,2017-01-02,242086,Patrik Schick
UC Sampdoria,7000000,21,2017-03-28,242086,Patrik Schick
UC Sampdoria,15000000,21,2017-06-08,242086,Patrik Schick
AS Roma,20000000,21,2017-10-13,242086,Patrik Schick
AS Roma,20000000,21,2017-12-29,242086,Patrik Schick
AS Roma,20000000,22,2018-06-07,242086,Patrik Schick
AS Roma,18000000,22,2018-10-12,242086,Patrik Schick
AS Roma,15000000,22,2018-12-20,242086,Patrik Schick
AS Roma,15000000,23,2019-06-06,242086,Patrik Schick
RB Leipzig,15000000,23,2019-12-17,242086,Patrik Schick
RB Leipzig,25000000,24,2020-03-11,242086,Patrik Schick
RB Leipzig,20000000,24,2020-04-08,242086,Patrik Schick
RB Leipzig,25000000,24,2020-07-08,242086,Patrik Schick
Bayer 04 Leverkusen,25000000,25,2021-02-10,242086,Patrik Schick
Bayer 04 Leverkusen,23000000,25,2021-05-28,242086,Patrik Schick
Bayer 04 Leverkusen,28000000,25,2021-07-15,242086,Patrik Schick
Bayer 04 Leverkusen,40000000,25,2021-12-22,242086,Patrik Schick
Bayer 04 Leverkusen,50000000,26,2022-06-09,242086,Patrik Schick
Bayer 04 Leverkusen,38000000,26,2022-11-09,242086,Patrik Schick
Bayer 04 Leverkusen,30000000,27,2023-03-29,242086,Patrik Schick
