club,marketValueUnformatted,age,data_date,player_id,Name
Deportivo Cali,900000,20,2016-03-15,323831,Rafael Borré
Atlético de Madrid,1000000,20,2016-07-15,323831,Rafael Borré
Villarreal CF,2000000,21,2016-10-27,323831,Rafael Borré
Villarreal CF,2000000,21,2017-01-24,323831,Rafael Borré
Villarreal CF,2000000,21,2017-06-05,323831,Rafael Borré
CA River Plate,2750000,22,2017-10-09,323831,Rafael Borré
CA River Plate,3000000,22,2018-05-08,323831,Rafael Borré
CA River Plate,7500000,23,2018-12-18,323831,Rafael Borré
CA River Plate,7500000,23,2019-08-06,323831,Rafael Borré
CA River Plate,12500000,24,2019-12-05,323831,Rafael Borré
CA River Plate,10000000,24,2020-04-08,323831,Rafael Borré
CA River Plate,15000000,25,2021-02-08,323831,Rafael Borré
CA River Plate,17000000,25,2021-06-11,323831,Rafael Borré
Eintracht Frankfurt,17000000,26,2021-12-22,323831,Rafael Borré
Eintracht Frankfurt,20000000,26,2022-06-09,323831,Rafael Borré
Eintracht Frankfurt,16000000,27,2022-11-09,323831,Rafael Borré
Eintracht Frankfurt,12000000,27,2023-03-29,323831,Rafael Borré
