club,marketValueUnformatted,age,data_date,player_id,Name
FC Nantes,150000,18,2017-10-12,487969,Randal Kolo Muani
FC Nantes,150000,19,2018-01-24,487969,Randal Kolo Muani
FC Nantes,150000,19,2018-06-04,487969,Randal Kolo Muani
FC Nantes,150000,20,2018-12-17,487969,Randal Kolo Muani
FC Nantes,300000,20,2019-06-03,487969,Randal Kolo Muani
FC Nantes,300000,21,2020-08-03,487969,Randal Kolo Muani
FC Nantes,2500000,21,2020-10-15,487969,Randal Kolo Muani
FC Nantes,5000000,22,2021-01-07,487969,Randal Kolo Muani
FC Nantes,7000000,22,2021-04-09,487969,Randal Kolo Muani
FC Nantes,9000000,22,2021-06-04,487969,Randal Kolo Muani
FC Nantes,10000000,22,2021-10-08,487969,Randal Kolo Muani
FC Nantes,12000000,23,2021-12-16,487969,Randal Kolo Muani
FC Nantes,15000000,23,2022-03-23,487969,Randal Kolo Muani
FC Nantes,16000000,23,2022-05-30,487969,Randal Kolo Muani
Eintracht Frankfurt,20000000,23,2022-09-21,487969,Randal Kolo Muani
Eintracht Frankfurt,30000000,23,2022-11-09,487969,Randal Kolo Muani
Eintracht Frankfurt,37000000,24,2022-12-23,487969,Randal Kolo Muani
Eintracht Frankfurt,65000000,24,2023-03-29,487969,Randal Kolo Muani
