club,marketValueUnformatted,age,data_date,player_id,Name
Gamba Osaka,100000,17,2016-02-25,358504,Ritsu Doan
Gamba Osaka,150000,18,2017-03-25,358504,Ritsu Doan
FC Groningen,750000,19,2017-10-26,358504,Ritsu Doan
FC Groningen,1000000,19,2018-01-17,358504,Ritsu Doan
FC Groningen,1750000,19,2018-03-27,358504,Ritsu Doan
FC Groningen,2500000,19,2018-06-12,358504,Ritsu Doan
FC Groningen,7500000,20,2018-12-28,358504,Ritsu Doan
FC Groningen,10000000,20,2019-06-12,358504,Ritsu Doan
PSV Eindhoven,8000000,21,2019-12-18,358504,Ritsu Doan
PSV Eindhoven,7000000,21,2020-03-12,358504,Ritsu Doan
PSV Eindhoven,6300000,21,2020-04-08,358504,Ritsu Doan
Arminia Bielefeld,7000000,22,2021-02-10,358504,Ritsu Doan
Arminia Bielefeld,7000000,22,2021-06-09,358504,Ritsu Doan
PSV Eindhoven,6500000,23,2021-10-04,358504,Ritsu Doan
PSV Eindhoven,6500000,23,2022-01-05,358504,Ritsu Doan
PSV Eindhoven,8000000,23,2022-06-08,358504,Ritsu Doan
SC Freiburg,12000000,24,2022-11-09,358504,Ritsu Doan
SC Freiburg,15000000,24,2022-12-23,358504,Ritsu Doan
