club,marketValueUnformatted,age,data_date,player_id,Name
Puskás Akadémia FC,100000,17,2014-09-26,332798,Roland Sallai
Puskás Akadémia FC,100000,17,2015-02-03,332798,Roland Sallai
Puskás Akadémia FC,150000,18,2015-07-21,332798,Roland Sallai
Puskás Akadémia FC,250000,18,2015-11-27,332798,Roland Sallai
Puskás Akadémia FC,450000,19,2016-06-01,332798,Roland Sallai
US Palermo,1000000,19,2017-01-02,332798,Roland Sallai
US Palermo,1000000,20,2017-06-08,332798,Roland Sallai
Puskás Akadémia FC,1000000,20,2017-07-31,332798,Roland Sallai
APOEL Nicosia,1250000,20,2017-11-13,332798,Roland Sallai
APOEL Nicosia,2000000,20,2018-04-26,332798,Roland Sallai
SC Freiburg,4500000,21,2018-10-22,332798,Roland Sallai
SC Freiburg,4500000,21,2018-12-18,332798,Roland Sallai
SC Freiburg,4500000,22,2019-06-05,332798,Roland Sallai
SC Freiburg,4500000,22,2019-12-17,332798,Roland Sallai
SC Freiburg,3500000,22,2020-04-08,332798,Roland Sallai
SC Freiburg,5000000,23,2020-11-26,332798,Roland Sallai
SC Freiburg,9000000,23,2021-02-10,332798,Roland Sallai
SC Freiburg,13000000,24,2021-06-01,332798,Roland Sallai
SC Freiburg,16000000,24,2021-07-15,332798,Roland Sallai
SC Freiburg,12000000,24,2021-12-22,332798,Roland Sallai
SC Freiburg,10000000,24,2022-03-24,332798,Roland Sallai
SC Freiburg,12000000,25,2022-06-09,332798,Roland Sallai
SC Freiburg,12000000,25,2022-11-09,332798,Roland Sallai
SC Freiburg,10000000,25,2023-03-29,332798,Roland Sallai
