club,marketValueUnformatted,age,data_date,player_id,Name
FC Luzern U21,0,17,2016-07-16,345886,Rubén Vargas
FC Luzern,100000,18,2017-07-12,345886,Rubén Vargas
FC Luzern,300000,19,2017-09-29,345886,Rubén Vargas
FC Luzern,300000,19,2018-01-08,345886,Rubén Vargas
FC Luzern,500000,19,2018-04-24,345886,Rubén Vargas
FC Luzern,1000000,19,2018-07-12,345886,Rubén Vargas
FC Luzern,2000000,20,2019-01-21,345886,Rubén Vargas
FC Luzern,2750000,20,2019-04-15,345886,Rubén Vargas
FC Luzern,4000000,20,2019-06-04,345886,Rubén Vargas
FC Augsburg,7000000,21,2019-10-02,345886,Rubén Vargas
FC Augsburg,8000000,21,2019-12-17,345886,Rubén Vargas
FC Augsburg,10000000,21,2020-03-11,345886,Rubén Vargas
FC Augsburg,9000000,21,2020-04-08,345886,Rubén Vargas
FC Augsburg,13000000,22,2020-11-26,345886,Rubén Vargas
FC Augsburg,13000000,22,2021-02-10,345886,Rubén Vargas
FC Augsburg,13000000,22,2021-05-25,345886,Rubén Vargas
FC Augsburg,11000000,23,2021-10-07,345886,Rubén Vargas
FC Augsburg,11000000,23,2021-12-22,345886,Rubén Vargas
FC Augsburg,9000000,23,2022-03-24,345886,Rubén Vargas
FC Augsburg,8000000,23,2022-06-09,345886,Rubén Vargas
FC Augsburg,6000000,24,2022-09-21,345886,Rubén Vargas
FC Augsburg,6000000,24,2022-11-09,345886,Rubén Vargas
