club,marketValueUnformatted,age,data_date,player_id,Name
FC Metz,250000,20,2012-04-25,200512,Sadio Mané
FC Metz,300000,20,2012-06-01,200512,Sadio Mané
FC Metz,500000,20,2012-08-13,200512,Sadio Mané
Red Bull Salzburg,2000000,20,2012-09-24,200512,Sadio Mané
Red Bull Salzburg,3000000,20,2012-12-19,200512,Sadio Mané
Red Bull Salzburg,3500000,21,2013-06-04,200512,Sadio Mané
Red Bull Salzburg,5000000,21,2013-12-27,200512,Sadio Mané
Red Bull Salzburg,7500000,22,2014-06-20,200512,Sadio Mané
Southampton FC,10000000,22,2014-10-05,200512,Sadio Mané
Southampton FC,14000000,22,2015-02-12,200512,Sadio Mané
Southampton FC,18000000,23,2015-07-01,200512,Sadio Mané
Southampton FC,20000000,23,2016-02-09,200512,Sadio Mané
Liverpool FC,30000000,24,2016-08-01,200512,Sadio Mané
Liverpool FC,38000000,24,2017-02-20,200512,Sadio Mané
Liverpool FC,40000000,25,2017-06-28,200512,Sadio Mané
Liverpool FC,50000000,25,2017-10-23,200512,Sadio Mané
Liverpool FC,60000000,25,2018-01-02,200512,Sadio Mané
Liverpool FC,70000000,26,2018-05-28,200512,Sadio Mané
Liverpool FC,75000000,26,2018-12-19,200512,Sadio Mané
Liverpool FC,85000000,26,2019-03-05,200512,Sadio Mané
Liverpool FC,120000000,27,2019-06-13,200512,Sadio Mané
Liverpool FC,150000000,27,2019-12-10,200512,Sadio Mané
Liverpool FC,120000000,27,2020-04-08,200512,Sadio Mané
Liverpool FC,120000000,28,2020-10-13,200512,Sadio Mané
Liverpool FC,100000000,28,2021-03-18,200512,Sadio Mané
Liverpool FC,85000000,29,2021-06-08,200512,Sadio Mané
Liverpool FC,80000000,29,2021-12-23,200512,Sadio Mané
Liverpool FC,70000000,30,2022-06-15,200512,Sadio Mané
Bayern Munich,60000000,30,2022-09-21,200512,Sadio Mané
Bayern Munich,60000000,30,2022-11-09,200512,Sadio Mané
Bayern Munich,45000000,30,2023-03-29,200512,Sadio Mané
