club,marketValueUnformatted,age,data_date,player_id,Name
Sepahan FC U17,75000,16,2011-03-13,180337,Sardar Azmoun
Rubin Kazan,150000,18,2013-07-30,180337,Sardar Azmoun
Rubin Kazan,500000,19,2014-03-03,180337,Sardar Azmoun
Rubin Kazan,1000000,19,2014-07-31,180337,Sardar Azmoun
Rubin Kazan,2500000,20,2015-02-23,180337,Sardar Azmoun
FK Rostov,2500000,20,2015-06-18,180337,Sardar Azmoun
FK Rostov,2500000,21,2016-01-06,180337,Sardar Azmoun
FK Rostov,7000000,21,2016-05-25,180337,Sardar Azmoun
FK Rostov,13000000,21,2016-12-27,180337,Sardar Azmoun
FK Rostov,11000000,22,2017-06-01,180337,Sardar Azmoun
Rubin Kazan,9000000,22,2017-12-23,180337,Sardar Azmoun
Rubin Kazan,9000000,23,2018-06-06,180337,Sardar Azmoun
Rubin Kazan,9500000,23,2018-12-20,180337,Sardar Azmoun
Zenit St. Petersburg,11000000,24,2019-02-12,180337,Sardar Azmoun
Zenit St. Petersburg,13000000,24,2019-04-24,180337,Sardar Azmoun
Zenit St. Petersburg,17000000,24,2019-06-14,180337,Sardar Azmoun
Zenit St. Petersburg,18000000,24,2019-12-23,180337,Sardar Azmoun
Zenit St. Petersburg,14500000,25,2020-04-08,180337,Sardar Azmoun
Zenit St. Petersburg,18000000,25,2020-07-29,180337,Sardar Azmoun
Zenit St. Petersburg,20000000,25,2020-10-19,180337,Sardar Azmoun
Zenit St. Petersburg,23000000,25,2020-12-29,180337,Sardar Azmoun
Zenit St. Petersburg,25000000,26,2021-06-02,180337,Sardar Azmoun
Zenit St. Petersburg,25000000,26,2021-12-29,180337,Sardar Azmoun
Bayer 04 Leverkusen,22000000,27,2022-06-09,180337,Sardar Azmoun
Bayer 04 Leverkusen,18000000,27,2022-09-21,180337,Sardar Azmoun
Bayer 04 Leverkusen,12000000,27,2022-11-09,180337,Sardar Azmoun
