club,marketValueUnformatted,age,data_date,player_id,Name
FC Hansa Rostock,50000,19,2013-01-19,125614,Sargis Adamyan
FC Hansa Rostock,75000,20,2013-06-28,125614,Sargis Adamyan
FC Hansa Rostock II,0,20,2013-11-05,125614,Sargis Adamyan
TSG Neustrelitz,50000,20,2014-02-05,125614,Sargis Adamyan
TSG Neustrelitz,75000,21,2014-07-17,125614,Sargis Adamyan
TSG Neustrelitz,100000,22,2015-08-20,125614,Sargis Adamyan
TSV Steinbach Haiger,100000,22,2016-02-13,125614,Sargis Adamyan
TSV Steinbach Haiger,100000,23,2016-08-09,125614,Sargis Adamyan
TSV Steinbach Haiger,150000,23,2017-02-06,125614,Sargis Adamyan
SSV Jahn Regensburg,200000,24,2017-08-21,125614,Sargis Adamyan
SSV Jahn Regensburg,400000,24,2017-10-17,125614,Sargis Adamyan
SSV Jahn Regensburg,500000,24,2018-01-22,125614,Sargis Adamyan
SSV Jahn Regensburg,650000,25,2018-06-19,125614,Sargis Adamyan
SSV Jahn Regensburg,900000,25,2018-10-16,125614,Sargis Adamyan
SSV Jahn Regensburg,1500000,25,2019-01-08,125614,Sargis Adamyan
SSV Jahn Regensburg,3000000,26,2019-06-12,125614,Sargis Adamyan
TSG 1899 Hoffenheim,4000000,26,2019-12-17,125614,Sargis Adamyan
TSG 1899 Hoffenheim,5000000,26,2020-03-11,125614,Sargis Adamyan
TSG 1899 Hoffenheim,4000000,26,2020-04-08,125614,Sargis Adamyan
TSG 1899 Hoffenheim,3500000,27,2021-02-10,125614,Sargis Adamyan
TSG 1899 Hoffenheim,3500000,28,2021-06-09,125614,Sargis Adamyan
TSG 1899 Hoffenheim,3000000,28,2021-12-22,125614,Sargis Adamyan
Club Brugge KV,3500000,28,2022-04-12,125614,Sargis Adamyan
1. FC Köln,2500000,29,2022-09-21,125614,Sargis Adamyan
1. FC Köln,2500000,29,2022-11-09,125614,Sargis Adamyan
1. FC Köln,2000000,29,2023-03-29,125614,Sargis Adamyan
