club,marketValueUnformatted,age,data_date,player_id,Name
Ängelholms FF,25000,18,2010-05-28,147573,Sebastian Andersson
Ängelholms FF,50000,19,2010-08-20,147573,Sebastian Andersson
Ängelholms FF,400000,19,2011-07-11,147573,Sebastian Andersson
Kalmar FF,500000,21,2012-09-23,147573,Sebastian Andersson
Kalmar FF,300000,22,2013-07-22,147573,Sebastian Andersson
Kalmar FF,250000,22,2014-06-26,147573,Sebastian Andersson
Djurgårdens IF,500000,23,2015-04-11,147573,Sebastian Andersson
Djurgårdens IF,400000,23,2015-06-14,147573,Sebastian Andersson
Djurgårdens IF,500000,24,2015-11-29,147573,Sebastian Andersson
IFK Norrköping,500000,24,2016-06-17,147573,Sebastian Andersson
IFK Norrköping,800000,25,2016-12-11,147573,Sebastian Andersson
IFK Norrköping,700000,25,2017-06-20,147573,Sebastian Andersson
1.FC Kaiserslautern,900000,26,2017-10-17,147573,Sebastian Andersson
1.FC Kaiserslautern,1100000,26,2018-01-22,147573,Sebastian Andersson
1.FC Kaiserslautern,1250000,26,2018-06-19,147573,Sebastian Andersson
1.FC Union Berlin,1250000,27,2019-01-08,147573,Sebastian Andersson
1.FC Union Berlin,1750000,27,2019-03-13,147573,Sebastian Andersson
1.FC Union Berlin,2000000,27,2019-06-12,147573,Sebastian Andersson
1.FC Union Berlin,2500000,28,2019-10-02,147573,Sebastian Andersson
1.FC Union Berlin,4000000,28,2019-12-17,147573,Sebastian Andersson
1.FC Union Berlin,6000000,28,2020-03-11,147573,Sebastian Andersson
1.FC Union Berlin,4800000,28,2020-04-08,147573,Sebastian Andersson
1.FC Union Berlin,7000000,28,2020-07-08,147573,Sebastian Andersson
1. FC Köln,5500000,29,2021-02-10,147573,Sebastian Andersson
1. FC Köln,4500000,29,2021-06-09,147573,Sebastian Andersson
1. FC Köln,3000000,30,2021-12-22,147573,Sebastian Andersson
1. FC Köln,2000000,30,2022-06-09,147573,Sebastian Andersson
1. FC Köln,1000000,31,2022-11-09,147573,Sebastian Andersson
