club,marketValueUnformatted,age,data_date,player_id,Name
VfL Wolfsburg II,50000,17,2008-09-05,60957,Sebastian Polter
VfL Wolfsburg II,75000,18,2009-10-05,60957,Sebastian Polter
VfL Wolfsburg II,75000,19,2011-02-11,60957,Sebastian Polter
VfL Wolfsburg,150000,20,2011-07-04,60957,Sebastian Polter
VfL Wolfsburg,250000,20,2012-01-23,60957,Sebastian Polter
VfL Wolfsburg,500000,20,2012-03-05,60957,Sebastian Polter
VfL Wolfsburg,800000,21,2012-06-29,60957,Sebastian Polter
1.FC Nuremberg,1000000,21,2012-10-23,60957,Sebastian Polter
1.FC Nuremberg,1500000,21,2013-01-13,60957,Sebastian Polter
VfL Wolfsburg,1500000,22,2013-06-30,60957,Sebastian Polter
1.FSV Mainz 05,1000000,23,2014-07-10,60957,Sebastian Polter
1.FC Union Berlin,1200000,23,2015-01-13,60957,Sebastian Polter
1.FSV Mainz 05,1500000,24,2015-07-01,60957,Sebastian Polter
Queens Park Rangers,1750000,25,2016-04-20,60957,Sebastian Polter
Queens Park Rangers,2000000,25,2016-09-01,60957,Sebastian Polter
1.FC Union Berlin,2000000,25,2017-01-23,60957,Sebastian Polter
1.FC Union Berlin,2000000,26,2017-06-27,60957,Sebastian Polter
1.FC Union Berlin,2250000,26,2018-01-22,60957,Sebastian Polter
1.FC Union Berlin,2250000,27,2018-06-19,60957,Sebastian Polter
1.FC Union Berlin,2250000,27,2019-01-08,60957,Sebastian Polter
1.FC Union Berlin,2250000,28,2019-06-12,60957,Sebastian Polter
1.FC Union Berlin,2000000,28,2019-12-17,60957,Sebastian Polter
1.FC Union Berlin,1600000,29,2020-04-08,60957,Sebastian Polter
Fortuna Sittard,1600000,29,2020-10-14,60957,Sebastian Polter
Fortuna Sittard,1400000,29,2021-01-06,60957,Sebastian Polter
Fortuna Sittard,1200000,29,2021-03-09,60957,Sebastian Polter
Fortuna Sittard,1000000,30,2021-05-19,60957,Sebastian Polter
VfL Bochum,1500000,30,2021-12-22,60957,Sebastian Polter
VfL Bochum,2200000,31,2022-06-09,60957,Sebastian Polter
FC Schalke 04,1700000,31,2022-11-09,60957,Sebastian Polter
