club,marketValueUnformatted,age,data_date,player_id,Name
Arsenal FC,500000,18,2013-07-25,159471,Serge Gnabry
Arsenal FC,2000000,18,2013-10-11,159471,Serge Gnabry
Arsenal FC,4000000,18,2014-01-15,159471,Serge Gnabry
Arsenal FC,4000000,19,2014-08-12,159471,Serge Gnabry
Arsenal FC,4000000,19,2015-02-12,159471,Serge Gnabry
Arsenal FC,3500000,19,2015-07-01,159471,Serge Gnabry
Arsenal FC,3000000,20,2016-02-09,159471,Serge Gnabry
Arsenal FC,2500000,21,2016-08-01,159471,Serge Gnabry
SV Werder Bremen,5000000,21,2016-10-13,159471,Serge Gnabry
SV Werder Bremen,10000000,21,2017-02-07,159471,Serge Gnabry
SV Werder Bremen,15000000,21,2017-06-19,159471,Serge Gnabry
TSG 1899 Hoffenheim,15000000,22,2017-12-28,159471,Serge Gnabry
TSG 1899 Hoffenheim,18000000,22,2018-04-04,159471,Serge Gnabry
TSG 1899 Hoffenheim,20000000,22,2018-06-05,159471,Serge Gnabry
Bayern Munich,30000000,23,2018-08-22,159471,Serge Gnabry
Bayern Munich,40000000,23,2018-12-18,159471,Serge Gnabry
Bayern Munich,45000000,23,2019-03-06,159471,Serge Gnabry
Bayern Munich,60000000,23,2019-06-05,159471,Serge Gnabry
Bayern Munich,80000000,24,2019-12-17,159471,Serge Gnabry
Bayern Munich,90000000,24,2020-03-11,159471,Serge Gnabry
Bayern Munich,72000000,24,2020-04-08,159471,Serge Gnabry
Bayern Munich,90000000,25,2020-09-16,159471,Serge Gnabry
Bayern Munich,70000000,25,2021-02-10,159471,Serge Gnabry
Bayern Munich,70000000,25,2021-06-01,159471,Serge Gnabry
Bayern Munich,70000000,26,2021-12-22,159471,Serge Gnabry
Bayern Munich,65000000,26,2022-06-09,159471,Serge Gnabry
Bayern Munich,65000000,27,2022-11-09,159471,Serge Gnabry
Bayern Munich,55000000,27,2023-03-29,159471,Serge Gnabry
