club,marketValueUnformatted,age,data_date,player_id,Name
Stade Lavallois,200000,18,2014-11-20,270541,Serhou Guirassy
Stade Lavallois,300000,18,2015-01-14,270541,Serhou Guirassy
Stade Lavallois,400000,19,2015-06-06,270541,Serhou Guirassy
LOSC Lille,500000,19,2015-09-06,270541,Serhou Guirassy
AJ Auxerre,800000,19,2016-02-04,270541,Serhou Guirassy
LOSC Lille,2000000,20,2016-07-13,270541,Serhou Guirassy
1. FC Köln,2000000,20,2017-02-07,270541,Serhou Guirassy
1. FC Köln,1500000,21,2017-06-19,270541,Serhou Guirassy
1. FC Köln,3500000,21,2017-12-28,270541,Serhou Guirassy
1. FC Köln,2500000,22,2018-06-05,270541,Serhou Guirassy
1. FC Köln,2000000,22,2019-01-08,270541,Serhou Guirassy
Amiens SC,3500000,23,2019-06-03,270541,Serhou Guirassy
Amiens SC,5000000,23,2019-09-27,270541,Serhou Guirassy
Amiens SC,5000000,23,2019-12-19,270541,Serhou Guirassy
Amiens SC,10000000,24,2020-03-13,270541,Serhou Guirassy
Amiens SC,8000000,24,2020-04-08,270541,Serhou Guirassy
Stade Rennais FC,15000000,24,2020-10-15,270541,Serhou Guirassy
Stade Rennais FC,13000000,24,2021-01-07,270541,Serhou Guirassy
Stade Rennais FC,12000000,25,2021-04-09,270541,Serhou Guirassy
Stade Rennais FC,12000000,25,2021-06-04,270541,Serhou Guirassy
Stade Rennais FC,9000000,25,2021-12-16,270541,Serhou Guirassy
Stade Rennais FC,10000000,26,2022-03-23,270541,Serhou Guirassy
Stade Rennais FC,10000000,26,2022-05-30,270541,Serhou Guirassy
VfB Stuttgart,10000000,26,2022-11-09,270541,Serhou Guirassy
