club,marketValueUnformatted,age,data_date,player_id,Name
Ajax Amsterdam,25000,19,2014-02-10,188888,Sheraldo Becker
Ajax Amsterdam,150000,19,2014-08-15,188888,Sheraldo Becker
PEC Zwolle,450000,20,2015-02-12,188888,Sheraldo Becker
PEC Zwolle,500000,20,2015-07-01,188888,Sheraldo Becker
PEC Zwolle,700000,20,2015-11-11,188888,Sheraldo Becker
PEC Zwolle,700000,20,2016-02-05,188888,Sheraldo Becker
Ajax Amsterdam,800000,21,2016-07-15,188888,Sheraldo Becker
ADO Den Haag,800000,21,2017-01-18,188888,Sheraldo Becker
ADO Den Haag,750000,22,2017-06-07,188888,Sheraldo Becker
ADO Den Haag,1000000,22,2018-01-17,188888,Sheraldo Becker
ADO Den Haag,1000000,23,2018-06-12,188888,Sheraldo Becker
ADO Den Haag,800000,23,2018-12-28,188888,Sheraldo Becker
ADO Den Haag,1250000,24,2019-06-12,188888,Sheraldo Becker
1.FC Union Berlin,1250000,24,2019-12-17,188888,Sheraldo Becker
1.FC Union Berlin,1000000,25,2020-04-08,188888,Sheraldo Becker
1.FC Union Berlin,1700000,25,2020-11-26,188888,Sheraldo Becker
1.FC Union Berlin,3000000,26,2021-02-10,188888,Sheraldo Becker
1.FC Union Berlin,3000000,26,2021-06-09,188888,Sheraldo Becker
1.FC Union Berlin,3000000,26,2021-12-22,188888,Sheraldo Becker
1.FC Union Berlin,4000000,27,2022-03-24,188888,Sheraldo Becker
1.FC Union Berlin,7000000,27,2022-06-09,188888,Sheraldo Becker
1.FC Union Berlin,15000000,27,2022-09-21,188888,Sheraldo Becker
1.FC Union Berlin,15000000,27,2022-11-09,188888,Sheraldo Becker
