club,marketValueUnformatted,age,data_date,player_id,Name
Paris FC,500000,20,2019-01-08,612826,Silas
Paris FC,3000000,20,2019-06-03,612826,Silas
VfB Stuttgart,7000000,20,2019-09-25,612826,Silas
VfB Stuttgart,7000000,21,2019-12-13,612826,Silas
VfB Stuttgart,6300000,21,2020-04-08,612826,Silas
VfB Stuttgart,10000000,22,2020-11-26,612826,Silas
VfB Stuttgart,25000000,22,2021-02-10,612826,Silas
VfB Stuttgart,25000000,22,2021-06-09,612826,Silas
VfB Stuttgart,25000000,23,2021-12-22,612826,Silas
VfB Stuttgart,15000000,23,2022-03-24,612826,Silas
VfB Stuttgart,15000000,23,2022-06-09,612826,Silas
VfB Stuttgart,13000000,24,2022-11-09,612826,Silas
VfB Stuttgart,10000000,24,2023-03-29,612826,Silas
