club,marketValueUnformatted,age,data_date,player_id,Name
MSV Duisburg U19,150000,19,2007-06-19,36284,Simon Terodde
1.FC Köln II,250000,22,2011-01-12,36284,Simon Terodde
1.FC Köln II,250000,23,2011-06-29,36284,Simon Terodde
1.FC Union Berlin,400000,23,2011-08-08,36284,Simon Terodde
1.FC Union Berlin,400000,23,2012-01-16,36284,Simon Terodde
1.FC Union Berlin,700000,24,2012-06-24,36284,Simon Terodde
1.FC Union Berlin,900000,24,2013-01-04,36284,Simon Terodde
1.FC Union Berlin,900000,25,2013-06-29,36284,Simon Terodde
1.FC Union Berlin,900000,25,2014-01-20,36284,Simon Terodde
1.FC Union Berlin,700000,26,2014-06-30,36284,Simon Terodde
VfL Bochum,1000000,26,2014-10-01,36284,Simon Terodde
VfL Bochum,1000000,26,2015-01-13,36284,Simon Terodde
VfL Bochum,1500000,27,2015-07-01,36284,Simon Terodde
VfL Bochum,1800000,27,2016-02-11,36284,Simon Terodde
VfB Stuttgart,2500000,28,2016-07-22,36284,Simon Terodde
VfB Stuttgart,3000000,28,2017-01-23,36284,Simon Terodde
VfB Stuttgart,4000000,29,2017-06-27,36284,Simon Terodde
VfB Stuttgart,3000000,29,2017-12-28,36284,Simon Terodde
1. FC Köln,2500000,30,2018-06-05,36284,Simon Terodde
1. FC Köln,3000000,30,2018-10-16,36284,Simon Terodde
1. FC Köln,3500000,30,2019-01-08,36284,Simon Terodde
1. FC Köln,3500000,31,2019-06-12,36284,Simon Terodde
1. FC Köln,3000000,31,2019-12-17,36284,Simon Terodde
1. FC Köln,2400000,32,2020-04-08,36284,Simon Terodde
Hamburger SV,1200000,32,2020-09-10,36284,Simon Terodde
Hamburger SV,1200000,32,2021-02-08,36284,Simon Terodde
Hamburger SV,1000000,33,2021-06-16,36284,Simon Terodde
FC Schalke 04,1000000,33,2021-12-15,36284,Simon Terodde
FC Schalke 04,1000000,34,2022-06-16,36284,Simon Terodde
FC Schalke 04,1000000,34,2022-11-09,36284,Simon Terodde
