club,marketValueUnformatted,age,data_date,player_id,Name
Karlsruher SC II,100000,18,2009-07-23,79967,Simon Zoller
Karlsruher SC II,50000,18,2010-03-10,79967,Simon Zoller
Karlsruher SC II,150000,19,2010-07-01,79967,Simon Zoller
Karlsruher SC II,150000,19,2011-01-12,79967,Simon Zoller
Karlsruher SC II,150000,19,2011-06-04,79967,Simon Zoller
Karlsruher SC,150000,20,2012-01-16,79967,Simon Zoller
Karlsruher SC,150000,20,2012-06-24,79967,Simon Zoller
VfL Osnabrück,250000,21,2012-08-27,79967,Simon Zoller
VfL Osnabrück,300000,21,2012-10-23,79967,Simon Zoller
VfL Osnabrück,450000,21,2012-12-30,79967,Simon Zoller
VfL Osnabrück,600000,22,2013-06-28,79967,Simon Zoller
1.FC Kaiserslautern,900000,22,2013-10-14,79967,Simon Zoller
1.FC Kaiserslautern,1500000,22,2014-01-20,79967,Simon Zoller
1.FC Kaiserslautern,3000000,23,2014-06-30,79967,Simon Zoller
1.FC Kaiserslautern,2500000,23,2015-02-04,79967,Simon Zoller
1.FC Kaiserslautern,2000000,23,2015-03-29,79967,Simon Zoller
1. FC Köln,2000000,24,2015-07-01,79967,Simon Zoller
1. FC Köln,2250000,24,2016-02-15,79967,Simon Zoller
1. FC Köln,2750000,24,2016-04-13,79967,Simon Zoller
1. FC Köln,3000000,25,2016-07-22,79967,Simon Zoller
1. FC Köln,2500000,25,2017-02-07,79967,Simon Zoller
1. FC Köln,2500000,25,2017-06-19,79967,Simon Zoller
1. FC Köln,2250000,26,2017-12-28,79967,Simon Zoller
1. FC Köln,1750000,26,2018-06-05,79967,Simon Zoller
1. FC Köln,1500000,27,2018-10-16,79967,Simon Zoller
VfL Bochum,800000,27,2019-01-08,79967,Simon Zoller
VfL Bochum,750000,27,2019-06-12,79967,Simon Zoller
VfL Bochum,750000,28,2019-12-13,79967,Simon Zoller
VfL Bochum,600000,28,2020-04-08,79967,Simon Zoller
VfL Bochum,800000,29,2020-11-18,79967,Simon Zoller
VfL Bochum,1300000,29,2021-02-08,79967,Simon Zoller
VfL Bochum,1800000,29,2021-06-16,79967,Simon Zoller
VfL Bochum,1800000,30,2021-12-22,79967,Simon Zoller
VfL Bochum,1100000,30,2022-06-09,79967,Simon Zoller
VfL Bochum,1100000,31,2022-11-09,79967,Simon Zoller
