club,marketValueUnformatted,age,data_date,player_id,Name
VfL Osnabrück U19,50000,17,2016-02-08,296879,Steffen Tigges
VfL Osnabrück U19,100000,17,2016-07-14,296879,Steffen Tigges
VfL Osnabrück U19,125000,18,2017-02-10,296879,Steffen Tigges
VfL Osnabrück U19,125000,18,2017-06-14,296879,Steffen Tigges
VfL Osnabrück,150000,19,2018-01-19,296879,Steffen Tigges
VfL Osnabrück,150000,19,2018-06-08,296879,Steffen Tigges
VfL Osnabrück,150000,20,2019-01-15,296879,Steffen Tigges
VfL Osnabrück,150000,20,2019-06-14,296879,Steffen Tigges
Borussia Dortmund II,175000,21,2020-01-21,296879,Steffen Tigges
Borussia Dortmund II,175000,21,2020-06-22,296879,Steffen Tigges
Borussia Dortmund,250000,22,2021-01-05,296879,Steffen Tigges
Borussia Dortmund,700000,22,2021-02-10,296879,Steffen Tigges
Borussia Dortmund,1200000,22,2021-06-09,296879,Steffen Tigges
Borussia Dortmund,1500000,23,2021-12-22,296879,Steffen Tigges
Borussia Dortmund,1500000,23,2022-06-09,296879,Steffen Tigges
1. FC Köln,2500000,24,2022-09-21,296879,Steffen Tigges
1. FC Köln,3500000,24,2022-11-09,296879,Steffen Tigges
