club,marketValueUnformatted,age,data_date,player_id,Name
FK Partizan Belgrade,1200000,17,2007-02-12,46104,Stevan Jovetic
FK Partizan Belgrade,4000000,17,2007-10-07,46104,Stevan Jovetic
FK Partizan Belgrade,5000000,18,2007-12-23,46104,Stevan Jovetic
FK Partizan Belgrade,7000000,18,2008-02-27,46104,Stevan Jovetic
ACF Fiorentina,8000000,18,2008-07-04,46104,Stevan Jovetic
ACF Fiorentina,9500000,19,2009-08-06,46104,Stevan Jovetic
ACF Fiorentina,14000000,20,2010-01-27,46104,Stevan Jovetic
ACF Fiorentina,17500000,20,2010-07-19,46104,Stevan Jovetic
ACF Fiorentina,17500000,21,2011-06-21,46104,Stevan Jovetic
ACF Fiorentina,20000000,22,2012-01-11,46104,Stevan Jovetic
ACF Fiorentina,25000000,22,2012-06-08,46104,Stevan Jovetic
ACF Fiorentina,30000000,23,2013-01-15,46104,Stevan Jovetic
ACF Fiorentina,28000000,23,2013-06-19,46104,Stevan Jovetic
Manchester City,26000000,23,2013-09-18,46104,Stevan Jovetic
Manchester City,26000000,24,2014-01-15,46104,Stevan Jovetic
Manchester City,24000000,24,2014-08-12,46104,Stevan Jovetic
Manchester City,20000000,25,2015-02-12,46104,Stevan Jovetic
Manchester City,15000000,25,2015-07-01,46104,Stevan Jovetic
Inter Milan,17000000,26,2015-11-05,46104,Stevan Jovetic
Inter Milan,17000000,26,2016-01-04,46104,Stevan Jovetic
Inter Milan,15000000,26,2016-04-01,46104,Stevan Jovetic
Inter Milan,14000000,26,2016-07-15,46104,Stevan Jovetic
Inter Milan,12500000,26,2016-10-14,46104,Stevan Jovetic
Manchester City,10000000,27,2017-01-02,46104,Stevan Jovetic
Sevilla FC,10000000,27,2017-06-05,46104,Stevan Jovetic
AS Monaco,10000000,28,2018-01-24,46104,Stevan Jovetic
AS Monaco,14000000,28,2018-03-20,46104,Stevan Jovetic
AS Monaco,14000000,28,2018-06-04,46104,Stevan Jovetic
AS Monaco,14000000,29,2018-12-17,46104,Stevan Jovetic
AS Monaco,12000000,29,2019-03-07,46104,Stevan Jovetic
AS Monaco,10000000,29,2019-06-03,46104,Stevan Jovetic
AS Monaco,8000000,30,2019-12-19,46104,Stevan Jovetic
AS Monaco,6500000,30,2020-04-08,46104,Stevan Jovetic
AS Monaco,6500000,30,2020-10-12,46104,Stevan Jovetic
AS Monaco,5500000,31,2021-04-09,46104,Stevan Jovetic
AS Monaco,5000000,31,2021-06-04,46104,Stevan Jovetic
Hertha BSC,3000000,31,2021-10-07,46104,Stevan Jovetic
Hertha BSC,3000000,32,2021-12-22,46104,Stevan Jovetic
Hertha BSC,2500000,32,2022-06-09,46104,Stevan Jovetic
Hertha BSC,2000000,33,2022-11-09,46104,Stevan Jovetic
