club,marketValueUnformatted,age,data_date,player_id,Name
Sportfreunde Siegen,25000,22,2012-08-22,186988,Sven Michel
Sportfreunde Siegen,75000,22,2012-12-21,186988,Sven Michel
Borussia Mönchengladbach II,100000,22,2013-01-04,186988,Sven Michel
Borussia Mönchengladbach II,175000,22,2013-03-05,186988,Sven Michel
Borussia Mönchengladbach II,200000,23,2013-07-22,186988,Sven Michel
Borussia Mönchengladbach II,225000,23,2013-08-26,186988,Sven Michel
Borussia Mönchengladbach II,175000,23,2013-12-30,186988,Sven Michel
FC Energie Cottbus,250000,23,2014-01-20,186988,Sven Michel
FC Energie Cottbus,350000,23,2014-06-26,186988,Sven Michel
FC Energie Cottbus,350000,24,2014-11-06,186988,Sven Michel
FC Energie Cottbus,350000,24,2015-03-07,186988,Sven Michel
FC Energie Cottbus,350000,24,2015-07-01,186988,Sven Michel
FC Energie Cottbus,350000,25,2016-02-08,186988,Sven Michel
SC Paderborn 07,325000,25,2016-07-14,186988,Sven Michel
SC Paderborn 07,325000,26,2017-02-10,186988,Sven Michel
SC Paderborn 07,275000,26,2017-06-14,186988,Sven Michel
SC Paderborn 07,350000,27,2017-10-19,186988,Sven Michel
SC Paderborn 07,375000,27,2018-01-19,186988,Sven Michel
SC Paderborn 07,550000,27,2018-06-08,186988,Sven Michel
SC Paderborn 07,650000,28,2019-01-08,186988,Sven Michel
SC Paderborn 07,800000,28,2019-03-13,186988,Sven Michel
SC Paderborn 07,1250000,28,2019-06-12,186988,Sven Michel
SC Paderborn 07,1250000,29,2019-12-17,186988,Sven Michel
SC Paderborn 07,1000000,29,2020-04-08,186988,Sven Michel
SC Paderborn 07,800000,30,2020-09-10,186988,Sven Michel
SC Paderborn 07,800000,30,2021-02-08,186988,Sven Michel
SC Paderborn 07,800000,30,2021-06-16,186988,Sven Michel
SC Paderborn 07,800000,31,2021-12-15,186988,Sven Michel
1.FC Union Berlin,1200000,31,2022-03-24,186988,Sven Michel
1.FC Union Berlin,1200000,31,2022-06-09,186988,Sven Michel
1.FC Union Berlin,1200000,32,2022-11-09,186988,Sven Michel
