club,marketValueUnformatted,age,data_date,player_id,Name
AJ Auxerre U19,100000,17,2011-07-20,181375,Sébastien Haller
AJ Auxerre U19,200000,17,2011-12-24,181375,Sébastien Haller
AJ Auxerre U19,200000,17,2012-05-23,181375,Sébastien Haller
AJ Auxerre,400000,18,2013-01-04,181375,Sébastien Haller
AJ Auxerre,750000,18,2013-05-29,181375,Sébastien Haller
AJ Auxerre,1250000,19,2014-01-13,181375,Sébastien Haller
AJ Auxerre,1250000,20,2014-11-20,181375,Sébastien Haller
FC Utrecht,1250000,20,2015-02-16,181375,Sébastien Haller
FC Utrecht,2000000,21,2015-07-01,181375,Sébastien Haller
FC Utrecht,3500000,21,2015-11-11,181375,Sébastien Haller
FC Utrecht,6500000,21,2016-02-05,181375,Sébastien Haller
FC Utrecht,7500000,22,2016-07-15,181375,Sébastien Haller
FC Utrecht,8000000,22,2017-01-18,181375,Sébastien Haller
FC Utrecht,8000000,22,2017-06-07,181375,Sébastien Haller
Eintracht Frankfurt,12000000,23,2017-12-28,181375,Sébastien Haller
Eintracht Frankfurt,12000000,23,2018-06-05,181375,Sébastien Haller
Eintracht Frankfurt,11000000,24,2018-08-22,181375,Sébastien Haller
Eintracht Frankfurt,15000000,24,2018-10-22,181375,Sébastien Haller
Eintracht Frankfurt,35000000,24,2018-12-18,181375,Sébastien Haller
Eintracht Frankfurt,40000000,24,2019-03-06,181375,Sébastien Haller
Eintracht Frankfurt,40000000,24,2019-06-05,181375,Sébastien Haller
West Ham United,45000000,25,2019-09-12,181375,Sébastien Haller
West Ham United,45000000,25,2019-12-10,181375,Sébastien Haller
West Ham United,36000000,25,2020-04-08,181375,Sébastien Haller
West Ham United,30000000,26,2020-10-13,181375,Sébastien Haller
Ajax Amsterdam,27000000,26,2021-05-19,181375,Sébastien Haller
Ajax Amsterdam,30000000,27,2022-01-05,181375,Sébastien Haller
Ajax Amsterdam,35000000,27,2022-06-08,181375,Sébastien Haller
Borussia Dortmund,35000000,28,2022-11-09,181375,Sébastien Haller
Borussia Dortmund,30000000,28,2023-03-29,181375,Sébastien Haller
