club,marketValueUnformatted,age,data_date,player_id,Name
Sanfrecce Hiroshima,50000,18,2013-07-05,245744,Takuma Asano
Sanfrecce Hiroshima,250000,19,2014-03-31,245744,Takuma Asano
Sanfrecce Hiroshima,350000,20,2015-02-12,245744,Takuma Asano
Sanfrecce Hiroshima,650000,20,2015-07-01,245744,Takuma Asano
Sanfrecce Hiroshima,1200000,21,2016-02-25,245744,Takuma Asano
Arsenal FC,1500000,21,2016-08-01,245744,Takuma Asano
VfB Stuttgart,2000000,22,2017-01-23,245744,Takuma Asano
VfB Stuttgart,2500000,22,2017-06-27,245744,Takuma Asano
VfB Stuttgart,2500000,23,2017-12-28,245744,Takuma Asano
VfB Stuttgart,2000000,23,2018-06-05,245744,Takuma Asano
Hannover 96,2000000,24,2018-12-18,245744,Takuma Asano
Hannover 96,1500000,24,2019-06-05,245744,Takuma Asano
FK Partizan Belgrade,1700000,24,2019-10-28,245744,Takuma Asano
FK Partizan Belgrade,1400000,25,2020-04-08,245744,Takuma Asano
FK Partizan Belgrade,2500000,25,2020-06-28,245744,Takuma Asano
FK Partizan Belgrade,2500000,26,2020-12-22,245744,Takuma Asano
Without Club,3000000,26,2021-06-12,245744,Takuma Asano
VfL Bochum,2500000,27,2021-12-22,245744,Takuma Asano
VfL Bochum,3000000,27,2022-06-09,245744,Takuma Asano
VfL Bochum,3000000,27,2022-11-09,245744,Takuma Asano
VfL Bochum,4000000,28,2022-12-23,245744,Takuma Asano
