club,marketValueUnformatted,age,data_date,player_id,Name
FC Bayern Munich II,100000,18,2008-08-22,58358,Thomas Müller
FC Bayern Munich II,250000,19,2008-09-23,58358,Thomas Müller
FC Bayern Munich II,350000,19,2009-01-21,58358,Thomas Müller
FC Bayern Munich II,750000,19,2009-06-10,58358,Thomas Müller
Bayern Munich,1500000,19,2009-08-30,58358,Thomas Müller
Bayern Munich,5000000,20,2009-11-18,58358,Thomas Müller
Bayern Munich,8000000,20,2010-03-07,58358,Thomas Müller
Bayern Munich,10000000,20,2010-05-08,58358,Thomas Müller
Bayern Munich,23000000,20,2010-07-16,58358,Thomas Müller
Bayern Munich,23000000,21,2011-01-12,58358,Thomas Müller
Bayern Munich,28000000,21,2011-06-29,58358,Thomas Müller
Bayern Munich,33000000,21,2011-09-01,58358,Thomas Müller
Bayern Munich,35000000,22,2012-01-23,58358,Thomas Müller
Bayern Munich,32000000,22,2012-06-29,58358,Thomas Müller
Bayern Munich,37000000,23,2013-01-13,58358,Thomas Müller
Bayern Munich,45000000,23,2013-06-30,58358,Thomas Müller
Bayern Munich,50000000,24,2014-07-10,58358,Thomas Müller
Bayern Munich,55000000,25,2015-02-04,58358,Thomas Müller
Bayern Munich,55000000,25,2015-07-01,58358,Thomas Müller
Bayern Munich,75000000,26,2015-10-16,58358,Thomas Müller
Bayern Munich,75000000,26,2016-02-15,58358,Thomas Müller
Bayern Munich,75000000,26,2016-06-01,58358,Thomas Müller
Bayern Munich,75000000,26,2016-07-22,58358,Thomas Müller
Bayern Munich,60000000,27,2017-02-07,58358,Thomas Müller
Bayern Munich,50000000,27,2017-06-19,58358,Thomas Müller
Bayern Munich,45000000,28,2017-12-28,58358,Thomas Müller
Bayern Munich,55000000,28,2018-04-04,58358,Thomas Müller
Bayern Munich,60000000,28,2018-06-05,58358,Thomas Müller
Bayern Munich,55000000,28,2018-07-16,58358,Thomas Müller
Bayern Munich,50000000,29,2018-10-22,58358,Thomas Müller
Bayern Munich,40000000,29,2018-12-18,58358,Thomas Müller
Bayern Munich,35000000,29,2019-06-05,58358,Thomas Müller
Bayern Munich,32000000,30,2019-12-17,58358,Thomas Müller
Bayern Munich,25500000,30,2020-04-08,58358,Thomas Müller
Bayern Munich,30000000,30,2020-07-08,58358,Thomas Müller
Bayern Munich,35000000,31,2020-09-16,58358,Thomas Müller
Bayern Munich,35000000,31,2021-02-10,58358,Thomas Müller
Bayern Munich,30000000,31,2021-06-01,58358,Thomas Müller
Bayern Munich,25000000,32,2021-12-22,58358,Thomas Müller
Bayern Munich,22000000,32,2022-06-09,58358,Thomas Müller
Bayern Munich,18000000,33,2022-11-09,58358,Thomas Müller
