club,marketValueUnformatted,age,data_date,player_id,Name
1.FC Heidenheim 1846,100000,18,2014-09-13,287920,Tim Skarke
1.FC Heidenheim 1846,100000,18,2015-01-13,287920,Tim Skarke
1.FC Heidenheim 1846,100000,18,2015-07-01,287920,Tim Skarke
1.FC Heidenheim 1846,200000,19,2015-10-22,287920,Tim Skarke
1.FC Heidenheim 1846,200000,19,2016-02-11,287920,Tim Skarke
1.FC Heidenheim 1846,250000,19,2016-07-22,287920,Tim Skarke
1.FC Heidenheim 1846,400000,20,2017-01-23,287920,Tim Skarke
1.FC Heidenheim 1846,500000,20,2017-06-27,287920,Tim Skarke
1.FC Heidenheim 1846,500000,21,2018-01-22,287920,Tim Skarke
1.FC Heidenheim 1846,500000,21,2018-06-19,287920,Tim Skarke
1.FC Heidenheim 1846,450000,22,2019-01-08,287920,Tim Skarke
1.FC Heidenheim 1846,450000,22,2019-06-12,287920,Tim Skarke
SV Darmstadt 98,550000,23,2019-09-25,287920,Tim Skarke
SV Darmstadt 98,550000,23,2019-12-13,287920,Tim Skarke
SV Darmstadt 98,450000,23,2020-04-08,287920,Tim Skarke
SV Darmstadt 98,450000,24,2021-02-08,287920,Tim Skarke
SV Darmstadt 98,600000,24,2021-03-29,287920,Tim Skarke
SV Darmstadt 98,600000,24,2021-06-16,287920,Tim Skarke
SV Darmstadt 98,600000,25,2021-12-15,287920,Tim Skarke
SV Darmstadt 98,1000000,25,2022-06-16,287920,Tim Skarke
1.FC Union Berlin,1000000,26,2022-11-09,287920,Tim Skarke
