club,marketValueUnformatted,age,data_date,player_id,Name
VfB Stuttgart,1000000,17,2013-08-09,170527,Timo Werner
VfB Stuttgart,4000000,17,2013-11-05,170527,Timo Werner
VfB Stuttgart,12000000,17,2014-02-12,170527,Timo Werner
VfB Stuttgart,12000000,18,2014-07-10,170527,Timo Werner
VfB Stuttgart,12000000,18,2015-02-04,170527,Timo Werner
VfB Stuttgart,8000000,19,2015-07-01,170527,Timo Werner
VfB Stuttgart,8000000,19,2016-02-15,170527,Timo Werner
RB Leipzig,8000000,20,2016-07-22,170527,Timo Werner
RB Leipzig,12000000,20,2017-02-07,170527,Timo Werner
RB Leipzig,16000000,21,2017-03-22,170527,Timo Werner
RB Leipzig,25000000,21,2017-06-19,170527,Timo Werner
RB Leipzig,50000000,21,2017-10-18,170527,Timo Werner
RB Leipzig,60000000,21,2017-12-28,170527,Timo Werner
RB Leipzig,60000000,22,2018-06-05,170527,Timo Werner
RB Leipzig,65000000,22,2018-12-18,170527,Timo Werner
RB Leipzig,65000000,23,2019-06-05,170527,Timo Werner
RB Leipzig,75000000,23,2019-12-17,170527,Timo Werner
RB Leipzig,80000000,24,2020-03-11,170527,Timo Werner
RB Leipzig,64000000,24,2020-04-08,170527,Timo Werner
Chelsea FC,70000000,24,2020-10-13,170527,Timo Werner
Chelsea FC,65000000,25,2021-03-18,170527,Timo Werner
Chelsea FC,65000000,25,2021-06-01,170527,Timo Werner
Chelsea FC,55000000,25,2021-10-05,170527,Timo Werner
Chelsea FC,50000000,25,2021-12-23,170527,Timo Werner
Chelsea FC,42000000,26,2022-03-29,170527,Timo Werner
Chelsea FC,35000000,26,2022-06-15,170527,Timo Werner
RB Leipzig,25000000,26,2022-09-21,170527,Timo Werner
RB Leipzig,25000000,26,2022-11-09,170527,Timo Werner
