club,marketValueUnformatted,age,data_date,player_id,Name
TSG 1899 Hoffenheim II,25000,19,2012-07-15,185077,Vincenzo Grifo
TSG 1899 Hoffenheim II,100000,19,2012-10-20,185077,Vincenzo Grifo
TSG 1899 Hoffenheim II,400000,19,2013-01-13,185077,Vincenzo Grifo
TSG 1899 Hoffenheim II,400000,20,2013-06-30,185077,Vincenzo Grifo
SG Dynamo Dresden,400000,20,2014-01-20,185077,Vincenzo Grifo
TSG 1899 Hoffenheim,400000,21,2014-06-30,185077,Vincenzo Grifo
FSV Frankfurt,700000,21,2015-01-13,185077,Vincenzo Grifo
SC Freiburg,1000000,22,2015-07-01,185077,Vincenzo Grifo
SC Freiburg,1500000,22,2015-10-22,185077,Vincenzo Grifo
SC Freiburg,2250000,22,2016-02-11,185077,Vincenzo Grifo
SC Freiburg,2750000,22,2016-03-22,185077,Vincenzo Grifo
SC Freiburg,3500000,23,2016-07-22,185077,Vincenzo Grifo
SC Freiburg,4000000,23,2016-10-13,185077,Vincenzo Grifo
SC Freiburg,5500000,23,2017-02-07,185077,Vincenzo Grifo
SC Freiburg,7000000,23,2017-03-22,185077,Vincenzo Grifo
SC Freiburg,10000000,24,2017-06-19,185077,Vincenzo Grifo
Borussia Mönchengladbach,10000000,24,2017-12-28,185077,Vincenzo Grifo
Borussia Mönchengladbach,7500000,25,2018-06-05,185077,Vincenzo Grifo
TSG 1899 Hoffenheim,5500000,25,2018-10-22,185077,Vincenzo Grifo
TSG 1899 Hoffenheim,6000000,25,2018-12-18,185077,Vincenzo Grifo
SC Freiburg,9000000,26,2019-06-05,185077,Vincenzo Grifo
SC Freiburg,7000000,26,2019-12-17,185077,Vincenzo Grifo
SC Freiburg,5500000,27,2020-04-08,185077,Vincenzo Grifo
SC Freiburg,6500000,27,2020-07-08,185077,Vincenzo Grifo
SC Freiburg,10000000,27,2021-02-10,185077,Vincenzo Grifo
SC Freiburg,12000000,28,2021-05-25,185077,Vincenzo Grifo
SC Freiburg,12000000,28,2021-12-22,185077,Vincenzo Grifo
SC Freiburg,12000000,29,2022-06-09,185077,Vincenzo Grifo
SC Freiburg,12000000,29,2022-11-09,185077,Vincenzo Grifo
