club,marketValueUnformatted,age,data_date,player_id,Name
US Créteil-Lusitanos,200000,18,2017-02-20,395523,Wilfried Kanga
Angers SCO,200000,19,2017-10-12,395523,Wilfried Kanga
Angers SCO,200000,19,2018-01-24,395523,Wilfried Kanga
Angers SCO,200000,20,2018-06-04,395523,Wilfried Kanga
Angers SCO,1000000,20,2018-10-24,395523,Wilfried Kanga
Angers SCO,1000000,20,2018-12-17,395523,Wilfried Kanga
Angers SCO,1500000,21,2019-03-07,395523,Wilfried Kanga
Angers SCO,1500000,21,2019-06-03,395523,Wilfried Kanga
Angers SCO,1000000,21,2019-12-19,395523,Wilfried Kanga
Angers SCO,900000,22,2020-04-08,395523,Wilfried Kanga
Kayserispor,800000,22,2020-12-23,395523,Wilfried Kanga
Kayserispor,500000,23,2021-03-16,395523,Wilfried Kanga
Kayserispor,400000,23,2021-05-21,395523,Wilfried Kanga
BSC Young Boys,1000000,23,2022-01-03,395523,Wilfried Kanga
BSC Young Boys,2200000,24,2022-06-08,395523,Wilfried Kanga
Hertha BSC,4000000,24,2022-09-21,395523,Wilfried Kanga
Hertha BSC,4000000,24,2022-11-09,395523,Wilfried Kanga
Hertha BSC,3000000,25,2023-03-29,395523,Wilfried Kanga
