club,marketValueUnformatted,age,data_date,player_id,Name
FC Bayern Munich II,125000,18,2018-09-07,297583,Woo-yeong Jeong
FC Bayern Munich II,700000,19,2018-12-18,297583,Woo-yeong Jeong
FC Bayern Munich II,2000000,19,2019-05-02,297583,Woo-yeong Jeong
FC Bayern Munich II,2000000,19,2019-06-05,297583,Woo-yeong Jeong
SC Freiburg,2000000,20,2019-12-17,297583,Woo-yeong Jeong
FC Bayern Munich II,1800000,20,2020-04-08,297583,Woo-yeong Jeong
SC Freiburg,2500000,21,2020-11-26,297583,Woo-yeong Jeong
SC Freiburg,3000000,21,2021-02-10,297583,Woo-yeong Jeong
SC Freiburg,3000000,21,2021-06-09,297583,Woo-yeong Jeong
SC Freiburg,4500000,22,2021-10-07,297583,Woo-yeong Jeong
SC Freiburg,5500000,22,2021-12-22,297583,Woo-yeong Jeong
SC Freiburg,5500000,22,2022-06-09,297583,Woo-yeong Jeong
SC Freiburg,5500000,23,2022-11-09,297583,Woo-yeong Jeong
SC Freiburg,4000000,23,2023-03-29,297583,Woo-yeong Jeong
