club,marketValueUnformatted,age,data_date,player_id,Name
Lyngby BK,50000,17,2012-02-05,157635,Yussuf Poulsen
Lyngby BK,300000,18,2013-01-11,157635,Yussuf Poulsen
Lyngby BK,400000,18,2013-05-24,157635,Yussuf Poulsen
RB Leipzig,500000,19,2013-08-09,157635,Yussuf Poulsen
RB Leipzig,700000,20,2014-06-30,157635,Yussuf Poulsen
RB Leipzig,1500000,20,2014-10-01,157635,Yussuf Poulsen
RB Leipzig,2500000,20,2015-01-13,157635,Yussuf Poulsen
RB Leipzig,4000000,21,2015-07-01,157635,Yussuf Poulsen
RB Leipzig,4000000,21,2016-02-11,157635,Yussuf Poulsen
RB Leipzig,5000000,22,2016-07-22,157635,Yussuf Poulsen
RB Leipzig,6000000,22,2017-02-07,157635,Yussuf Poulsen
RB Leipzig,10000000,23,2017-06-19,157635,Yussuf Poulsen
RB Leipzig,10000000,23,2017-12-28,157635,Yussuf Poulsen
RB Leipzig,10000000,23,2018-06-05,157635,Yussuf Poulsen
RB Leipzig,15000000,24,2018-10-22,157635,Yussuf Poulsen
RB Leipzig,20000000,24,2018-12-18,157635,Yussuf Poulsen
RB Leipzig,30000000,24,2019-03-06,157635,Yussuf Poulsen
RB Leipzig,35000000,24,2019-06-05,157635,Yussuf Poulsen
RB Leipzig,35000000,25,2019-12-17,157635,Yussuf Poulsen
RB Leipzig,30000000,25,2020-03-11,157635,Yussuf Poulsen
RB Leipzig,24000000,25,2020-04-08,157635,Yussuf Poulsen
RB Leipzig,25000000,26,2020-09-16,157635,Yussuf Poulsen
RB Leipzig,25000000,26,2021-02-10,157635,Yussuf Poulsen
RB Leipzig,21000000,26,2021-05-26,157635,Yussuf Poulsen
RB Leipzig,21000000,27,2021-12-22,157635,Yussuf Poulsen
RB Leipzig,14000000,27,2022-06-09,157635,Yussuf Poulsen
RB Leipzig,10000000,28,2022-09-21,157635,Yussuf Poulsen
RB Leipzig,10000000,28,2022-11-09,157635,Yussuf Poulsen
