;club;marketValueUnformatted;age;data_date;player_id;Name;normalized MV
0;AC Sparta Prague U19;200000;16;2018-12-30;552057;Adam Hlozek;0.3622814310841091
1;AC Sparta Prague;3000000;16;2019-04-30;552057;Adam Hlozek;5.434221466261636
2;AC Sparta Prague;3500000;16;2019-06-25;552057;Adam Hlozek;6.339925043971909
3;AC Sparta Prague;4000000;17;2019-09-25;552057;Adam Hlozek;7.245628621682181
4;AC Sparta Prague;7500000;17;2019-12-07;552057;Adam Hlozek;13.585553665654091
5;AC Sparta Prague;6700000;17;2020-04-08;552057;Adam Hlozek;12.136427941317654
6;AC Sparta Prague;9000000;17;2020-07-10;552057;Adam Hlozek;16.30266439878491
7;AC Sparta Prague;12000000;18;2020-12-27;552057;Adam Hlozek;21.736885865046546
8;AC Sparta Prague;17000000;18;2021-05-28;552057;Adam Hlozek;30.79392164214927
9;AC Sparta Prague;19000000;19;2021-12-26;552057;Adam Hlozek;34.416735952990365
10;AC Sparta Prague;20000000;19;2022-06-22;552057;Adam Hlozek;36.228143108410904
11;Bayer 04 Leverkusen;15000000;20;2022-09-21;552057;Adam Hlozek;27.171107331308182
12;Bayer 04 Leverkusen;15000000;20;2022-11-09;552057;Adam Hlozek;27.171107331308182
13;Olympique Lyon;250000;19;2012-09-05;167329;Alassane Plea;1.4940625952464905
14;Olympique Lyon;400000;19;2013-01-07;167329;Alassane Plea;2.3905001523943845
15;Olympique Lyon;500000;20;2013-05-30;167329;Alassane Plea;2.988125190492981
16;Olympique Lyon;750000;20;2014-01-14;167329;Alassane Plea;4.482187785739471
17;Olympique Lyon;1000000;21;2014-08-07;167329;Alassane Plea;5.976250380985962
18;OGC Nice;1500000;21;2015-01-14;167329;Alassane Plea;8.964375571478943
19;OGC Nice;2500000;22;2015-06-06;167329;Alassane Plea;14.940625952464904
20;OGC Nice;4500000;22;2015-09-06;167329;Alassane Plea;26.89312671443683
21;OGC Nice;4000000;22;2016-02-04;167329;Alassane Plea;23.90500152394385
22;OGC Nice;5000000;23;2016-07-13;167329;Alassane Plea;29.881251904929808
23;OGC Nice;7000000;23;2016-11-01;167329;Alassane Plea;41.83375266690173
24;OGC Nice;12000000;23;2017-01-16;167329;Alassane Plea;71.71500457183154
25;OGC Nice;12000000;24;2017-06-01;167329;Alassane Plea;71.71500457183154
26;OGC Nice;15000000;24;2018-01-24;167329;Alassane Plea;89.64375571478942
27;OGC Nice;18000000;25;2018-06-04;167329;Alassane Plea;107.57250685774731
28;Borussia Mönchengladbach;23000000;25;2018-08-22;167329;Alassane Plea;137.45375876267713
29;Borussia Mönchengladbach;28000000;25;2018-10-22;167329;Alassane Plea;167.33501066760692
30;Borussia Mönchengladbach;38000000;25;2018-12-18;167329;Alassane Plea;227.09751447746655
31;Borussia Mönchengladbach;30000000;26;2019-06-05;167329;Alassane Plea;179.28751142957884
32;Borussia Mönchengladbach;30000000;26;2019-12-17;167329;Alassane Plea;179.28751142957884
33;Borussia Mönchengladbach;24000000;27;2020-04-08;167329;Alassane Plea;143.43000914366309
34;Borussia Mönchengladbach;30000000;27;2020-07-08;167329;Alassane Plea;179.28751142957884
35;Borussia Mönchengladbach;35000000;27;2020-11-26;167329;Alassane Plea;209.16876333450867
36;Borussia Mönchengladbach;30000000;27;2021-02-10;167329;Alassane Plea;179.28751142957884
37;Borussia Mönchengladbach;25000000;28;2021-03-31;167329;Alassane Plea;149.40625952464904
38;Borussia Mönchengladbach;22000000;28;2021-06-09;167329;Alassane Plea;131.47750838169117
39;Borussia Mönchengladbach;18000000;28;2021-10-07;167329;Alassane Plea;107.57250685774731
40;Borussia Mönchengladbach;15000000;28;2021-12-22;167329;Alassane Plea;89.64375571478942
41;Borussia Mönchengladbach;15000000;29;2022-06-09;167329;Alassane Plea;89.64375571478942
42;Borussia Mönchengladbach;15000000;29;2022-11-09;167329;Alassane Plea;89.64375571478942
43;Borussia Mönchengladbach;10000000;30;2023-03-29;167329;Alassane Plea;59.762503809859616
44;Central Coast Mariners;50000;19;2020-10-08;748070;Alou Kuol;0.06683866483083134
45;Central Coast Mariners;400000;19;2021-03-30;748070;Alou Kuol;0.5347093186466507
46;VfB Stuttgart II;325000;20;2021-12-31;748070;Alou Kuol;0.4344513214004037
47;SV Sandhausen;300000;20;2022-06-16;748070;Alou Kuol;0.40103198898498804
48;VfB Stuttgart;300000;21;2022-11-09;748070;Alou Kuol;0.40103198898498804
49;FC Toulouse;150000;19;2019-09-27;532776;Amine Adli;0.28154421370331995
50;FC Toulouse;150000;19;2019-12-19;532776;Amine Adli;0.28154421370331995
51;FC Toulouse;300000;19;2020-03-13;532776;Amine Adli;0.5630884274066399
