date,unformattedDate,age,marketValue,marketValueUnformatted,marketValueCurrency,marketValueNumeral,clubID,clubName,clubShortName,clubImage,seasonID,Name
11.2022,2022-11-09,25,"7,00",7000000,€,Mio.,39,1.FSV Mainz 05,1.FSV Mainz 05,https://tmssl.akamaized.net/images/wappen/medium/39.png?lm=1564748880,22/23,Aarón Martín
06.2022,2022-06-09,25,"5,00",5000000,€,Mio.,39,1.FSV Mainz 05,1.FSV Mainz 05,https://tmssl.akamaized.net/images/wappen/medium/39.png?lm=1564748880,21/22,Aarón Martín
12.2021,2021-12-22,24,"5,00",5000000,€,Mio.,39,1.FSV Mainz 05,1.FSV Mainz 05,https://tmssl.akamaized.net/images/wappen/medium/39.png?lm=1564748880,21/22,Aarón Martín
06.2021,2021-06-10,24,"4,50",4500000,€,Mio.,940,Celta Vigo,Celta Vigo,https://tmssl.akamaized.net/images/wappen/medium/940.png?lm=1406966406,20/21,Aarón Martín
01.2021,2021-01-05,23,"3,00",3000000,€,Mio.,940,Celta Vigo,Celta Vigo,https://tmssl.akamaized.net/images/wappen/medium/940.png?lm=1406966406,20/21,Aarón Martín
11.2020,2020-11-26,23,"4,50",4500000,€,Mio.,39,1.FSV Mainz 05,1.FSV Mainz 05,https://tmssl.akamaized.net/images/wappen/medium/39.png?lm=1564748880,20/21,Aarón Martín
09.2020,2020-09-16,23,"7,00",7000000,€,Mio.,39,1.FSV Mainz 05,1.FSV Mainz 05,https://tmssl.akamaized.net/images/wappen/medium/39.png?lm=1564748880,20/21,Aarón Martín
04.2020,2020-04-08,22,"10,50",10500000,€,Mio.,39,1.FSV Mainz 05,1.FSV Mainz 05,https://tmssl.akamaized.net/images/wappen/medium/39.png?lm=1564748880,19/20,Aarón Martín
03.2020,2020-03-11,22,"13,00",13000000,€,Mio.,39,1.FSV Mainz 05,1.FSV Mainz 05,https://tmssl.akamaized.net/images/wappen/medium/39.png?lm=1564748880,19/20,Aarón Martín
12.2019,2019-12-17,22,"16,00",16000000,€,Mio.,39,1.FSV Mainz 05,1.FSV Mainz 05,https://tmssl.akamaized.net/images/wappen/medium/39.png?lm=1564748880,19/20,Aarón Martín
06.2019,2019-06-05,22,"20,00",20000000,€,Mio.,39,1.FSV Mainz 05,1.FSV Mainz 05,https://tmssl.akamaized.net/images/wappen/medium/39.png?lm=1564748880,18/19,Aarón Martín
03.2019,2019-03-06,21,"16,00",16000000,€,Mio.,39,1.FSV Mainz 05,1.FSV Mainz 05,https://tmssl.akamaized.net/images/wappen/medium/39.png?lm=1564748880,18/19,Aarón Martín
12.2018,2018-12-18,21,"12,00",12000000,€,Mio.,39,1.FSV Mainz 05,1.FSV Mainz 05,https://tmssl.akamaized.net/images/wappen/medium/39.png?lm=1564748880,18/19,Aarón Martín
08.2018,2018-08-22,21,"10,00",10000000,€,Mio.,39,1.FSV Mainz 05,1.FSV Mainz 05,https://tmssl.akamaized.net/images/wappen/medium/39.png?lm=1564748880,18/19,Aarón Martín
05.2018,2018-05-30,21,"12,00",12000000,€,Mio.,714,Espanyol Barcelona,Esp. Barcelona,https://tmssl.akamaized.net/images/wappen/medium/714.png?lm=1406966369,17/18,Aarón Martín
03.2018,2018-03-22,20,"20,00",20000000,€,Mio.,714,Espanyol Barcelona,Esp. Barcelona,https://tmssl.akamaized.net/images/wappen/medium/714.png?lm=1406966369,17/18,Aarón Martín
01.2018,2018-01-01,20,"15,00",15000000,€,Mio.,714,Espanyol Barcelona,Esp. Barcelona,https://tmssl.akamaized.net/images/wappen/medium/714.png?lm=1406966369,17/18,Aarón Martín
06.2017,2017-06-05,20,"10,00",10000000,€,Mio.,714,Espanyol Barcelona,Esp. Barcelona,https://tmssl.akamaized.net/images/wappen/medium/714.png?lm=1406966369,16/17,Aarón Martín
03.2017,2017-03-29,19,"6,00",6000000,€,Mio.,714,Espanyol Barcelona,Esp. Barcelona,https://tmssl.akamaized.net/images/wappen/medium/714.png?lm=1406966369,16/17,Aarón Martín
01.2017,2017-01-24,19,"3,00",3000000,€,Mio.,714,Espanyol Barcelona,Esp. Barcelona,https://tmssl.akamaized.net/images/wappen/medium/714.png?lm=1406966369,16/17,Aarón Martín
10.2016,2016-10-27,19,500,500000,€,Tsd.,714,Espanyol Barcelona,Esp. Barcelona,https://tmssl.akamaized.net/images/wappen/medium/714.png?lm=1406966369,16/17,Aarón Martín
08.2016,2016-08-01,19,300,300000,€,Tsd.,10773,Espanyol Barcelona B,Espanyol B,https://tmssl.akamaized.net/images/wappen/medium/10773.png?lm=1406966369,16/17,Aarón Martín
02.2016,2016-02-08,18,-,0,€,,10773,Espanyol Barcelona B,Espanyol B,https://tmssl.akamaized.net/images/wappen/medium/10773.png?lm=1406966369,15/16,Aarón Martín
