date,unformattedDate,age,marketValue,marketValueUnformatted,marketValueCurrency,marketValueNumeral,clubID,clubName,clubShortName,clubImage,seasonID,Name
11.2022,2022-11-09,25,"4,50",4500000,€,Mio.,44,Hertha BSC,Hertha BSC,https://tmssl.akamaized.net/images/wappen/medium/44.png?lm=1656580875,22/23,Agustín Rogel
05.2022,2022-05-24,24,"4,50",4500000,€,Mio.,288,Club Estudiantes de La Plata,Estudiantes,https://tmssl.akamaized.net/images/wappen/medium/288.png?lm=1615331978,21/22,Agustín Rogel
02.2022,2022-02-08,24,"2,60",2600000,€,Mio.,288,Club Estudiantes de La Plata,Estudiantes,https://tmssl.akamaized.net/images/wappen/medium/288.png?lm=1615331978,21/22,Agustín Rogel
10.2021,2021-10-20,24,"2,30",2300000,€,Mio.,288,Club Estudiantes de La Plata,Estudiantes,https://tmssl.akamaized.net/images/wappen/medium/288.png?lm=1615331978,21/22,Agustín Rogel
06.2021,2021-06-11,23,"1,50",1500000,€,Mio.,288,Club Estudiantes de La Plata,Estudiantes,https://tmssl.akamaized.net/images/wappen/medium/288.png?lm=1615331978,20/21,Agustín Rogel
11.2020,2020-11-11,23,900,900000,€,Tsd.,415,FC Toulouse,FC Toulouse,https://tmssl.akamaized.net/images/wappen/medium/415.png?lm=1530117274,20/21,Agustín Rogel
04.2020,2020-04-08,22,"1,40",1400000,€,Mio.,415,FC Toulouse,FC Toulouse,https://tmssl.akamaized.net/images/wappen/medium/415.png?lm=1530117274,19/20,Agustín Rogel
12.2019,2019-12-19,22,"1,80",1800000,€,Mio.,415,FC Toulouse,FC Toulouse,https://tmssl.akamaized.net/images/wappen/medium/415.png?lm=1530117274,19/20,Agustín Rogel
09.2019,2019-09-27,21,"2,50",2500000,€,Mio.,415,FC Toulouse,FC Toulouse,https://tmssl.akamaized.net/images/wappen/medium/415.png?lm=1530117274,19/20,Agustín Rogel
06.2019,2019-06-14,21,"1,00",1000000,€,Mio.,2696,Krylya Sovetov Samara,KS Samara,https://tmssl.akamaized.net/images/wappen/medium/2696.png?lm=1658044381,18/19,Agustín Rogel
12.2018,2018-12-20,21,"1,00",1000000,€,Mio.,2696,Krylya Sovetov Samara,KS Samara,https://tmssl.akamaized.net/images/wappen/medium/2696.png?lm=1658044381,18/19,Agustín Rogel
02.2018,2018-02-05,20,750,750000,€,Tsd.,866,Club Nacional,Nacional,https://tmssl.akamaized.net/images/wappen/medium/866.png?lm=1570916104,17/18,Agustín Rogel
02.2017,2017-02-22,19,150,150000,€,Tsd.,866,Club Nacional,Nacional,https://tmssl.akamaized.net/images/wappen/medium/866.png?lm=1570916104,16/17,Agustín Rogel
