date,unformattedDate,age,marketValue,marketValueUnformatted,marketValueCurrency,marketValueNumeral,clubID,clubName,clubShortName,clubImage,seasonID,Name
11.2022,2022-11-09,29,"2,50",2500000,€,Mio.,39,1.FSV Mainz 05,1.FSV Mainz 05,https://tmssl.akamaized.net/images/wappen/medium/39.png?lm=1564748880,22/23,Alexander Hack
06.2022,2022-06-09,28,"2,50",2500000,€,Mio.,39,1.FSV Mainz 05,1.FSV Mainz 05,https://tmssl.akamaized.net/images/wappen/medium/39.png?lm=1564748880,21/22,Alexander Hack
12.2021,2021-12-22,28,"2,50",2500000,€,Mio.,39,1.FSV Mainz 05,1.FSV Mainz 05,https://tmssl.akamaized.net/images/wappen/medium/39.png?lm=1564748880,21/22,Alexander Hack
06.2021,2021-06-09,27,"2,00",2000000,€,Mio.,39,1.FSV Mainz 05,1.FSV Mainz 05,https://tmssl.akamaized.net/images/wappen/medium/39.png?lm=1564748880,20/21,Alexander Hack
02.2021,2021-02-10,27,"1,50",1500000,€,Mio.,39,1.FSV Mainz 05,1.FSV Mainz 05,https://tmssl.akamaized.net/images/wappen/medium/39.png?lm=1564748880,20/21,Alexander Hack
04.2020,2020-04-08,26,"1,00",1000000,€,Mio.,39,1.FSV Mainz 05,1.FSV Mainz 05,https://tmssl.akamaized.net/images/wappen/medium/39.png?lm=1564748880,19/20,Alexander Hack
12.2019,2019-12-17,26,"1,30",1300000,€,Mio.,39,1.FSV Mainz 05,1.FSV Mainz 05,https://tmssl.akamaized.net/images/wappen/medium/39.png?lm=1564748880,19/20,Alexander Hack
06.2019,2019-06-05,25,"2,50",2500000,€,Mio.,39,1.FSV Mainz 05,1.FSV Mainz 05,https://tmssl.akamaized.net/images/wappen/medium/39.png?lm=1564748880,18/19,Alexander Hack
12.2018,2018-12-18,25,"3,00",3000000,€,Mio.,39,1.FSV Mainz 05,1.FSV Mainz 05,https://tmssl.akamaized.net/images/wappen/medium/39.png?lm=1564748880,18/19,Alexander Hack
06.2018,2018-06-05,24,"3,00",3000000,€,Mio.,39,1.FSV Mainz 05,1.FSV Mainz 05,https://tmssl.akamaized.net/images/wappen/medium/39.png?lm=1564748880,17/18,Alexander Hack
12.2017,2017-12-28,24,"1,50",1500000,€,Mio.,39,1.FSV Mainz 05,1.FSV Mainz 05,https://tmssl.akamaized.net/images/wappen/medium/39.png?lm=1564748880,17/18,Alexander Hack
06.2017,2017-06-19,23,"1,50",1500000,€,Mio.,39,1.FSV Mainz 05,1.FSV Mainz 05,https://tmssl.akamaized.net/images/wappen/medium/39.png?lm=1564748880,16/17,Alexander Hack
02.2017,2017-02-07,23,"1,50",1500000,€,Mio.,39,1.FSV Mainz 05,1.FSV Mainz 05,https://tmssl.akamaized.net/images/wappen/medium/39.png?lm=1564748880,16/17,Alexander Hack
07.2016,2016-07-22,22,750,750000,€,Tsd.,39,1.FSV Mainz 05,1.FSV Mainz 05,https://tmssl.akamaized.net/images/wappen/medium/39.png?lm=1564748880,16/17,Alexander Hack
04.2016,2016-04-13,22,750,750000,€,Tsd.,39,1.FSV Mainz 05,1.FSV Mainz 05,https://tmssl.akamaized.net/images/wappen/medium/39.png?lm=1564748880,15/16,Alexander Hack
02.2016,2016-02-15,22,500,500000,€,Tsd.,39,1.FSV Mainz 05,1.FSV Mainz 05,https://tmssl.akamaized.net/images/wappen/medium/39.png?lm=1564748880,15/16,Alexander Hack
10.2015,2015-10-29,22,300,300000,€,Tsd.,851,1.FSV Mainz 05 II,FSV Mainz 05 II,https://tmssl.akamaized.net/images/wappen/medium/851.png?lm=1564748880,15/16,Alexander Hack
07.2015,2015-07-01,21,225,225000,€,Tsd.,851,1.FSV Mainz 05 II,FSV Mainz 05 II,https://tmssl.akamaized.net/images/wappen/medium/851.png?lm=1564748880,15/16,Alexander Hack
03.2015,2015-03-07,21,275,275000,€,Tsd.,851,1.FSV Mainz 05 II,FSV Mainz 05 II,https://tmssl.akamaized.net/images/wappen/medium/851.png?lm=1564748880,14/15,Alexander Hack
06.2014,2014-06-30,20,275,275000,€,Tsd.,66,SpVgg Unterhaching,Unterhaching,https://tmssl.akamaized.net/images/wappen/medium/66.png?lm=1403081188,13/14,Alexander Hack
01.2014,2014-01-24,20,200,200000,€,Tsd.,66,SpVgg Unterhaching,Unterhaching,https://tmssl.akamaized.net/images/wappen/medium/66.png?lm=1403081188,13/14,Alexander Hack
10.2013,2013-10-14,20,150,150000,€,Tsd.,66,SpVgg Unterhaching,Unterhaching,https://tmssl.akamaized.net/images/wappen/medium/66.png?lm=1403081188,13/14,Alexander Hack
08.2013,2013-08-09,19,50,50000,€,Tsd.,66,SpVgg Unterhaching,Unterhaching,https://tmssl.akamaized.net/images/wappen/medium/66.png?lm=1403081188,13/14,Alexander Hack
08.2012,2012-08-22,18,25,25000,€,Tsd.,1712,FC Memmingen,FC Memmingen,https://tmssl.akamaized.net/images/wappen/medium/1712.png?lm=1403945829,12/13,Alexander Hack
