date,unformattedDate,age,marketValue,marketValueUnformatted,marketValueCurrency,marketValueNumeral,clubID,clubName,clubShortName,clubImage,seasonID,Name
11.2022,2022-11-09,26,"3,50",3500000,€,Mio.,24,Eintracht Frankfurt,E. Frankfurt,https://tmssl.akamaized.net/images/wappen/medium/24.png?lm=1403806187,22/23,Almamy Touré
06.2022,2022-06-09,26,"3,50",3500000,€,Mio.,24,Eintracht Frankfurt,E. Frankfurt,https://tmssl.akamaized.net/images/wappen/medium/24.png?lm=1403806187,21/22,Almamy Touré
03.2022,2022-03-24,25,"2,50",2500000,€,Mio.,24,Eintracht Frankfurt,E. Frankfurt,https://tmssl.akamaized.net/images/wappen/medium/24.png?lm=1403806187,21/22,Almamy Touré
12.2021,2021-12-22,25,"4,00",4000000,€,Mio.,24,Eintracht Frankfurt,E. Frankfurt,https://tmssl.akamaized.net/images/wappen/medium/24.png?lm=1403806187,21/22,Almamy Touré
06.2021,2021-06-09,25,"5,50",5500000,€,Mio.,24,Eintracht Frankfurt,E. Frankfurt,https://tmssl.akamaized.net/images/wappen/medium/24.png?lm=1403806187,20/21,Almamy Touré
02.2021,2021-02-10,24,"5,50",5500000,€,Mio.,24,Eintracht Frankfurt,E. Frankfurt,https://tmssl.akamaized.net/images/wappen/medium/24.png?lm=1403806187,20/21,Almamy Touré
04.2020,2020-04-08,23,"6,50",6500000,€,Mio.,24,Eintracht Frankfurt,E. Frankfurt,https://tmssl.akamaized.net/images/wappen/medium/24.png?lm=1403806187,19/20,Almamy Touré
03.2020,2020-03-11,23,"8,00",8000000,€,Mio.,24,Eintracht Frankfurt,E. Frankfurt,https://tmssl.akamaized.net/images/wappen/medium/24.png?lm=1403806187,19/20,Almamy Touré
12.2019,2019-12-17,23,"6,50",6500000,€,Mio.,24,Eintracht Frankfurt,E. Frankfurt,https://tmssl.akamaized.net/images/wappen/medium/24.png?lm=1403806187,19/20,Almamy Touré
06.2019,2019-06-05,23,"6,50",6500000,€,Mio.,24,Eintracht Frankfurt,E. Frankfurt,https://tmssl.akamaized.net/images/wappen/medium/24.png?lm=1403806187,18/19,Almamy Touré
12.2018,2018-12-17,22,"8,00",8000000,€,Mio.,162,AS Monaco,AS Monaco,https://tmssl.akamaized.net/images/wappen/medium/162.png?lm=1654781919,18/19,Almamy Touré
06.2018,2018-06-04,22,"8,00",8000000,€,Mio.,162,AS Monaco,AS Monaco,https://tmssl.akamaized.net/images/wappen/medium/162.png?lm=1654781919,17/18,Almamy Touré
01.2018,2018-01-24,21,"8,00",8000000,€,Mio.,162,AS Monaco,AS Monaco,https://tmssl.akamaized.net/images/wappen/medium/162.png?lm=1654781919,17/18,Almamy Touré
06.2017,2017-06-01,21,"4,00",4000000,€,Mio.,162,AS Monaco,AS Monaco,https://tmssl.akamaized.net/images/wappen/medium/162.png?lm=1654781919,16/17,Almamy Touré
01.2017,2017-01-16,20,"2,50",2500000,€,Mio.,162,AS Monaco,AS Monaco,https://tmssl.akamaized.net/images/wappen/medium/162.png?lm=1654781919,16/17,Almamy Touré
07.2016,2016-07-13,20,"2,50",2500000,€,Mio.,162,AS Monaco,AS Monaco,https://tmssl.akamaized.net/images/wappen/medium/162.png?lm=1654781919,16/17,Almamy Touré
02.2016,2016-02-04,19,"2,50",2500000,€,Mio.,162,AS Monaco,AS Monaco,https://tmssl.akamaized.net/images/wappen/medium/162.png?lm=1654781919,15/16,Almamy Touré
06.2015,2015-06-06,19,500,500000,€,Tsd.,162,AS Monaco,AS Monaco,https://tmssl.akamaized.net/images/wappen/medium/162.png?lm=1654781919,14/15,Almamy Touré
01.2015,2015-01-14,18,150,150000,€,Tsd.,162,AS Monaco,AS Monaco,https://tmssl.akamaized.net/images/wappen/medium/162.png?lm=1654781919,14/15,Almamy Touré
11.2014,2014-11-20,18,150,150000,€,Tsd.,9668,AS Monaco U21,AS Monaco U21,https://tmssl.akamaized.net/images/wappen/medium/9668.png?lm=1654781919,14/15,Almamy Touré
