date,unformattedDate,age,marketValue,marketValueUnformatted,marketValueCurrency,marketValueNumeral,clubID,clubName,clubShortName,clubImage,seasonID,Name
11.2022,2022-11-09,22,"70,00",70000000,€,Mio.,27,FC Bayern München,Bayern München,https://tmssl.akamaized.net/images/wappen/medium/27.png?lm=1498251238,22/23,Alphonso Davies
06.2022,2022-06-09,21,"70,00",70000000,€,Mio.,27,FC Bayern München,Bayern München,https://tmssl.akamaized.net/images/wappen/medium/27.png?lm=1498251238,21/22,Alphonso Davies
12.2021,2021-12-22,21,"70,00",70000000,€,Mio.,27,FC Bayern München,Bayern München,https://tmssl.akamaized.net/images/wappen/medium/27.png?lm=1498251238,21/22,Alphonso Davies
06.2021,2021-06-09,20,"70,00",70000000,€,Mio.,27,FC Bayern München,Bayern München,https://tmssl.akamaized.net/images/wappen/medium/27.png?lm=1498251238,20/21,Alphonso Davies
02.2021,2021-02-10,20,"75,00",75000000,€,Mio.,27,FC Bayern München,Bayern München,https://tmssl.akamaized.net/images/wappen/medium/27.png?lm=1498251238,20/21,Alphonso Davies
09.2020,2020-09-16,19,"80,00",80000000,€,Mio.,27,FC Bayern München,Bayern München,https://tmssl.akamaized.net/images/wappen/medium/27.png?lm=1498251238,20/21,Alphonso Davies
07.2020,2020-07-08,19,"60,00",60000000,€,Mio.,27,FC Bayern München,Bayern München,https://tmssl.akamaized.net/images/wappen/medium/27.png?lm=1498251238,20/21,Alphonso Davies
04.2020,2020-04-08,19,"45,00",45000000,€,Mio.,27,FC Bayern München,Bayern München,https://tmssl.akamaized.net/images/wappen/medium/27.png?lm=1498251238,19/20,Alphonso Davies
03.2020,2020-03-11,19,"50,00",50000000,€,Mio.,27,FC Bayern München,Bayern München,https://tmssl.akamaized.net/images/wappen/medium/27.png?lm=1498251238,19/20,Alphonso Davies
02.2020,2020-02-11,19,"40,00",40000000,€,Mio.,27,FC Bayern München,Bayern München,https://tmssl.akamaized.net/images/wappen/medium/27.png?lm=1498251238,19/20,Alphonso Davies
12.2019,2019-12-17,19,"25,00",25000000,€,Mio.,27,FC Bayern München,Bayern München,https://tmssl.akamaized.net/images/wappen/medium/27.png?lm=1498251238,19/20,Alphonso Davies
10.2019,2019-10-02,18,"15,00",15000000,€,Mio.,27,FC Bayern München,Bayern München,https://tmssl.akamaized.net/images/wappen/medium/27.png?lm=1498251238,19/20,Alphonso Davies
06.2019,2019-06-05,18,"10,00",10000000,€,Mio.,27,FC Bayern München,Bayern München,https://tmssl.akamaized.net/images/wappen/medium/27.png?lm=1498251238,18/19,Alphonso Davies
12.2018,2018-12-15,18,"10,00",10000000,€,Mio.,6321,Vancouver Whitecaps FC,Vancouver,https://tmssl.akamaized.net/images/wappen/medium/6321.png?lm=1420976934,18/19,Alphonso Davies
08.2018,2018-08-15,17,"10,00",10000000,€,Mio.,6321,Vancouver Whitecaps FC,Vancouver,https://tmssl.akamaized.net/images/wappen/medium/6321.png?lm=1420976934,18/19,Alphonso Davies
05.2018,2018-05-02,17,800,800000,€,Tsd.,6321,Vancouver Whitecaps FC,Vancouver,https://tmssl.akamaized.net/images/wappen/medium/6321.png?lm=1420976934,17/18,Alphonso Davies
12.2017,2017-12-05,17,700,700000,€,Tsd.,6321,Vancouver Whitecaps FC,Vancouver,https://tmssl.akamaized.net/images/wappen/medium/6321.png?lm=1420976934,17/18,Alphonso Davies
05.2017,2017-05-24,16,450,450000,€,Tsd.,6321,Vancouver Whitecaps FC,Vancouver,https://tmssl.akamaized.net/images/wappen/medium/6321.png?lm=1420976934,16/17,Alphonso Davies
12.2016,2016-12-15,16,200,200000,€,Tsd.,6321,Vancouver Whitecaps FC,Vancouver,https://tmssl.akamaized.net/images/wappen/medium/6321.png?lm=1420976934,16/17,Alphonso Davies
