date,unformattedDate,age,marketValue,marketValueUnformatted,marketValueCurrency,marketValueNumeral,clubID,clubName,clubShortName,clubImage,seasonID,Name
11.2022,2022-11-09,24,"6,00",6000000,€,Mio.,86,SV Werder Bremen,Werder Bremen,https://tmssl.akamaized.net/images/wappen/medium/86.png?lm=1403082298,22/23,Amos Pieper
06.2022,2022-06-09,24,"5,00",5000000,€,Mio.,10,Arminia Bielefeld,Arm. Bielefeld,https://tmssl.akamaized.net/images/wappen/medium/10.png?lm=1629204733,21/22,Amos Pieper
12.2021,2021-12-22,23,"7,00",7000000,€,Mio.,10,Arminia Bielefeld,Arm. Bielefeld,https://tmssl.akamaized.net/images/wappen/medium/10.png?lm=1629204733,21/22,Amos Pieper
06.2021,2021-06-09,23,"7,00",7000000,€,Mio.,10,Arminia Bielefeld,Arm. Bielefeld,https://tmssl.akamaized.net/images/wappen/medium/10.png?lm=1629204733,20/21,Amos Pieper
02.2021,2021-02-10,23,"4,50",4500000,€,Mio.,10,Arminia Bielefeld,Arm. Bielefeld,https://tmssl.akamaized.net/images/wappen/medium/10.png?lm=1629204733,20/21,Amos Pieper
11.2020,2020-11-26,22,"3,50",3500000,€,Mio.,10,Arminia Bielefeld,Arm. Bielefeld,https://tmssl.akamaized.net/images/wappen/medium/10.png?lm=1629204733,20/21,Amos Pieper
07.2020,2020-07-15,22,"2,50",2500000,€,Mio.,10,Arminia Bielefeld,Arm. Bielefeld,https://tmssl.akamaized.net/images/wappen/medium/10.png?lm=1629204733,20/21,Amos Pieper
04.2020,2020-04-08,22,"1,80",1800000,€,Mio.,10,Arminia Bielefeld,Arm. Bielefeld,https://tmssl.akamaized.net/images/wappen/medium/10.png?lm=1629204733,19/20,Amos Pieper
04.2020,2020-04-02,22,"2,00",2000000,€,Mio.,10,Arminia Bielefeld,Arm. Bielefeld,https://tmssl.akamaized.net/images/wappen/medium/10.png?lm=1629204733,19/20,Amos Pieper
12.2019,2019-12-13,21,"1,00",1000000,€,Mio.,10,Arminia Bielefeld,Arm. Bielefeld,https://tmssl.akamaized.net/images/wappen/medium/10.png?lm=1629204733,19/20,Amos Pieper
06.2019,2019-06-12,21,450,450000,€,Tsd.,10,Arminia Bielefeld,Arm. Bielefeld,https://tmssl.akamaized.net/images/wappen/medium/10.png?lm=1629204733,18/19,Amos Pieper
03.2019,2019-03-13,21,250,250000,€,Tsd.,10,Arminia Bielefeld,Arm. Bielefeld,https://tmssl.akamaized.net/images/wappen/medium/10.png?lm=1629204733,18/19,Amos Pieper
02.2019,2019-02-01,21,125,125000,€,Tsd.,10,Arminia Bielefeld,Arm. Bielefeld,https://tmssl.akamaized.net/images/wappen/medium/10.png?lm=1629204733,18/19,Amos Pieper
10.2018,2018-10-08,20,100,100000,€,Tsd.,17,Borussia Dortmund II,B. Dortmund II,https://tmssl.akamaized.net/images/wappen/medium/17.png?lm=1396275305,18/19,Amos Pieper
07.2018,2018-07-15,20,75,75000,€,Tsd.,17,Borussia Dortmund II,B. Dortmund II,https://tmssl.akamaized.net/images/wappen/medium/17.png?lm=1396275305,18/19,Amos Pieper
02.2018,2018-02-03,20,50,50000,€,Tsd.,17,Borussia Dortmund II,B. Dortmund II,https://tmssl.akamaized.net/images/wappen/medium/17.png?lm=1396275305,17/18,Amos Pieper
07.2017,2017-07-01,19,50,50000,€,Tsd.,17,Borussia Dortmund II,B. Dortmund II,https://tmssl.akamaized.net/images/wappen/medium/17.png?lm=1396275305,17/18,Amos Pieper
