date,unformattedDate,age,marketValue,marketValueUnformatted,marketValueCurrency,marketValueNumeral,clubID,clubName,clubShortName,clubImage,seasonID,Name
11.2022,2022-11-04,25,"3,50",3500000,€,Mio.,157,KAA Gent,KAA Gent,https://tmssl.akamaized.net/images/wappen/medium/157.png?lm=1660723687,22/23,Andreas Hanche-Olsen
04.2022,2022-04-12,25,"4,00",4000000,€,Mio.,157,KAA Gent,KAA Gent,https://tmssl.akamaized.net/images/wappen/medium/157.png?lm=1660723687,21/22,Andreas Hanche-Olsen
01.2022,2022-01-06,24,"3,00",3000000,€,Mio.,157,KAA Gent,KAA Gent,https://tmssl.akamaized.net/images/wappen/medium/157.png?lm=1660723687,21/22,Andreas Hanche-Olsen
06.2021,2021-06-07,24,"2,50",2500000,€,Mio.,157,KAA Gent,KAA Gent,https://tmssl.akamaized.net/images/wappen/medium/157.png?lm=1660723687,20/21,Andreas Hanche-Olsen
03.2021,2021-03-17,24,"2,00",2000000,€,Mio.,157,KAA Gent,KAA Gent,https://tmssl.akamaized.net/images/wappen/medium/157.png?lm=1660723687,20/21,Andreas Hanche-Olsen
01.2021,2021-01-04,23,"1,50",1500000,€,Mio.,157,KAA Gent,KAA Gent,https://tmssl.akamaized.net/images/wappen/medium/157.png?lm=1660723687,20/21,Andreas Hanche-Olsen
10.2020,2020-10-16,23,900,900000,€,Tsd.,157,KAA Gent,KAA Gent,https://tmssl.akamaized.net/images/wappen/medium/157.png?lm=1660723687,20/21,Andreas Hanche-Olsen
07.2020,2020-07-25,23,600,600000,€,Tsd.,1274,Stabæk Fotball,Stabæk Fotball,https://tmssl.akamaized.net/images/wappen/medium/1274.png?lm=1423572768,20/21,Andreas Hanche-Olsen
04.2020,2020-04-08,23,400,400000,€,Tsd.,1274,Stabæk Fotball,Stabæk Fotball,https://tmssl.akamaized.net/images/wappen/medium/1274.png?lm=1423572768,19/20,Andreas Hanche-Olsen
12.2019,2019-12-29,22,500,500000,€,Tsd.,1274,Stabæk Fotball,Stabæk Fotball,https://tmssl.akamaized.net/images/wappen/medium/1274.png?lm=1423572768,19/20,Andreas Hanche-Olsen
12.2018,2018-12-30,21,400,400000,€,Tsd.,1274,Stabæk Fotball,Stabæk Fotball,https://tmssl.akamaized.net/images/wappen/medium/1274.png?lm=1423572768,18/19,Andreas Hanche-Olsen
12.2017,2017-12-23,20,400,400000,€,Tsd.,1274,Stabæk Fotball,Stabæk Fotball,https://tmssl.akamaized.net/images/wappen/medium/1274.png?lm=1423572768,17/18,Andreas Hanche-Olsen
12.2016,2016-12-18,19,200,200000,€,Tsd.,1274,Stabæk Fotball,Stabæk Fotball,https://tmssl.akamaized.net/images/wappen/medium/1274.png?lm=1423572768,16/17,Andreas Hanche-Olsen
