date,unformattedDate,age,marketValue,marketValueUnformatted,marketValueCurrency,marketValueNumeral,clubID,clubName,clubShortName,clubImage,seasonID,Name
11.2022,2022-11-09,25,"20,00",20000000,€,Mio.,533,TSG 1899 Hoffenheim,TSG Hoffenheim,https://tmssl.akamaized.net/images/wappen/medium/533.png?lm=1675591766,22/23,Angeliño
09.2022,2022-09-21,25,"20,00",20000000,€,Mio.,533,TSG 1899 Hoffenheim,TSG Hoffenheim,https://tmssl.akamaized.net/images/wappen/medium/533.png?lm=1675591766,22/23,Angeliño
06.2022,2022-06-09,25,"30,00",30000000,€,Mio.,23826,RasenBallsport Leipzig,RB Leipzig,https://tmssl.akamaized.net/images/wappen/medium/23826.png?lm=1619431624,21/22,Angeliño
12.2021,2021-12-22,24,"30,00",30000000,€,Mio.,23826,RasenBallsport Leipzig,RB Leipzig,https://tmssl.akamaized.net/images/wappen/medium/23826.png?lm=1619431624,21/22,Angeliño
06.2021,2021-06-09,24,"35,00",35000000,€,Mio.,23826,RasenBallsport Leipzig,RB Leipzig,https://tmssl.akamaized.net/images/wappen/medium/23826.png?lm=1619431624,20/21,Angeliño
02.2021,2021-02-10,24,"35,00",35000000,€,Mio.,23826,RasenBallsport Leipzig,RB Leipzig,https://tmssl.akamaized.net/images/wappen/medium/23826.png?lm=1619431624,20/21,Angeliño
11.2020,2020-11-26,23,"25,00",25000000,€,Mio.,23826,RasenBallsport Leipzig,RB Leipzig,https://tmssl.akamaized.net/images/wappen/medium/23826.png?lm=1619431624,20/21,Angeliño
07.2020,2020-07-08,23,"20,00",20000000,€,Mio.,23826,RasenBallsport Leipzig,RB Leipzig,https://tmssl.akamaized.net/images/wappen/medium/23826.png?lm=1619431624,20/21,Angeliño
04.2020,2020-04-08,23,"17,50",17500000,€,Mio.,23826,RasenBallsport Leipzig,RB Leipzig,https://tmssl.akamaized.net/images/wappen/medium/23826.png?lm=1619431624,19/20,Angeliño
03.2020,2020-03-11,23,"22,00",22000000,€,Mio.,23826,RasenBallsport Leipzig,RB Leipzig,https://tmssl.akamaized.net/images/wappen/medium/23826.png?lm=1619431624,19/20,Angeliño
12.2019,2019-12-10,22,"16,00",16000000,€,Mio.,281,Manchester City,Manchester City,https://tmssl.akamaized.net/images/wappen/medium/281.png?lm=1467356331,19/20,Angeliño
06.2019,2019-06-12,22,"16,00",16000000,€,Mio.,383,PSV Eindhoven,PSV Eindhoven,https://tmssl.akamaized.net/images/wappen/medium/383.png?lm=1626929299,18/19,Angeliño
12.2018,2018-12-28,21,"12,00",12000000,€,Mio.,383,PSV Eindhoven,PSV Eindhoven,https://tmssl.akamaized.net/images/wappen/medium/383.png?lm=1626929299,18/19,Angeliño
10.2018,2018-10-04,21,"7,00",7000000,€,Mio.,383,PSV Eindhoven,PSV Eindhoven,https://tmssl.akamaized.net/images/wappen/medium/383.png?lm=1626929299,18/19,Angeliño
06.2018,2018-06-12,21,"3,00",3000000,€,Mio.,132,NAC Breda,NAC Breda,https://tmssl.akamaized.net/images/wappen/medium/132.png?lm=1667313213,17/18,Angeliño
03.2018,2018-03-27,21,"1,25",1250000,€,Mio.,132,NAC Breda,NAC Breda,https://tmssl.akamaized.net/images/wappen/medium/132.png?lm=1667313213,17/18,Angeliño
01.2018,2018-01-17,21,800,800000,€,Tsd.,132,NAC Breda,NAC Breda,https://tmssl.akamaized.net/images/wappen/medium/132.png?lm=1667313213,17/18,Angeliño
06.2017,2017-06-29,20,500,500000,€,Tsd.,237,RCD Mallorca,RCD Mallorca,https://tmssl.akamaized.net/images/wappen/medium/237.png?lm=1407484750,16/17,Angeliño
01.2017,2017-01-24,20,300,300000,€,Tsd.,12321,FC Girona,FC Girona,https://tmssl.akamaized.net/images/wappen/medium/12321.png?lm=1659464404,16/17,Angeliño
