date,unformattedDate,age,marketValue,marketValueUnformatted,marketValueCurrency,marketValueNumeral,clubID,clubName,clubShortName,clubImage,seasonID,Name
11.2022,2022-11-09,25,"7,00",7000000,€,Mio.,39,1.FSV Mainz 05,1.FSV Mainz 05,https://tmssl.akamaized.net/images/wappen/medium/39.png?lm=1564748880,22/23,Anthony Caci
05.2022,2022-05-30,24,"7,00",7000000,€,Mio.,667,RC Straßburg Alsace,R. Straßburg,https://tmssl.akamaized.net/images/wappen/medium/667.png?lm=1664991833,21/22,Anthony Caci
03.2022,2022-03-23,24,"6,00",6000000,€,Mio.,667,RC Straßburg Alsace,R. Straßburg,https://tmssl.akamaized.net/images/wappen/medium/667.png?lm=1664991833,21/22,Anthony Caci
12.2021,2021-12-16,24,"5,00",5000000,€,Mio.,667,RC Straßburg Alsace,R. Straßburg,https://tmssl.akamaized.net/images/wappen/medium/667.png?lm=1664991833,21/22,Anthony Caci
06.2021,2021-06-04,23,"5,00",5000000,€,Mio.,667,RC Straßburg Alsace,R. Straßburg,https://tmssl.akamaized.net/images/wappen/medium/667.png?lm=1664991833,20/21,Anthony Caci
04.2021,2021-04-09,23,"5,00",5000000,€,Mio.,667,RC Straßburg Alsace,R. Straßburg,https://tmssl.akamaized.net/images/wappen/medium/667.png?lm=1664991833,20/21,Anthony Caci
01.2021,2021-01-07,23,"4,00",4000000,€,Mio.,667,RC Straßburg Alsace,R. Straßburg,https://tmssl.akamaized.net/images/wappen/medium/667.png?lm=1664991833,20/21,Anthony Caci
10.2020,2020-10-15,23,"3,50",3500000,€,Mio.,667,RC Straßburg Alsace,R. Straßburg,https://tmssl.akamaized.net/images/wappen/medium/667.png?lm=1664991833,20/21,Anthony Caci
04.2020,2020-04-08,22,"3,20",3200000,€,Mio.,667,RC Straßburg Alsace,R. Straßburg,https://tmssl.akamaized.net/images/wappen/medium/667.png?lm=1664991833,19/20,Anthony Caci
12.2019,2019-12-19,22,"4,00",4000000,€,Mio.,667,RC Straßburg Alsace,R. Straßburg,https://tmssl.akamaized.net/images/wappen/medium/667.png?lm=1664991833,19/20,Anthony Caci
06.2019,2019-06-03,21,"3,00",3000000,€,Mio.,667,RC Straßburg Alsace,R. Straßburg,https://tmssl.akamaized.net/images/wappen/medium/667.png?lm=1664991833,18/19,Anthony Caci
12.2018,2018-12-17,21,"2,50",2500000,€,Mio.,667,RC Straßburg Alsace,R. Straßburg,https://tmssl.akamaized.net/images/wappen/medium/667.png?lm=1664991833,18/19,Anthony Caci
10.2018,2018-10-24,21,"2,50",2500000,€,Mio.,667,RC Straßburg Alsace,R. Straßburg,https://tmssl.akamaized.net/images/wappen/medium/667.png?lm=1664991833,18/19,Anthony Caci
09.2018,2018-09-06,21,150,150000,€,Tsd.,667,RC Straßburg Alsace,R. Straßburg,https://tmssl.akamaized.net/images/wappen/medium/667.png?lm=1664991833,18/19,Anthony Caci
