date,unformattedDate,age,marketValue,marketValueUnformatted,marketValueCurrency,marketValueNumeral,clubID,clubName,clubShortName,clubImage,seasonID,Name
11.2022,2022-11-09,31,"1,00",1000000,€,Mio.,86,SV Werder Bremen,Werder Bremen,https://tmssl.akamaized.net/images/wappen/medium/86.png?lm=1403082298,22/23,Anthony Jung
06.2022,2022-06-16,30,"1,00",1000000,€,Mio.,86,SV Werder Bremen,Werder Bremen,https://tmssl.akamaized.net/images/wappen/medium/86.png?lm=1403082298,21/22,Anthony Jung
12.2021,2021-12-15,30,800,800000,€,Tsd.,86,SV Werder Bremen,Werder Bremen,https://tmssl.akamaized.net/images/wappen/medium/86.png?lm=1403082298,21/22,Anthony Jung
06.2021,2021-06-04,29,800,800000,€,Tsd.,206,Bröndby IF,Bröndby IF,https://tmssl.akamaized.net/images/wappen/medium/206.png?lm=1518117616,20/21,Anthony Jung
12.2020,2020-12-23,29,600,600000,€,Tsd.,206,Bröndby IF,Bröndby IF,https://tmssl.akamaized.net/images/wappen/medium/206.png?lm=1518117616,20/21,Anthony Jung
07.2020,2020-07-31,28,600,600000,€,Tsd.,206,Bröndby IF,Bröndby IF,https://tmssl.akamaized.net/images/wappen/medium/206.png?lm=1518117616,20/21,Anthony Jung
04.2020,2020-04-08,28,550,550000,€,Tsd.,206,Bröndby IF,Bröndby IF,https://tmssl.akamaized.net/images/wappen/medium/206.png?lm=1518117616,19/20,Anthony Jung
12.2019,2019-12-22,28,700,700000,€,Tsd.,206,Bröndby IF,Bröndby IF,https://tmssl.akamaized.net/images/wappen/medium/206.png?lm=1518117616,19/20,Anthony Jung
06.2019,2019-06-08,27,700,700000,€,Tsd.,206,Bröndby IF,Bröndby IF,https://tmssl.akamaized.net/images/wappen/medium/206.png?lm=1518117616,18/19,Anthony Jung
12.2018,2018-12-21,27,700,700000,€,Tsd.,206,Bröndby IF,Bröndby IF,https://tmssl.akamaized.net/images/wappen/medium/206.png?lm=1518117616,18/19,Anthony Jung
06.2018,2018-06-02,26,800,800000,€,Tsd.,206,Bröndby IF,Bröndby IF,https://tmssl.akamaized.net/images/wappen/medium/206.png?lm=1518117616,17/18,Anthony Jung
12.2017,2017-12-18,26,600,600000,€,Tsd.,206,Bröndby IF,Bröndby IF,https://tmssl.akamaized.net/images/wappen/medium/206.png?lm=1518117616,17/18,Anthony Jung
06.2017,2017-06-19,25,800,800000,€,Tsd.,4795,FC Ingolstadt 04,FC Ingolstadt,https://tmssl.akamaized.net/images/wappen/medium/4795.png?lm=1482665720,16/17,Anthony Jung
02.2017,2017-02-07,25,800,800000,€,Tsd.,4795,FC Ingolstadt 04,FC Ingolstadt,https://tmssl.akamaized.net/images/wappen/medium/4795.png?lm=1482665720,16/17,Anthony Jung
07.2016,2016-07-22,24,800,800000,€,Tsd.,23826,RasenBallsport Leipzig,RB Leipzig,https://tmssl.akamaized.net/images/wappen/medium/23826.png?lm=1619431624,16/17,Anthony Jung
02.2016,2016-02-11,24,800,800000,€,Tsd.,23826,RasenBallsport Leipzig,RB Leipzig,https://tmssl.akamaized.net/images/wappen/medium/23826.png?lm=1619431624,15/16,Anthony Jung
07.2015,2015-07-01,23,800,800000,€,Tsd.,23826,RasenBallsport Leipzig,RB Leipzig,https://tmssl.akamaized.net/images/wappen/medium/23826.png?lm=1619431624,15/16,Anthony Jung
01.2015,2015-01-13,23,700,700000,€,Tsd.,23826,RasenBallsport Leipzig,RB Leipzig,https://tmssl.akamaized.net/images/wappen/medium/23826.png?lm=1619431624,14/15,Anthony Jung
06.2014,2014-06-30,22,400,400000,€,Tsd.,23826,RasenBallsport Leipzig,RB Leipzig,https://tmssl.akamaized.net/images/wappen/medium/23826.png?lm=1619431624,13/14,Anthony Jung
06.2013,2013-06-29,21,250,250000,€,Tsd.,293,FSV Frankfurt,FSV Frankfurt,https://tmssl.akamaized.net/images/wappen/medium/293.png?lm=1403095352,12/13,Anthony Jung
03.2013,2013-03-11,21,250,250000,€,Tsd.,293,FSV Frankfurt,FSV Frankfurt,https://tmssl.akamaized.net/images/wappen/medium/293.png?lm=1403095352,12/13,Anthony Jung
01.2013,2013-01-04,21,150,150000,€,Tsd.,293,FSV Frankfurt,FSV Frankfurt,https://tmssl.akamaized.net/images/wappen/medium/293.png?lm=1403095352,12/13,Anthony Jung
07.2012,2012-07-22,20,150,150000,€,Tsd.,293,FSV Frankfurt,FSV Frankfurt,https://tmssl.akamaized.net/images/wappen/medium/293.png?lm=1403095352,12/13,Anthony Jung
06.2012,2012-06-24,20,100,100000,€,Tsd.,177,Eintracht Frankfurt II,E. Frankfurt II,https://tmssl.akamaized.net/images/wappen/medium/177.png?lm=1403806188,11/12,Anthony Jung
11.2010,2010-11-01,18,75,75000,€,Tsd.,177,Eintracht Frankfurt II,E. Frankfurt II,https://tmssl.akamaized.net/images/wappen/medium/177.png?lm=1403806188,10/11,Anthony Jung
08.2010,2010-08-26,18,50,50000,€,Tsd.,177,Eintracht Frankfurt II,E. Frankfurt II,https://tmssl.akamaized.net/images/wappen/medium/177.png?lm=1403806188,10/11,Anthony Jung
