date,unformattedDate,age,marketValue,marketValueUnformatted,marketValueCurrency,marketValueNumeral,clubID,clubName,clubShortName,clubImage,seasonID,Name
11.2022,2022-11-09,28,"5,00",5000000,€,Mio.,24,Eintracht Frankfurt,E. Frankfurt,https://tmssl.akamaized.net/images/wappen/medium/24.png?lm=1403806187,22/23,Christopher Lenz
06.2022,2022-06-09,27,"4,00",4000000,€,Mio.,24,Eintracht Frankfurt,E. Frankfurt,https://tmssl.akamaized.net/images/wappen/medium/24.png?lm=1403806187,21/22,Christopher Lenz
12.2021,2021-12-22,27,"5,00",5000000,€,Mio.,24,Eintracht Frankfurt,E. Frankfurt,https://tmssl.akamaized.net/images/wappen/medium/24.png?lm=1403806187,21/22,Christopher Lenz
06.2021,2021-06-09,26,"5,00",5000000,€,Mio.,89,1.FC Union Berlin,Union Berlin,https://tmssl.akamaized.net/images/wappen/medium/89.png?lm=1402956210,20/21,Christopher Lenz
02.2021,2021-02-10,26,"5,00",5000000,€,Mio.,89,1.FC Union Berlin,Union Berlin,https://tmssl.akamaized.net/images/wappen/medium/89.png?lm=1402956210,20/21,Christopher Lenz
11.2020,2020-11-26,26,"4,00",4000000,€,Mio.,89,1.FC Union Berlin,Union Berlin,https://tmssl.akamaized.net/images/wappen/medium/89.png?lm=1402956210,20/21,Christopher Lenz
04.2020,2020-04-08,25,"2,20",2200000,€,Mio.,89,1.FC Union Berlin,Union Berlin,https://tmssl.akamaized.net/images/wappen/medium/89.png?lm=1402956210,19/20,Christopher Lenz
03.2020,2020-03-11,25,"2,80",2800000,€,Mio.,89,1.FC Union Berlin,Union Berlin,https://tmssl.akamaized.net/images/wappen/medium/89.png?lm=1402956210,19/20,Christopher Lenz
12.2019,2019-12-17,25,"1,50",1500000,€,Mio.,89,1.FC Union Berlin,Union Berlin,https://tmssl.akamaized.net/images/wappen/medium/89.png?lm=1402956210,19/20,Christopher Lenz
10.2019,2019-10-02,25,800,800000,€,Tsd.,89,1.FC Union Berlin,Union Berlin,https://tmssl.akamaized.net/images/wappen/medium/89.png?lm=1402956210,19/20,Christopher Lenz
06.2019,2019-06-12,24,500,500000,€,Tsd.,89,1.FC Union Berlin,Union Berlin,https://tmssl.akamaized.net/images/wappen/medium/89.png?lm=1402956210,18/19,Christopher Lenz
03.2019,2019-03-13,24,450,450000,€,Tsd.,89,1.FC Union Berlin,Union Berlin,https://tmssl.akamaized.net/images/wappen/medium/89.png?lm=1402956210,18/19,Christopher Lenz
01.2019,2019-01-08,24,350,350000,€,Tsd.,89,1.FC Union Berlin,Union Berlin,https://tmssl.akamaized.net/images/wappen/medium/89.png?lm=1402956210,18/19,Christopher Lenz
06.2018,2018-06-19,23,350,350000,€,Tsd.,269,Holstein Kiel,Holstein Kiel,https://tmssl.akamaized.net/images/wappen/medium/269.png?lm=1544480289,17/18,Christopher Lenz
01.2018,2018-01-22,23,350,350000,€,Tsd.,269,Holstein Kiel,Holstein Kiel,https://tmssl.akamaized.net/images/wappen/medium/269.png?lm=1544480289,17/18,Christopher Lenz
06.2017,2017-06-14,22,350,350000,€,Tsd.,269,Holstein Kiel,Holstein Kiel,https://tmssl.akamaized.net/images/wappen/medium/269.png?lm=1544480289,16/17,Christopher Lenz
02.2017,2017-02-10,22,200,200000,€,Tsd.,269,Holstein Kiel,Holstein Kiel,https://tmssl.akamaized.net/images/wappen/medium/269.png?lm=1544480289,16/17,Christopher Lenz
07.2016,2016-07-22,21,200,200000,€,Tsd.,89,1.FC Union Berlin,Union Berlin,https://tmssl.akamaized.net/images/wappen/medium/89.png?lm=1402956210,16/17,Christopher Lenz
04.2016,2016-04-01,21,200,200000,€,Tsd.,1006,Borussia Mönchengladbach II,M'gladbach II,https://tmssl.akamaized.net/images/wappen/medium/1006.png?lm=1656585796,15/16,Christopher Lenz
01.2016,2016-01-15,21,150,150000,€,Tsd.,1006,Borussia Mönchengladbach II,M'gladbach II,https://tmssl.akamaized.net/images/wappen/medium/1006.png?lm=1656585796,15/16,Christopher Lenz
06.2015,2015-06-30,20,150,150000,€,Tsd.,1006,Borussia Mönchengladbach II,M'gladbach II,https://tmssl.akamaized.net/images/wappen/medium/1006.png?lm=1656585796,14/15,Christopher Lenz
01.2015,2015-01-01,20,125,125000,€,Tsd.,1006,Borussia Mönchengladbach II,M'gladbach II,https://tmssl.akamaized.net/images/wappen/medium/1006.png?lm=1656585796,14/15,Christopher Lenz
07.2014,2014-07-27,19,100,100000,€,Tsd.,1006,Borussia Mönchengladbach II,M'gladbach II,https://tmssl.akamaized.net/images/wappen/medium/1006.png?lm=1656585796,14/15,Christopher Lenz
05.2014,2014-05-08,19,100,100000,€,Tsd.,1006,Borussia Mönchengladbach II,M'gladbach II,https://tmssl.akamaized.net/images/wappen/medium/1006.png?lm=1656585796,13/14,Christopher Lenz
03.2014,2014-03-28,19,75,75000,€,Tsd.,1006,Borussia Mönchengladbach II,M'gladbach II,https://tmssl.akamaized.net/images/wappen/medium/1006.png?lm=1656585796,13/14,Christopher Lenz
03.2013,2013-03-05,18,75,75000,€,Tsd.,1006,Borussia Mönchengladbach II,M'gladbach II,https://tmssl.akamaized.net/images/wappen/medium/1006.png?lm=1656585796,12/13,Christopher Lenz
09.2012,2012-09-26,18,50,50000,€,Tsd.,1006,Borussia Mönchengladbach II,M'gladbach II,https://tmssl.akamaized.net/images/wappen/medium/1006.png?lm=1656585796,12/13,Christopher Lenz
