date,unformattedDate,age,marketValue,marketValueUnformatted,marketValueCurrency,marketValueNumeral,clubID,clubName,clubShortName,clubImage,seasonID,Name
11.2022,2022-11-11,32,"6,00",6000000,€,Mio.,610,Ajax Amsterdam,Ajax Amsterdam,https://tmssl.akamaized.net/images/wappen/medium/610.png?lm=1657054414,22/23,Daley Blind
09.2022,2022-09-14,32,"7,00",7000000,€,Mio.,610,Ajax Amsterdam,Ajax Amsterdam,https://tmssl.akamaized.net/images/wappen/medium/610.png?lm=1657054414,22/23,Daley Blind
06.2022,2022-06-08,32,"9,00",9000000,€,Mio.,610,Ajax Amsterdam,Ajax Amsterdam,https://tmssl.akamaized.net/images/wappen/medium/610.png?lm=1657054414,21/22,Daley Blind
03.2022,2022-03-17,32,"10,00",10000000,€,Mio.,610,Ajax Amsterdam,Ajax Amsterdam,https://tmssl.akamaized.net/images/wappen/medium/610.png?lm=1657054414,21/22,Daley Blind
01.2022,2022-01-05,31,"13,50",13500000,€,Mio.,610,Ajax Amsterdam,Ajax Amsterdam,https://tmssl.akamaized.net/images/wappen/medium/610.png?lm=1657054414,21/22,Daley Blind
10.2021,2021-10-04,31,"13,50",13500000,€,Mio.,610,Ajax Amsterdam,Ajax Amsterdam,https://tmssl.akamaized.net/images/wappen/medium/610.png?lm=1657054414,21/22,Daley Blind
05.2021,2021-05-27,31,"15,00",15000000,€,Mio.,610,Ajax Amsterdam,Ajax Amsterdam,https://tmssl.akamaized.net/images/wappen/medium/610.png?lm=1657054414,20/21,Daley Blind
01.2021,2021-01-06,30,"15,00",15000000,€,Mio.,610,Ajax Amsterdam,Ajax Amsterdam,https://tmssl.akamaized.net/images/wappen/medium/610.png?lm=1657054414,20/21,Daley Blind
10.2020,2020-10-14,30,"20,00",20000000,€,Mio.,610,Ajax Amsterdam,Ajax Amsterdam,https://tmssl.akamaized.net/images/wappen/medium/610.png?lm=1657054414,20/21,Daley Blind
04.2020,2020-04-08,30,"20,00",20000000,€,Mio.,610,Ajax Amsterdam,Ajax Amsterdam,https://tmssl.akamaized.net/images/wappen/medium/610.png?lm=1657054414,19/20,Daley Blind
12.2019,2019-12-18,29,"25,00",25000000,€,Mio.,610,Ajax Amsterdam,Ajax Amsterdam,https://tmssl.akamaized.net/images/wappen/medium/610.png?lm=1657054414,19/20,Daley Blind
06.2019,2019-06-12,29,"24,00",24000000,€,Mio.,610,Ajax Amsterdam,Ajax Amsterdam,https://tmssl.akamaized.net/images/wappen/medium/610.png?lm=1657054414,18/19,Daley Blind
12.2018,2018-12-28,28,"18,00",18000000,€,Mio.,610,Ajax Amsterdam,Ajax Amsterdam,https://tmssl.akamaized.net/images/wappen/medium/610.png?lm=1657054414,18/19,Daley Blind
05.2018,2018-05-28,28,"18,00",18000000,€,Mio.,985,Manchester United,Manchester Utd.,https://tmssl.akamaized.net/images/wappen/medium/985.png?lm=1457975903,17/18,Daley Blind
01.2018,2018-01-02,27,"20,00",20000000,€,Mio.,985,Manchester United,Manchester Utd.,https://tmssl.akamaized.net/images/wappen/medium/985.png?lm=1457975903,17/18,Daley Blind
06.2017,2017-06-28,27,"22,00",22000000,€,Mio.,985,Manchester United,Manchester Utd.,https://tmssl.akamaized.net/images/wappen/medium/985.png?lm=1457975903,16/17,Daley Blind
02.2017,2017-02-20,26,"22,00",22000000,€,Mio.,985,Manchester United,Manchester Utd.,https://tmssl.akamaized.net/images/wappen/medium/985.png?lm=1457975903,16/17,Daley Blind
