date,unformattedDate,age,marketValue,marketValueUnformatted,marketValueCurrency,marketValueNumeral,clubID,clubName,clubShortName,clubImage,seasonID,Name
11.2022,2022-11-09,27,"3,00",3000000,€,Mio.,15,Bayer 04 Leverkusen,B. Leverkusen,https://tmssl.akamaized.net/images/wappen/medium/15.png?lm=1651221781,22/23,Daley Sinkgraven
09.2022,2022-09-21,27,"3,00",3000000,€,Mio.,15,Bayer 04 Leverkusen,B. Leverkusen,https://tmssl.akamaized.net/images/wappen/medium/15.png?lm=1651221781,22/23,Daley Sinkgraven
06.2022,2022-06-09,26,"4,00",4000000,€,Mio.,15,Bayer 04 Leverkusen,B. Leverkusen,https://tmssl.akamaized.net/images/wappen/medium/15.png?lm=1651221781,21/22,Daley Sinkgraven
12.2021,2021-12-22,26,"4,50",4500000,€,Mio.,15,Bayer 04 Leverkusen,B. Leverkusen,https://tmssl.akamaized.net/images/wappen/medium/15.png?lm=1651221781,21/22,Daley Sinkgraven
10.2021,2021-10-07,26,"7,00",7000000,€,Mio.,15,Bayer 04 Leverkusen,B. Leverkusen,https://tmssl.akamaized.net/images/wappen/medium/15.png?lm=1651221781,21/22,Daley Sinkgraven
06.2021,2021-06-09,25,"9,00",9000000,€,Mio.,15,Bayer 04 Leverkusen,B. Leverkusen,https://tmssl.akamaized.net/images/wappen/medium/15.png?lm=1651221781,20/21,Daley Sinkgraven
02.2021,2021-02-10,25,"9,00",9000000,€,Mio.,15,Bayer 04 Leverkusen,B. Leverkusen,https://tmssl.akamaized.net/images/wappen/medium/15.png?lm=1651221781,20/21,Daley Sinkgraven
11.2020,2020-11-26,25,"7,50",7500000,€,Mio.,15,Bayer 04 Leverkusen,B. Leverkusen,https://tmssl.akamaized.net/images/wappen/medium/15.png?lm=1651221781,20/21,Daley Sinkgraven
09.2020,2020-09-16,25,"5,00",5000000,€,Mio.,15,Bayer 04 Leverkusen,B. Leverkusen,https://tmssl.akamaized.net/images/wappen/medium/15.png?lm=1651221781,20/21,Daley Sinkgraven
04.2020,2020-04-08,24,"4,80",4800000,€,Mio.,15,Bayer 04 Leverkusen,B. Leverkusen,https://tmssl.akamaized.net/images/wappen/medium/15.png?lm=1651221781,19/20,Daley Sinkgraven
03.2020,2020-03-11,24,"6,00",6000000,€,Mio.,15,Bayer 04 Leverkusen,B. Leverkusen,https://tmssl.akamaized.net/images/wappen/medium/15.png?lm=1651221781,19/20,Daley Sinkgraven
12.2019,2019-12-17,24,"4,00",4000000,€,Mio.,15,Bayer 04 Leverkusen,B. Leverkusen,https://tmssl.akamaized.net/images/wappen/medium/15.png?lm=1651221781,19/20,Daley Sinkgraven
06.2019,2019-06-12,23,"3,00",3000000,€,Mio.,610,Ajax Amsterdam,Ajax Amsterdam,https://tmssl.akamaized.net/images/wappen/medium/610.png?lm=1657054414,18/19,Daley Sinkgraven
12.2018,2018-12-28,23,"2,50",2500000,€,Mio.,610,Ajax Amsterdam,Ajax Amsterdam,https://tmssl.akamaized.net/images/wappen/medium/610.png?lm=1657054414,18/19,Daley Sinkgraven
06.2018,2018-06-12,22,"2,50",2500000,€,Mio.,610,Ajax Amsterdam,Ajax Amsterdam,https://tmssl.akamaized.net/images/wappen/medium/610.png?lm=1657054414,17/18,Daley Sinkgraven
01.2018,2018-01-17,22,"3,00",3000000,€,Mio.,610,Ajax Amsterdam,Ajax Amsterdam,https://tmssl.akamaized.net/images/wappen/medium/610.png?lm=1657054414,17/18,Daley Sinkgraven
06.2017,2017-06-07,21,"4,00",4000000,€,Mio.,610,Ajax Amsterdam,Ajax Amsterdam,https://tmssl.akamaized.net/images/wappen/medium/610.png?lm=1657054414,16/17,Daley Sinkgraven
01.2017,2017-01-18,21,"3,00",3000000,€,Mio.,610,Ajax Amsterdam,Ajax Amsterdam,https://tmssl.akamaized.net/images/wappen/medium/610.png?lm=1657054414,16/17,Daley Sinkgraven
07.2016,2016-07-15,21,"2,50",2500000,€,Mio.,610,Ajax Amsterdam,Ajax Amsterdam,https://tmssl.akamaized.net/images/wappen/medium/610.png?lm=1657054414,16/17,Daley Sinkgraven
02.2016,2016-02-05,20,"3,50",3500000,€,Mio.,610,Ajax Amsterdam,Ajax Amsterdam,https://tmssl.akamaized.net/images/wappen/medium/610.png?lm=1657054414,15/16,Daley Sinkgraven
07.2015,2015-07-01,19,"4,00",4000000,€,Mio.,610,Ajax Amsterdam,Ajax Amsterdam,https://tmssl.akamaized.net/images/wappen/medium/610.png?lm=1657054414,15/16,Daley Sinkgraven
02.2015,2015-02-16,19,"4,00",4000000,€,Mio.,610,Ajax Amsterdam,Ajax Amsterdam,https://tmssl.akamaized.net/images/wappen/medium/610.png?lm=1657054414,14/15,Daley Sinkgraven
11.2014,2014-11-02,19,"1,50",1500000,€,Mio.,306,SC Heerenveen,SC Heerenveen,https://tmssl.akamaized.net/images/wappen/medium/306.png?lm=1655978084,14/15,Daley Sinkgraven
08.2014,2014-08-11,19,400,400000,€,Tsd.,306,SC Heerenveen,SC Heerenveen,https://tmssl.akamaized.net/images/wappen/medium/306.png?lm=1655978084,14/15,Daley Sinkgraven
02.2014,2014-02-11,18,100,100000,€,Tsd.,306,SC Heerenveen,SC Heerenveen,https://tmssl.akamaized.net/images/wappen/medium/306.png?lm=1655978084,13/14,Daley Sinkgraven
08.2013,2013-08-07,18,50,50000,€,Tsd.,306,SC Heerenveen,SC Heerenveen,https://tmssl.akamaized.net/images/wappen/medium/306.png?lm=1655978084,13/14,Daley Sinkgraven
