date,unformattedDate,age,marketValue,marketValueUnformatted,marketValueCurrency,marketValueNumeral,clubID,clubName,clubShortName,clubImage,seasonID,Name
11.2022,2022-11-09,23,"5,00",5000000,€,Mio.,79,VfB Stuttgart,VfB Stuttgart,https://tmssl.akamaized.net/images/wappen/medium/79.png?lm=1656582657,22/23,Dan-Axel Zagadou
09.2022,2022-09-21,23,"5,00",5000000,€,Mio.,79,VfB Stuttgart,VfB Stuttgart,https://tmssl.akamaized.net/images/wappen/medium/79.png?lm=1656582657,22/23,Dan-Axel Zagadou
06.2022,2022-06-09,23,"9,00",9000000,€,Mio.,16,Borussia Dortmund,Bor. Dortmund,https://tmssl.akamaized.net/images/wappen/medium/16.png?lm=1396275280,21/22,Dan-Axel Zagadou
03.2022,2022-03-24,22,"9,00",9000000,€,Mio.,16,Borussia Dortmund,Bor. Dortmund,https://tmssl.akamaized.net/images/wappen/medium/16.png?lm=1396275280,21/22,Dan-Axel Zagadou
12.2021,2021-12-22,22,"14,00",14000000,€,Mio.,16,Borussia Dortmund,Bor. Dortmund,https://tmssl.akamaized.net/images/wappen/medium/16.png?lm=1396275280,21/22,Dan-Axel Zagadou
10.2021,2021-10-07,22,"14,00",14000000,€,Mio.,16,Borussia Dortmund,Bor. Dortmund,https://tmssl.akamaized.net/images/wappen/medium/16.png?lm=1396275280,21/22,Dan-Axel Zagadou
06.2021,2021-06-09,22,"18,00",18000000,€,Mio.,16,Borussia Dortmund,Bor. Dortmund,https://tmssl.akamaized.net/images/wappen/medium/16.png?lm=1396275280,20/21,Dan-Axel Zagadou
03.2021,2021-03-31,21,"18,00",18000000,€,Mio.,16,Borussia Dortmund,Bor. Dortmund,https://tmssl.akamaized.net/images/wappen/medium/16.png?lm=1396275280,20/21,Dan-Axel Zagadou
02.2021,2021-02-10,21,"22,00",22000000,€,Mio.,16,Borussia Dortmund,Bor. Dortmund,https://tmssl.akamaized.net/images/wappen/medium/16.png?lm=1396275280,20/21,Dan-Axel Zagadou
04.2020,2020-04-08,20,"31,50",31500000,€,Mio.,16,Borussia Dortmund,Bor. Dortmund,https://tmssl.akamaized.net/images/wappen/medium/16.png?lm=1396275280,19/20,Dan-Axel Zagadou
03.2020,2020-03-11,20,"35,00",35000000,€,Mio.,16,Borussia Dortmund,Bor. Dortmund,https://tmssl.akamaized.net/images/wappen/medium/16.png?lm=1396275280,19/20,Dan-Axel Zagadou
12.2019,2019-12-17,20,"28,00",28000000,€,Mio.,16,Borussia Dortmund,Bor. Dortmund,https://tmssl.akamaized.net/images/wappen/medium/16.png?lm=1396275280,19/20,Dan-Axel Zagadou
06.2019,2019-06-05,20,"28,00",28000000,€,Mio.,16,Borussia Dortmund,Bor. Dortmund,https://tmssl.akamaized.net/images/wappen/medium/16.png?lm=1396275280,18/19,Dan-Axel Zagadou
03.2019,2019-03-06,19,"30,00",30000000,€,Mio.,16,Borussia Dortmund,Bor. Dortmund,https://tmssl.akamaized.net/images/wappen/medium/16.png?lm=1396275280,18/19,Dan-Axel Zagadou
12.2018,2018-12-18,19,"20,00",20000000,€,Mio.,16,Borussia Dortmund,Bor. Dortmund,https://tmssl.akamaized.net/images/wappen/medium/16.png?lm=1396275280,18/19,Dan-Axel Zagadou
10.2018,2018-10-22,19,"8,00",8000000,€,Mio.,16,Borussia Dortmund,Bor. Dortmund,https://tmssl.akamaized.net/images/wappen/medium/16.png?lm=1396275280,18/19,Dan-Axel Zagadou
06.2018,2018-06-05,19,"5,00",5000000,€,Mio.,16,Borussia Dortmund,Bor. Dortmund,https://tmssl.akamaized.net/images/wappen/medium/16.png?lm=1396275280,17/18,Dan-Axel Zagadou
12.2017,2017-12-28,18,"5,00",5000000,€,Mio.,16,Borussia Dortmund,Bor. Dortmund,https://tmssl.akamaized.net/images/wappen/medium/16.png?lm=1396275280,17/18,Dan-Axel Zagadou
10.2017,2017-10-18,18,"2,50",2500000,€,Mio.,16,Borussia Dortmund,Bor. Dortmund,https://tmssl.akamaized.net/images/wappen/medium/16.png?lm=1396275280,17/18,Dan-Axel Zagadou
05.2017,2017-05-04,17,125,125000,€,Tsd.,8512,FC Paris Saint-Germain B,Paris SG B,https://tmssl.akamaized.net/images/wappen/medium/8512.png?lm=1464899851,16/17,Dan-Axel Zagadou
