date,unformattedDate,age,marketValue,marketValueUnformatted,marketValueCurrency,marketValueNumeral,clubID,clubName,clubShortName,clubImage,seasonID,Name
11.2022,2022-11-09,24,"4,00",4000000,€,Mio.,89,1.FC Union Berlin,Union Berlin,https://tmssl.akamaized.net/images/wappen/medium/89.png?lm=1402956210,22/23,Danilho Doekhi
06.2022,2022-06-08,23,"4,00",4000000,€,Mio.,499,Vitesse Arnheim,Vitesse Arnheim,https://tmssl.akamaized.net/images/wappen/medium/499.png?lm=1679396090,21/22,Danilho Doekhi
01.2022,2022-01-05,23,"3,00",3000000,€,Mio.,499,Vitesse Arnheim,Vitesse Arnheim,https://tmssl.akamaized.net/images/wappen/medium/499.png?lm=1679396090,21/22,Danilho Doekhi
05.2021,2021-05-19,22,"3,00",3000000,€,Mio.,499,Vitesse Arnheim,Vitesse Arnheim,https://tmssl.akamaized.net/images/wappen/medium/499.png?lm=1679396090,20/21,Danilho Doekhi
03.2021,2021-03-09,22,"2,00",2000000,€,Mio.,499,Vitesse Arnheim,Vitesse Arnheim,https://tmssl.akamaized.net/images/wappen/medium/499.png?lm=1679396090,20/21,Danilho Doekhi
01.2021,2021-01-06,22,"1,00",1000000,€,Mio.,499,Vitesse Arnheim,Vitesse Arnheim,https://tmssl.akamaized.net/images/wappen/medium/499.png?lm=1679396090,20/21,Danilho Doekhi
10.2020,2020-10-14,22,800,800000,€,Tsd.,499,Vitesse Arnheim,Vitesse Arnheim,https://tmssl.akamaized.net/images/wappen/medium/499.png?lm=1679396090,20/21,Danilho Doekhi
04.2020,2020-04-08,21,800,800000,€,Tsd.,499,Vitesse Arnheim,Vitesse Arnheim,https://tmssl.akamaized.net/images/wappen/medium/499.png?lm=1679396090,19/20,Danilho Doekhi
12.2019,2019-12-18,21,900,900000,€,Tsd.,499,Vitesse Arnheim,Vitesse Arnheim,https://tmssl.akamaized.net/images/wappen/medium/499.png?lm=1679396090,19/20,Danilho Doekhi
09.2019,2019-09-19,21,900,900000,€,Tsd.,499,Vitesse Arnheim,Vitesse Arnheim,https://tmssl.akamaized.net/images/wappen/medium/499.png?lm=1679396090,19/20,Danilho Doekhi
06.2019,2019-06-12,20,750,750000,€,Tsd.,499,Vitesse Arnheim,Vitesse Arnheim,https://tmssl.akamaized.net/images/wappen/medium/499.png?lm=1679396090,18/19,Danilho Doekhi
12.2018,2018-12-28,20,500,500000,€,Tsd.,499,Vitesse Arnheim,Vitesse Arnheim,https://tmssl.akamaized.net/images/wappen/medium/499.png?lm=1679396090,18/19,Danilho Doekhi
06.2018,2018-06-29,19,250,250000,€,Tsd.,8817,Ajax Amsterdam II,Ajax II,https://tmssl.akamaized.net/images/wappen/medium/8817.png?lm=1657054414,17/18,Danilho Doekhi
03.2018,2018-03-01,19,250,250000,€,Tsd.,8817,Ajax Amsterdam II,Ajax II,https://tmssl.akamaized.net/images/wappen/medium/8817.png?lm=1657054414,17/18,Danilho Doekhi
06.2017,2017-06-21,18,150,150000,€,Tsd.,2824,Ajax Amsterdam U19,Ajax U19,https://tmssl.akamaized.net/images/wappen/medium/2824.png?lm=1657054414,16/17,Danilho Doekhi
02.2017,2017-02-02,18,150,150000,€,Tsd.,2824,Ajax Amsterdam U19,Ajax U19,https://tmssl.akamaized.net/images/wappen/medium/2824.png?lm=1657054414,16/17,Danilho Doekhi
07.2016,2016-07-01,18,150,150000,€,Tsd.,2824,Ajax Amsterdam U19,Ajax U19,https://tmssl.akamaized.net/images/wappen/medium/2824.png?lm=1657054414,16/17,Danilho Doekhi
02.2016,2016-02-05,17,50,50000,€,Tsd.,14350,Excelsior Rotterdam U19,Excelsior U19,https://tmssl.akamaized.net/images/wappen/medium/14350.png?lm=1626987765,15/16,Danilho Doekhi
