date,unformattedDate,age,marketValue,marketValueUnformatted,marketValueCurrency,marketValueNumeral,clubID,clubName,clubShortName,clubImage,seasonID,Name
11.2022,2022-11-09,31,"2,20",2200000,€,Mio.,80,VfL Bochum,VfL Bochum,https://tmssl.akamaized.net/images/wappen/medium/80.png?lm=1656583090,22/23,Danilo Soares
06.2022,2022-06-09,30,"2,20",2200000,€,Mio.,80,VfL Bochum,VfL Bochum,https://tmssl.akamaized.net/images/wappen/medium/80.png?lm=1656583090,21/22,Danilo Soares
12.2021,2021-12-22,30,"2,00",2000000,€,Mio.,80,VfL Bochum,VfL Bochum,https://tmssl.akamaized.net/images/wappen/medium/80.png?lm=1656583090,21/22,Danilo Soares
06.2021,2021-06-16,29,"1,50",1500000,€,Mio.,80,VfL Bochum,VfL Bochum,https://tmssl.akamaized.net/images/wappen/medium/80.png?lm=1656583090,20/21,Danilo Soares
02.2021,2021-02-08,29,"1,50",1500000,€,Mio.,80,VfL Bochum,VfL Bochum,https://tmssl.akamaized.net/images/wappen/medium/80.png?lm=1656583090,20/21,Danilo Soares
07.2020,2020-07-15,28,"1,50",1500000,€,Mio.,80,VfL Bochum,VfL Bochum,https://tmssl.akamaized.net/images/wappen/medium/80.png?lm=1656583090,20/21,Danilo Soares
04.2020,2020-04-08,28,"1,00",1000000,€,Mio.,80,VfL Bochum,VfL Bochum,https://tmssl.akamaized.net/images/wappen/medium/80.png?lm=1656583090,19/20,Danilo Soares
12.2019,2019-12-13,28,"1,25",1250000,€,Mio.,80,VfL Bochum,VfL Bochum,https://tmssl.akamaized.net/images/wappen/medium/80.png?lm=1656583090,19/20,Danilo Soares
06.2019,2019-06-12,27,"1,00",1000000,€,Mio.,80,VfL Bochum,VfL Bochum,https://tmssl.akamaized.net/images/wappen/medium/80.png?lm=1656583090,18/19,Danilo Soares
01.2019,2019-01-08,27,"1,00",1000000,€,Mio.,80,VfL Bochum,VfL Bochum,https://tmssl.akamaized.net/images/wappen/medium/80.png?lm=1656583090,18/19,Danilo Soares
06.2018,2018-06-19,26,850,850000,€,Tsd.,80,VfL Bochum,VfL Bochum,https://tmssl.akamaized.net/images/wappen/medium/80.png?lm=1656583090,17/18,Danilo Soares
03.2018,2018-03-21,26,850,850000,€,Tsd.,80,VfL Bochum,VfL Bochum,https://tmssl.akamaized.net/images/wappen/medium/80.png?lm=1656583090,17/18,Danilo Soares
01.2018,2018-01-22,26,750,750000,€,Tsd.,80,VfL Bochum,VfL Bochum,https://tmssl.akamaized.net/images/wappen/medium/80.png?lm=1656583090,17/18,Danilo Soares
06.2017,2017-06-19,25,500,500000,€,Tsd.,533,TSG 1899 Hoffenheim,TSG Hoffenheim,https://tmssl.akamaized.net/images/wappen/medium/533.png?lm=1675591766,16/17,Danilo Soares
02.2017,2017-02-07,25,500,500000,€,Tsd.,533,TSG 1899 Hoffenheim,TSG Hoffenheim,https://tmssl.akamaized.net/images/wappen/medium/533.png?lm=1675591766,16/17,Danilo Soares
11.2016,2016-11-23,25,500,500000,€,Tsd.,533,TSG 1899 Hoffenheim,TSG Hoffenheim,https://tmssl.akamaized.net/images/wappen/medium/533.png?lm=1675591766,16/17,Danilo Soares
02.2016,2016-02-15,24,"1,50",1500000,€,Mio.,4795,FC Ingolstadt 04,FC Ingolstadt,https://tmssl.akamaized.net/images/wappen/medium/4795.png?lm=1482665720,15/16,Danilo Soares
07.2015,2015-07-01,23,"1,50",1500000,€,Mio.,4795,FC Ingolstadt 04,FC Ingolstadt,https://tmssl.akamaized.net/images/wappen/medium/4795.png?lm=1482665720,15/16,Danilo Soares
01.2015,2015-01-13,23,"1,00",1000000,€,Mio.,4795,FC Ingolstadt 04,FC Ingolstadt,https://tmssl.akamaized.net/images/wappen/medium/4795.png?lm=1482665720,14/15,Danilo Soares
06.2014,2014-06-30,22,700,700000,€,Tsd.,4795,FC Ingolstadt 04,FC Ingolstadt,https://tmssl.akamaized.net/images/wappen/medium/4795.png?lm=1482665720,13/14,Danilo Soares
01.2014,2014-01-20,22,500,500000,€,Tsd.,4795,FC Ingolstadt 04,FC Ingolstadt,https://tmssl.akamaized.net/images/wappen/medium/4795.png?lm=1482665720,13/14,Danilo Soares
04.2013,2013-04-11,21,300,300000,€,Tsd.,541,SC Austria Lustenau,A. Lustenau,https://tmssl.akamaized.net/images/wappen/medium/541.png?lm=1678556296,12/13,Danilo Soares
10.2012,2012-10-03,20,300,300000,€,Tsd.,541,SC Austria Lustenau,A. Lustenau,https://tmssl.akamaized.net/images/wappen/medium/541.png?lm=1678556296,12/13,Danilo Soares
06.2012,2012-06-04,20,275,275000,€,Tsd.,541,SC Austria Lustenau,A. Lustenau,https://tmssl.akamaized.net/images/wappen/medium/541.png?lm=1678556296,11/12,Danilo Soares
12.2011,2011-12-08,20,250,250000,€,Tsd.,541,SC Austria Lustenau,A. Lustenau,https://tmssl.akamaized.net/images/wappen/medium/541.png?lm=1678556296,11/12,Danilo Soares
09.2011,2011-09-03,19,200,200000,€,Tsd.,541,SC Austria Lustenau,A. Lustenau,https://tmssl.akamaized.net/images/wappen/medium/541.png?lm=1678556296,11/12,Danilo Soares
04.2011,2011-04-07,19,150,150000,€,Tsd.,541,SC Austria Lustenau,A. Lustenau,https://tmssl.akamaized.net/images/wappen/medium/541.png?lm=1678556296,10/11,Danilo Soares
11.2010,2010-11-16,19,125,125000,€,Tsd.,541,SC Austria Lustenau,A. Lustenau,https://tmssl.akamaized.net/images/wappen/medium/541.png?lm=1678556296,10/11,Danilo Soares
07.2010,2010-07-13,18,100,100000,€,Tsd.,541,SC Austria Lustenau,A. Lustenau,https://tmssl.akamaized.net/images/wappen/medium/541.png?lm=1678556296,10/11,Danilo Soares
