date,unformattedDate,age,marketValue,marketValueUnformatted,marketValueCurrency,marketValueNumeral,clubID,clubName,clubShortName,clubImage,seasonID,Name
11.2022,2022-11-09,29,"2,50",2500000,€,Mio.,80,VfL Bochum,VfL Bochum,https://tmssl.akamaized.net/images/wappen/medium/80.png?lm=1656583090,22/23,Dominique Heintz
06.2022,2022-06-09,28,"2,50",2500000,€,Mio.,89,1.FC Union Berlin,Union Berlin,https://tmssl.akamaized.net/images/wappen/medium/89.png?lm=1402956210,21/22,Dominique Heintz
12.2021,2021-12-22,28,"3,00",3000000,€,Mio.,60,SC Freiburg,SC Freiburg,https://tmssl.akamaized.net/images/wappen/medium/60.png?lm=1517249279,21/22,Dominique Heintz
10.2021,2021-10-07,28,"3,00",3000000,€,Mio.,60,SC Freiburg,SC Freiburg,https://tmssl.akamaized.net/images/wappen/medium/60.png?lm=1517249279,21/22,Dominique Heintz
06.2021,2021-06-09,27,"5,00",5000000,€,Mio.,60,SC Freiburg,SC Freiburg,https://tmssl.akamaized.net/images/wappen/medium/60.png?lm=1517249279,20/21,Dominique Heintz
02.2021,2021-02-10,27,"6,00",6000000,€,Mio.,60,SC Freiburg,SC Freiburg,https://tmssl.akamaized.net/images/wappen/medium/60.png?lm=1517249279,20/21,Dominique Heintz
04.2020,2020-04-08,26,"8,00",8000000,€,Mio.,60,SC Freiburg,SC Freiburg,https://tmssl.akamaized.net/images/wappen/medium/60.png?lm=1517249279,19/20,Dominique Heintz
12.2019,2019-12-17,26,"10,00",10000000,€,Mio.,60,SC Freiburg,SC Freiburg,https://tmssl.akamaized.net/images/wappen/medium/60.png?lm=1517249279,19/20,Dominique Heintz
06.2019,2019-06-05,25,"7,50",7500000,€,Mio.,60,SC Freiburg,SC Freiburg,https://tmssl.akamaized.net/images/wappen/medium/60.png?lm=1517249279,18/19,Dominique Heintz
12.2018,2018-12-18,25,"7,50",7500000,€,Mio.,60,SC Freiburg,SC Freiburg,https://tmssl.akamaized.net/images/wappen/medium/60.png?lm=1517249279,18/19,Dominique Heintz
08.2018,2018-08-22,25,"6,50",6500000,€,Mio.,60,SC Freiburg,SC Freiburg,https://tmssl.akamaized.net/images/wappen/medium/60.png?lm=1517249279,18/19,Dominique Heintz
06.2018,2018-06-05,24,"7,50",7500000,€,Mio.,3,1.FC Köln,1.FC Köln,https://tmssl.akamaized.net/images/wappen/medium/3.png?lm=1656580823,17/18,Dominique Heintz
12.2017,2017-12-28,24,"7,50",7500000,€,Mio.,3,1.FC Köln,1.FC Köln,https://tmssl.akamaized.net/images/wappen/medium/3.png?lm=1656580823,17/18,Dominique Heintz
06.2017,2017-06-19,23,"7,50",7500000,€,Mio.,3,1.FC Köln,1.FC Köln,https://tmssl.akamaized.net/images/wappen/medium/3.png?lm=1656580823,16/17,Dominique Heintz
02.2017,2017-02-07,23,"6,00",6000000,€,Mio.,3,1.FC Köln,1.FC Köln,https://tmssl.akamaized.net/images/wappen/medium/3.png?lm=1656580823,16/17,Dominique Heintz
07.2016,2016-07-22,22,"6,00",6000000,€,Mio.,3,1.FC Köln,1.FC Köln,https://tmssl.akamaized.net/images/wappen/medium/3.png?lm=1656580823,16/17,Dominique Heintz
02.2016,2016-02-15,22,"4,00",4000000,€,Mio.,3,1.FC Köln,1.FC Köln,https://tmssl.akamaized.net/images/wappen/medium/3.png?lm=1656580823,15/16,Dominique Heintz
07.2015,2015-07-01,21,"2,00",2000000,€,Mio.,3,1.FC Köln,1.FC Köln,https://tmssl.akamaized.net/images/wappen/medium/3.png?lm=1656580823,15/16,Dominique Heintz
01.2015,2015-01-13,21,"1,50",1500000,€,Mio.,2,1.FC Kaiserslautern,1.FC K'lautern,https://tmssl.akamaized.net/images/wappen/medium/2.png?lm=1580920736,14/15,Dominique Heintz
06.2014,2014-06-30,20,"1,00",1000000,€,Mio.,2,1.FC Kaiserslautern,1.FC K'lautern,https://tmssl.akamaized.net/images/wappen/medium/2.png?lm=1580920736,13/14,Dominique Heintz
01.2014,2014-01-20,20,"1,00",1000000,€,Mio.,2,1.FC Kaiserslautern,1.FC K'lautern,https://tmssl.akamaized.net/images/wappen/medium/2.png?lm=1580920736,13/14,Dominique Heintz
06.2013,2013-06-29,19,"2,00",2000000,€,Mio.,2,1.FC Kaiserslautern,1.FC K'lautern,https://tmssl.akamaized.net/images/wappen/medium/2.png?lm=1580920736,12/13,Dominique Heintz
01.2013,2013-01-04,19,"1,25",1250000,€,Mio.,2,1.FC Kaiserslautern,1.FC K'lautern,https://tmssl.akamaized.net/images/wappen/medium/2.png?lm=1580920736,12/13,Dominique Heintz
10.2012,2012-10-23,19,600,600000,€,Tsd.,2,1.FC Kaiserslautern,1.FC K'lautern,https://tmssl.akamaized.net/images/wappen/medium/2.png?lm=1580920736,12/13,Dominique Heintz
06.2012,2012-06-29,18,200,200000,€,Tsd.,2,1.FC Kaiserslautern,1.FC K'lautern,https://tmssl.akamaized.net/images/wappen/medium/2.png?lm=1580920736,11/12,Dominique Heintz
01.2012,2012-01-23,18,100,100000,€,Tsd.,2,1.FC Kaiserslautern,1.FC K'lautern,https://tmssl.akamaized.net/images/wappen/medium/2.png?lm=1580920736,11/12,Dominique Heintz
10.2011,2011-10-15,18,100,100000,€,Tsd.,2,1.FC Kaiserslautern,1.FC K'lautern,https://tmssl.akamaized.net/images/wappen/medium/2.png?lm=1580920736,11/12,Dominique Heintz
