date,unformattedDate,age,marketValue,marketValueUnformatted,marketValueCurrency,marketValueNumeral,clubID,clubName,clubShortName,clubImage,seasonID,Name
11.2022,2022-11-09,23,"30,00",30000000,€,Mio.,15,Bayer 04 Leverkusen,B. Leverkusen,https://tmssl.akamaized.net/images/wappen/medium/15.png?lm=1651221781,22/23,Edmond Tapsoba
06.2022,2022-06-09,23,"35,00",35000000,€,Mio.,15,Bayer 04 Leverkusen,B. Leverkusen,https://tmssl.akamaized.net/images/wappen/medium/15.png?lm=1651221781,21/22,Edmond Tapsoba
12.2021,2021-12-22,22,"40,00",40000000,€,Mio.,15,Bayer 04 Leverkusen,B. Leverkusen,https://tmssl.akamaized.net/images/wappen/medium/15.png?lm=1651221781,21/22,Edmond Tapsoba
06.2021,2021-06-09,22,"40,00",40000000,€,Mio.,15,Bayer 04 Leverkusen,B. Leverkusen,https://tmssl.akamaized.net/images/wappen/medium/15.png?lm=1651221781,20/21,Edmond Tapsoba
02.2021,2021-02-10,22,"40,00",40000000,€,Mio.,15,Bayer 04 Leverkusen,B. Leverkusen,https://tmssl.akamaized.net/images/wappen/medium/15.png?lm=1651221781,20/21,Edmond Tapsoba
11.2020,2020-11-26,21,"30,00",30000000,€,Mio.,15,Bayer 04 Leverkusen,B. Leverkusen,https://tmssl.akamaized.net/images/wappen/medium/15.png?lm=1651221781,20/21,Edmond Tapsoba
07.2020,2020-07-08,21,"22,00",22000000,€,Mio.,15,Bayer 04 Leverkusen,B. Leverkusen,https://tmssl.akamaized.net/images/wappen/medium/15.png?lm=1651221781,20/21,Edmond Tapsoba
04.2020,2020-04-08,21,"18,00",18000000,€,Mio.,15,Bayer 04 Leverkusen,B. Leverkusen,https://tmssl.akamaized.net/images/wappen/medium/15.png?lm=1651221781,19/20,Edmond Tapsoba
03.2020,2020-03-11,21,"20,00",20000000,€,Mio.,15,Bayer 04 Leverkusen,B. Leverkusen,https://tmssl.akamaized.net/images/wappen/medium/15.png?lm=1651221781,19/20,Edmond Tapsoba
02.2020,2020-02-11,21,"16,00",16000000,€,Mio.,15,Bayer 04 Leverkusen,B. Leverkusen,https://tmssl.akamaized.net/images/wappen/medium/15.png?lm=1651221781,19/20,Edmond Tapsoba
12.2019,2019-12-30,20,"4,50",4500000,€,Mio.,2420,Vitória Guimarães SC,Vit. Guimarães,https://tmssl.akamaized.net/images/wappen/medium/2420.png?lm=1432894021,19/20,Edmond Tapsoba
10.2019,2019-10-11,20,"2,00",2000000,€,Mio.,2420,Vitória Guimarães SC,Vit. Guimarães,https://tmssl.akamaized.net/images/wappen/medium/2420.png?lm=1432894021,19/20,Edmond Tapsoba
06.2019,2019-06-29,20,350,350000,€,Tsd.,15136,Vitória Guimarães SC B,V. Guimarães B,https://tmssl.akamaized.net/images/wappen/medium/15136.png?lm=1416391455,18/19,Edmond Tapsoba
02.2019,2019-02-12,20,450,450000,€,Tsd.,15136,Vitória Guimarães SC B,V. Guimarães B,https://tmssl.akamaized.net/images/wappen/medium/15136.png?lm=1416391455,18/19,Edmond Tapsoba
06.2018,2018-06-29,19,50,50000,€,Tsd.,15136,Vitória Guimarães SC B,V. Guimarães B,https://tmssl.akamaized.net/images/wappen/medium/15136.png?lm=1416391455,17/18,Edmond Tapsoba
02.2018,2018-02-23,19,50,50000,€,Tsd.,15136,Vitória Guimarães SC B,V. Guimarães B,https://tmssl.akamaized.net/images/wappen/medium/15136.png?lm=1416391455,17/18,Edmond Tapsoba
