date,unformattedDate,age,marketValue,marketValueUnformatted,marketValueCurrency,marketValueNumeral,clubID,clubName,clubShortName,clubImage,seasonID,Name
11.2022,2022-11-09,23,"32,00",32000000,€,Mio.,24,Eintracht Frankfurt,E. Frankfurt,https://tmssl.akamaized.net/images/wappen/medium/24.png?lm=1403806187,22/23,Evan Ndicka
06.2022,2022-06-09,22,"32,00",32000000,€,Mio.,24,Eintracht Frankfurt,E. Frankfurt,https://tmssl.akamaized.net/images/wappen/medium/24.png?lm=1403806187,21/22,Evan Ndicka
12.2021,2021-12-22,22,"28,00",28000000,€,Mio.,24,Eintracht Frankfurt,E. Frankfurt,https://tmssl.akamaized.net/images/wappen/medium/24.png?lm=1403806187,21/22,Evan Ndicka
06.2021,2021-06-09,21,"28,00",28000000,€,Mio.,24,Eintracht Frankfurt,E. Frankfurt,https://tmssl.akamaized.net/images/wappen/medium/24.png?lm=1403806187,20/21,Evan Ndicka
03.2021,2021-03-31,21,"28,00",28000000,€,Mio.,24,Eintracht Frankfurt,E. Frankfurt,https://tmssl.akamaized.net/images/wappen/medium/24.png?lm=1403806187,20/21,Evan Ndicka
02.2021,2021-02-10,21,"22,50",22500000,€,Mio.,24,Eintracht Frankfurt,E. Frankfurt,https://tmssl.akamaized.net/images/wappen/medium/24.png?lm=1403806187,20/21,Evan Ndicka
04.2020,2020-04-08,20,"22,50",22500000,€,Mio.,24,Eintracht Frankfurt,E. Frankfurt,https://tmssl.akamaized.net/images/wappen/medium/24.png?lm=1403806187,19/20,Evan Ndicka
03.2020,2020-03-11,20,"25,00",25000000,€,Mio.,24,Eintracht Frankfurt,E. Frankfurt,https://tmssl.akamaized.net/images/wappen/medium/24.png?lm=1403806187,19/20,Evan Ndicka
12.2019,2019-12-17,20,"20,00",20000000,€,Mio.,24,Eintracht Frankfurt,E. Frankfurt,https://tmssl.akamaized.net/images/wappen/medium/24.png?lm=1403806187,19/20,Evan Ndicka
10.2019,2019-10-02,20,"22,00",22000000,€,Mio.,24,Eintracht Frankfurt,E. Frankfurt,https://tmssl.akamaized.net/images/wappen/medium/24.png?lm=1403806187,19/20,Evan Ndicka
06.2019,2019-06-05,19,"25,00",25000000,€,Mio.,24,Eintracht Frankfurt,E. Frankfurt,https://tmssl.akamaized.net/images/wappen/medium/24.png?lm=1403806187,18/19,Evan Ndicka
03.2019,2019-03-06,19,"22,00",22000000,€,Mio.,24,Eintracht Frankfurt,E. Frankfurt,https://tmssl.akamaized.net/images/wappen/medium/24.png?lm=1403806187,18/19,Evan Ndicka
12.2018,2018-12-18,19,"15,00",15000000,€,Mio.,24,Eintracht Frankfurt,E. Frankfurt,https://tmssl.akamaized.net/images/wappen/medium/24.png?lm=1403806187,18/19,Evan Ndicka
10.2018,2018-10-22,19,"6,00",6000000,€,Mio.,24,Eintracht Frankfurt,E. Frankfurt,https://tmssl.akamaized.net/images/wappen/medium/24.png?lm=1403806187,18/19,Evan Ndicka
08.2018,2018-08-22,19,"4,00",4000000,€,Mio.,24,Eintracht Frankfurt,E. Frankfurt,https://tmssl.akamaized.net/images/wappen/medium/24.png?lm=1403806187,18/19,Evan Ndicka
05.2018,2018-05-16,18,400,400000,€,Tsd.,290,AJ Auxerre,AJ Auxerre,https://tmssl.akamaized.net/images/wappen/medium/290.png?lm=1635851977,17/18,Evan Ndicka
06.2017,2017-06-15,17,100,100000,€,Tsd.,290,AJ Auxerre,AJ Auxerre,https://tmssl.akamaized.net/images/wappen/medium/290.png?lm=1635851977,16/17,Evan Ndicka
03.2017,2017-03-20,17,100,100000,€,Tsd.,290,AJ Auxerre,AJ Auxerre,https://tmssl.akamaized.net/images/wappen/medium/290.png?lm=1635851977,16/17,Evan Ndicka
