date,unformattedDate,age,marketValue,marketValueUnformatted,marketValueCurrency,marketValueNumeral,clubID,clubName,clubShortName,clubImage,seasonID,Name
11.2022,2022-11-09,25,"4,00",4000000,€,Mio.,44,Hertha BSC,Hertha BSC,https://tmssl.akamaized.net/images/wappen/medium/44.png?lm=1656580875,22/23,Filip Uremovic
05.2022,2022-05-13,25,"6,00",6000000,€,Mio.,350,Sheffield United,Sheff Utd,https://tmssl.akamaized.net/images/wappen/medium/350.png?lm=1409254138,21/22,Filip Uremovic
12.2021,2021-12-29,24,"7,00",7000000,€,Mio.,2698,Rubin Kazan,Rubin Kazan,https://tmssl.akamaized.net/images/wappen/medium/2698.png?lm=1561987986,21/22,Filip Uremovic
06.2021,2021-06-02,24,"7,00",7000000,€,Mio.,2698,Rubin Kazan,Rubin Kazan,https://tmssl.akamaized.net/images/wappen/medium/2698.png?lm=1561987986,20/21,Filip Uremovic
12.2020,2020-12-29,23,"7,00",7000000,€,Mio.,2698,Rubin Kazan,Rubin Kazan,https://tmssl.akamaized.net/images/wappen/medium/2698.png?lm=1561987986,20/21,Filip Uremovic
10.2020,2020-10-19,23,"6,00",6000000,€,Mio.,2698,Rubin Kazan,Rubin Kazan,https://tmssl.akamaized.net/images/wappen/medium/2698.png?lm=1561987986,20/21,Filip Uremovic
07.2020,2020-07-29,23,"3,50",3500000,€,Mio.,2698,Rubin Kazan,Rubin Kazan,https://tmssl.akamaized.net/images/wappen/medium/2698.png?lm=1561987986,20/21,Filip Uremovic
04.2020,2020-04-08,23,"2,50",2500000,€,Mio.,2698,Rubin Kazan,Rubin Kazan,https://tmssl.akamaized.net/images/wappen/medium/2698.png?lm=1561987986,19/20,Filip Uremovic
12.2019,2019-12-23,22,"3,20",3200000,€,Mio.,2698,Rubin Kazan,Rubin Kazan,https://tmssl.akamaized.net/images/wappen/medium/2698.png?lm=1561987986,19/20,Filip Uremovic
06.2019,2019-06-14,22,"2,80",2800000,€,Mio.,2698,Rubin Kazan,Rubin Kazan,https://tmssl.akamaized.net/images/wappen/medium/2698.png?lm=1561987986,18/19,Filip Uremovic
12.2018,2018-12-20,21,"2,50",2500000,€,Mio.,2698,Rubin Kazan,Rubin Kazan,https://tmssl.akamaized.net/images/wappen/medium/2698.png?lm=1561987986,18/19,Filip Uremovic
07.2018,2018-07-06,21,"1,00",1000000,€,Mio.,2698,Rubin Kazan,Rubin Kazan,https://tmssl.akamaized.net/images/wappen/medium/2698.png?lm=1561987986,18/19,Filip Uremovic
02.2018,2018-02-21,21,250,250000,€,Tsd.,4772,NK Olimpija Ljubljana,NK Olimpija,https://tmssl.akamaized.net/images/wappen/medium/4772.png?lm=1420820214,17/18,Filip Uremovic
