date,unformattedDate,age,marketValue,marketValueUnformatted,marketValueCurrency,marketValueNumeral,clubID,clubName,clubShortName,clubImage,seasonID,Name
11.2022,2022-11-09,23,"5,50",5500000,€,Mio.,79,VfB Stuttgart,VfB Stuttgart,https://tmssl.akamaized.net/images/wappen/medium/79.png?lm=1656582657,22/23,Hiroki Ito
06.2022,2022-06-09,23,"4,50",4500000,€,Mio.,79,VfB Stuttgart,VfB Stuttgart,https://tmssl.akamaized.net/images/wappen/medium/79.png?lm=1656582657,21/22,Hiroki Ito
12.2021,2021-12-22,22,"3,00",3000000,€,Mio.,79,VfB Stuttgart,VfB Stuttgart,https://tmssl.akamaized.net/images/wappen/medium/79.png?lm=1656582657,21/22,Hiroki Ito
10.2021,2021-10-07,22,900,900000,€,Tsd.,79,VfB Stuttgart,VfB Stuttgart,https://tmssl.akamaized.net/images/wappen/medium/79.png?lm=1656582657,21/22,Hiroki Ito
06.2021,2021-06-28,22,550,550000,€,Tsd.,937,Júbilo Iwata,Júbilo Iwata,https://tmssl.akamaized.net/images/wappen/medium/937.png?lm=1419583510,20/21,Hiroki Ito
01.2021,2021-01-27,21,450,450000,€,Tsd.,937,Júbilo Iwata,Júbilo Iwata,https://tmssl.akamaized.net/images/wappen/medium/937.png?lm=1419583510,20/21,Hiroki Ito
12.2019,2019-12-28,20,150,150000,€,Tsd.,1066,Nagoya Grampus,Nagoya Grampus,https://tmssl.akamaized.net/images/wappen/medium/1066.png?lm=1411407326,19/20,Hiroki Ito
05.2019,2019-05-23,20,150,150000,€,Tsd.,1066,Nagoya Grampus,Nagoya Grampus,https://tmssl.akamaized.net/images/wappen/medium/1066.png?lm=1411407326,18/19,Hiroki Ito
01.2019,2019-01-05,19,75,75000,€,Tsd.,937,Júbilo Iwata,Júbilo Iwata,https://tmssl.akamaized.net/images/wappen/medium/937.png?lm=1419583510,18/19,Hiroki Ito
01.2018,2018-01-05,18,50,50000,€,Tsd.,75,Unbekannt,Unbekannt,https://tmssl.akamaized.net/images/wappen/medium/75.png?lm=1456997316,17/18,Hiroki Ito
