date,unformattedDate,age,marketValue,marketValueUnformatted,marketValueCurrency,marketValueNumeral,clubID,clubName,clubShortName,clubImage,seasonID,Name
11.2022,2022-11-09,30,"3,50",3500000,€,Mio.,80,VfL Bochum,VfL Bochum,https://tmssl.akamaized.net/images/wappen/medium/80.png?lm=1656583090,22/23,Ivan Ordets
09.2022,2022-09-21,30,"3,50",3500000,€,Mio.,80,VfL Bochum,VfL Bochum,https://tmssl.akamaized.net/images/wappen/medium/80.png?lm=1656583090,22/23,Ivan Ordets
06.2022,2022-06-02,29,"5,00",5000000,€,Mio.,121,Dinamo Moskau,Dinamo Moskau,https://tmssl.akamaized.net/images/wappen/medium/121.png?lm=1597937447,21/22,Ivan Ordets
12.2021,2021-12-29,29,"5,00",5000000,€,Mio.,121,Dinamo Moskau,Dinamo Moskau,https://tmssl.akamaized.net/images/wappen/medium/121.png?lm=1597937447,21/22,Ivan Ordets
09.2021,2021-09-15,29,"3,50",3500000,€,Mio.,121,Dinamo Moskau,Dinamo Moskau,https://tmssl.akamaized.net/images/wappen/medium/121.png?lm=1597937447,21/22,Ivan Ordets
06.2021,2021-06-02,28,"3,00",3000000,€,Mio.,121,Dinamo Moskau,Dinamo Moskau,https://tmssl.akamaized.net/images/wappen/medium/121.png?lm=1597937447,20/21,Ivan Ordets
12.2020,2020-12-29,28,"2,50",2500000,€,Mio.,121,Dinamo Moskau,Dinamo Moskau,https://tmssl.akamaized.net/images/wappen/medium/121.png?lm=1597937447,20/21,Ivan Ordets
07.2020,2020-07-29,28,"2,00",2000000,€,Mio.,121,Dinamo Moskau,Dinamo Moskau,https://tmssl.akamaized.net/images/wappen/medium/121.png?lm=1597937447,20/21,Ivan Ordets
04.2020,2020-04-08,27,"1,20",1200000,€,Mio.,121,Dinamo Moskau,Dinamo Moskau,https://tmssl.akamaized.net/images/wappen/medium/121.png?lm=1597937447,19/20,Ivan Ordets
12.2019,2019-12-23,27,"1,50",1500000,€,Mio.,121,Dinamo Moskau,Dinamo Moskau,https://tmssl.akamaized.net/images/wappen/medium/121.png?lm=1597937447,19/20,Ivan Ordets
06.2019,2019-06-20,26,"1,50",1500000,€,Mio.,660,Shakhtar Donetsk,Shakhtar D.,https://tmssl.akamaized.net/images/wappen/medium/660.png?lm=1396275305,18/19,Ivan Ordets
12.2018,2018-12-10,26,"2,50",2500000,€,Mio.,660,Shakhtar Donetsk,Shakhtar D.,https://tmssl.akamaized.net/images/wappen/medium/660.png?lm=1396275305,18/19,Ivan Ordets
08.2018,2018-08-06,26,"3,00",3000000,€,Mio.,660,Shakhtar Donetsk,Shakhtar D.,https://tmssl.akamaized.net/images/wappen/medium/660.png?lm=1396275305,18/19,Ivan Ordets
01.2018,2018-01-12,25,"3,50",3500000,€,Mio.,660,Shakhtar Donetsk,Shakhtar D.,https://tmssl.akamaized.net/images/wappen/medium/660.png?lm=1396275305,17/18,Ivan Ordets
06.2017,2017-06-26,24,"3,00",3000000,€,Mio.,660,Shakhtar Donetsk,Shakhtar D.,https://tmssl.akamaized.net/images/wappen/medium/660.png?lm=1396275305,16/17,Ivan Ordets
01.2017,2017-01-03,24,"3,00",3000000,€,Mio.,660,Shakhtar Donetsk,Shakhtar D.,https://tmssl.akamaized.net/images/wappen/medium/660.png?lm=1396275305,16/17,Ivan Ordets
07.2016,2016-07-21,24,"2,00",2000000,€,Mio.,660,Shakhtar Donetsk,Shakhtar D.,https://tmssl.akamaized.net/images/wappen/medium/660.png?lm=1396275305,16/17,Ivan Ordets
12.2015,2015-12-18,23,"2,00",2000000,€,Mio.,660,Shakhtar Donetsk,Shakhtar D.,https://tmssl.akamaized.net/images/wappen/medium/660.png?lm=1396275305,15/16,Ivan Ordets
06.2015,2015-06-07,22,"1,50",1500000,€,Mio.,660,Shakhtar Donetsk,Shakhtar D.,https://tmssl.akamaized.net/images/wappen/medium/660.png?lm=1396275305,14/15,Ivan Ordets
12.2014,2014-12-25,22,"2,00",2000000,€,Mio.,660,Shakhtar Donetsk,Shakhtar D.,https://tmssl.akamaized.net/images/wappen/medium/660.png?lm=1396275305,14/15,Ivan Ordets
01.2014,2014-01-02,21,"1,00",1000000,€,Mio.,6993,FK Mariupol,FK Mariupol,https://tmssl.akamaized.net/images/wappen/medium/6993.png?lm=1499197929,13/14,Ivan Ordets
06.2013,2013-06-16,20,600,600000,€,Tsd.,6993,FK Mariupol,FK Mariupol,https://tmssl.akamaized.net/images/wappen/medium/6993.png?lm=1499197929,12/13,Ivan Ordets
01.2011,2011-01-17,18,100,100000,€,Tsd.,6993,FK Mariupol,FK Mariupol,https://tmssl.akamaized.net/images/wappen/medium/6993.png?lm=1499197929,10/11,Ivan Ordets
