date,unformattedDate,age,marketValue,marketValueUnformatted,marketValueCurrency,marketValueNumeral,clubID,clubName,clubShortName,clubImage,seasonID,Name
11.2022,2022-11-02,28,"1,00",1000000,€,Mio.,3911,Stade Brest 29,Stade Brest 29,https://tmssl.akamaized.net/images/wappen/medium/3911.png?lm=1408780312,22/23,Jere Uronen
09.2022,2022-09-19,28,"1,20",1200000,€,Mio.,3911,Stade Brest 29,Stade Brest 29,https://tmssl.akamaized.net/images/wappen/medium/3911.png?lm=1408780312,22/23,Jere Uronen
05.2022,2022-05-30,27,"2,00",2000000,€,Mio.,3911,Stade Brest 29,Stade Brest 29,https://tmssl.akamaized.net/images/wappen/medium/3911.png?lm=1408780312,21/22,Jere Uronen
12.2021,2021-12-16,27,"2,50",2500000,€,Mio.,3911,Stade Brest 29,Stade Brest 29,https://tmssl.akamaized.net/images/wappen/medium/3911.png?lm=1408780312,21/22,Jere Uronen
05.2021,2021-05-26,26,"2,50",2500000,€,Mio.,1184,KRC Genk,KRC Genk ,https://tmssl.akamaized.net/images/wappen/medium/1184.png?lm=1464899410,20/21,Jere Uronen
01.2021,2021-01-04,26,"3,00",3000000,€,Mio.,1184,KRC Genk,KRC Genk ,https://tmssl.akamaized.net/images/wappen/medium/1184.png?lm=1464899410,20/21,Jere Uronen
10.2020,2020-10-16,26,"2,80",2800000,€,Mio.,1184,KRC Genk,KRC Genk ,https://tmssl.akamaized.net/images/wappen/medium/1184.png?lm=1464899410,20/21,Jere Uronen
04.2020,2020-04-08,25,"2,80",2800000,€,Mio.,1184,KRC Genk,KRC Genk ,https://tmssl.akamaized.net/images/wappen/medium/1184.png?lm=1464899410,19/20,Jere Uronen
12.2019,2019-12-13,25,"3,50",3500000,€,Mio.,1184,KRC Genk,KRC Genk ,https://tmssl.akamaized.net/images/wappen/medium/1184.png?lm=1464899410,19/20,Jere Uronen
06.2019,2019-06-10,24,"3,50",3500000,€,Mio.,1184,KRC Genk,KRC Genk ,https://tmssl.akamaized.net/images/wappen/medium/1184.png?lm=1464899410,18/19,Jere Uronen
03.2019,2019-03-04,24,"3,50",3500000,€,Mio.,1184,KRC Genk,KRC Genk ,https://tmssl.akamaized.net/images/wappen/medium/1184.png?lm=1464899410,18/19,Jere Uronen
12.2018,2018-12-27,24,"2,50",2500000,€,Mio.,1184,KRC Genk,KRC Genk ,https://tmssl.akamaized.net/images/wappen/medium/1184.png?lm=1464899410,18/19,Jere Uronen
06.2018,2018-06-03,23,"1,20",1200000,€,Mio.,1184,KRC Genk,KRC Genk ,https://tmssl.akamaized.net/images/wappen/medium/1184.png?lm=1464899410,17/18,Jere Uronen
01.2018,2018-01-09,23,"1,20",1200000,€,Mio.,1184,KRC Genk,KRC Genk ,https://tmssl.akamaized.net/images/wappen/medium/1184.png?lm=1464899410,17/18,Jere Uronen
06.2017,2017-06-06,22,"1,20",1200000,€,Mio.,1184,KRC Genk,KRC Genk ,https://tmssl.akamaized.net/images/wappen/medium/1184.png?lm=1464899410,16/17,Jere Uronen
01.2017,2017-01-21,22,"1,00",1000000,€,Mio.,1184,KRC Genk,KRC Genk ,https://tmssl.akamaized.net/images/wappen/medium/1184.png?lm=1464899410,16/17,Jere Uronen
07.2016,2016-07-15,22,"1,00",1000000,€,Mio.,1184,KRC Genk,KRC Genk ,https://tmssl.akamaized.net/images/wappen/medium/1184.png?lm=1464899410,16/17,Jere Uronen
11.2015,2015-11-29,21,900,900000,€,Tsd.,699,Helsingborgs IF,Helsingborgs IF,https://tmssl.akamaized.net/images/wappen/medium/699.png?lm=1415701529,15/16,Jere Uronen
06.2015,2015-06-14,20,900,900000,€,Tsd.,699,Helsingborgs IF,Helsingborgs IF,https://tmssl.akamaized.net/images/wappen/medium/699.png?lm=1415701529,14/15,Jere Uronen
04.2015,2015-04-11,20,900,900000,€,Tsd.,699,Helsingborgs IF,Helsingborgs IF,https://tmssl.akamaized.net/images/wappen/medium/699.png?lm=1415701529,14/15,Jere Uronen
02.2015,2015-02-23,20,900,900000,€,Tsd.,699,Helsingborgs IF,Helsingborgs IF,https://tmssl.akamaized.net/images/wappen/medium/699.png?lm=1415701529,14/15,Jere Uronen
06.2014,2014-06-30,19,500,500000,€,Tsd.,699,Helsingborgs IF,Helsingborgs IF,https://tmssl.akamaized.net/images/wappen/medium/699.png?lm=1415701529,13/14,Jere Uronen
08.2013,2013-08-07,19,400,400000,€,Tsd.,699,Helsingborgs IF,Helsingborgs IF,https://tmssl.akamaized.net/images/wappen/medium/699.png?lm=1415701529,13/14,Jere Uronen
09.2012,2012-09-30,18,750,750000,€,Tsd.,699,Helsingborgs IF,Helsingborgs IF,https://tmssl.akamaized.net/images/wappen/medium/699.png?lm=1415701529,12/13,Jere Uronen
01.2012,2012-01-06,17,100,100000,€,Tsd.,699,Helsingborgs IF,Helsingborgs IF,https://tmssl.akamaized.net/images/wappen/medium/699.png?lm=1415701529,11/12,Jere Uronen
