date,unformattedDate,age,marketValue,marketValueUnformatted,marketValueCurrency,marketValueNumeral,clubID,clubName,clubShortName,clubImage,seasonID,Name
11.2022,2022-11-01,29,"6,00",6000000,€,Mio.,294,Benfica Lissabon,Benfica,https://tmssl.akamaized.net/images/wappen/medium/294.png?lm=1535908439,22/23,John Anthony Brooks
06.2022,2022-06-09,29,"7,00",7000000,€,Mio.,82,VfL Wolfsburg,VfL Wolfsburg,https://tmssl.akamaized.net/images/wappen/medium/82.png?lm=1503060755,21/22,John Anthony Brooks
12.2021,2021-12-22,28,"12,00",12000000,€,Mio.,82,VfL Wolfsburg,VfL Wolfsburg,https://tmssl.akamaized.net/images/wappen/medium/82.png?lm=1503060755,21/22,John Anthony Brooks
06.2021,2021-06-09,28,"14,00",14000000,€,Mio.,82,VfL Wolfsburg,VfL Wolfsburg,https://tmssl.akamaized.net/images/wappen/medium/82.png?lm=1503060755,20/21,John Anthony Brooks
02.2021,2021-02-10,28,"12,00",12000000,€,Mio.,82,VfL Wolfsburg,VfL Wolfsburg,https://tmssl.akamaized.net/images/wappen/medium/82.png?lm=1503060755,20/21,John Anthony Brooks
09.2020,2020-09-16,27,"10,00",10000000,€,Mio.,82,VfL Wolfsburg,VfL Wolfsburg,https://tmssl.akamaized.net/images/wappen/medium/82.png?lm=1503060755,20/21,John Anthony Brooks
04.2020,2020-04-08,27,"12,00",12000000,€,Mio.,82,VfL Wolfsburg,VfL Wolfsburg,https://tmssl.akamaized.net/images/wappen/medium/82.png?lm=1503060755,19/20,John Anthony Brooks
12.2019,2019-12-17,26,"15,00",15000000,€,Mio.,82,VfL Wolfsburg,VfL Wolfsburg,https://tmssl.akamaized.net/images/wappen/medium/82.png?lm=1503060755,19/20,John Anthony Brooks
06.2019,2019-06-05,26,"15,00",15000000,€,Mio.,82,VfL Wolfsburg,VfL Wolfsburg,https://tmssl.akamaized.net/images/wappen/medium/82.png?lm=1503060755,18/19,John Anthony Brooks
12.2018,2018-12-18,25,"15,00",15000000,€,Mio.,82,VfL Wolfsburg,VfL Wolfsburg,https://tmssl.akamaized.net/images/wappen/medium/82.png?lm=1503060755,18/19,John Anthony Brooks
06.2018,2018-06-05,25,"10,00",10000000,€,Mio.,82,VfL Wolfsburg,VfL Wolfsburg,https://tmssl.akamaized.net/images/wappen/medium/82.png?lm=1503060755,17/18,John Anthony Brooks
04.2018,2018-04-04,25,"12,00",12000000,€,Mio.,82,VfL Wolfsburg,VfL Wolfsburg,https://tmssl.akamaized.net/images/wappen/medium/82.png?lm=1503060755,17/18,John Anthony Brooks
12.2017,2017-12-28,24,"14,00",14000000,€,Mio.,82,VfL Wolfsburg,VfL Wolfsburg,https://tmssl.akamaized.net/images/wappen/medium/82.png?lm=1503060755,17/18,John Anthony Brooks
06.2017,2017-06-19,24,"14,00",14000000,€,Mio.,44,Hertha BSC,Hertha BSC,https://tmssl.akamaized.net/images/wappen/medium/44.png?lm=1656580875,16/17,John Anthony Brooks
02.2017,2017-02-07,24,"10,00",10000000,€,Mio.,44,Hertha BSC,Hertha BSC,https://tmssl.akamaized.net/images/wappen/medium/44.png?lm=1656580875,16/17,John Anthony Brooks
07.2016,2016-07-22,23,"10,00",10000000,€,Mio.,44,Hertha BSC,Hertha BSC,https://tmssl.akamaized.net/images/wappen/medium/44.png?lm=1656580875,16/17,John Anthony Brooks
02.2016,2016-02-15,23,"7,00",7000000,€,Mio.,44,Hertha BSC,Hertha BSC,https://tmssl.akamaized.net/images/wappen/medium/44.png?lm=1656580875,15/16,John Anthony Brooks
07.2015,2015-07-01,22,"4,50",4500000,€,Mio.,44,Hertha BSC,Hertha BSC,https://tmssl.akamaized.net/images/wappen/medium/44.png?lm=1656580875,15/16,John Anthony Brooks
02.2015,2015-02-04,22,"4,50",4500000,€,Mio.,44,Hertha BSC,Hertha BSC,https://tmssl.akamaized.net/images/wappen/medium/44.png?lm=1656580875,14/15,John Anthony Brooks
07.2014,2014-07-10,21,"3,50",3500000,€,Mio.,44,Hertha BSC,Hertha BSC,https://tmssl.akamaized.net/images/wappen/medium/44.png?lm=1656580875,14/15,John Anthony Brooks
08.2013,2013-08-27,20,"3,00",3000000,€,Mio.,44,Hertha BSC,Hertha BSC,https://tmssl.akamaized.net/images/wappen/medium/44.png?lm=1656580875,13/14,John Anthony Brooks
06.2013,2013-06-29,20,"2,00",2000000,€,Mio.,44,Hertha BSC,Hertha BSC,https://tmssl.akamaized.net/images/wappen/medium/44.png?lm=1656580875,12/13,John Anthony Brooks
01.2013,2013-01-04,19,"1,00",1000000,€,Mio.,44,Hertha BSC,Hertha BSC,https://tmssl.akamaized.net/images/wappen/medium/44.png?lm=1656580875,12/13,John Anthony Brooks
10.2012,2012-10-23,19,500,500000,€,Tsd.,44,Hertha BSC,Hertha BSC,https://tmssl.akamaized.net/images/wappen/medium/44.png?lm=1656580875,12/13,John Anthony Brooks
06.2012,2012-06-29,19,200,200000,€,Tsd.,44,Hertha BSC,Hertha BSC,https://tmssl.akamaized.net/images/wappen/medium/44.png?lm=1656580875,11/12,John Anthony Brooks
01.2012,2012-01-23,18,200,200000,€,Tsd.,44,Hertha BSC,Hertha BSC,https://tmssl.akamaized.net/images/wappen/medium/44.png?lm=1656580875,11/12,John Anthony Brooks
07.2011,2011-07-15,18,200,200000,€,Tsd.,44,Hertha BSC,Hertha BSC,https://tmssl.akamaized.net/images/wappen/medium/44.png?lm=1656580875,11/12,John Anthony Brooks
05.2011,2011-05-16,18,100,100000,€,Tsd.,45,Hertha BSC II,Hertha BSC II,https://tmssl.akamaized.net/images/wappen/medium/45.png?lm=1656580875,10/11,John Anthony Brooks
