date,unformattedDate,age,marketValue,marketValueUnformatted,marketValueCurrency,marketValueNumeral,clubID,clubName,clubShortName,clubImage,seasonID,Name
11.2022,2022-11-09,26,"20,00",20000000,€,Mio.,15,Bayer 04 Leverkusen,B. Leverkusen,https://tmssl.akamaized.net/images/wappen/medium/15.png?lm=1651221781,22/23,Jonathan Tah
06.2022,2022-06-09,26,"25,00",25000000,€,Mio.,15,Bayer 04 Leverkusen,B. Leverkusen,https://tmssl.akamaized.net/images/wappen/medium/15.png?lm=1651221781,21/22,Jonathan Tah
12.2021,2021-12-22,25,"25,00",25000000,€,Mio.,15,Bayer 04 Leverkusen,B. Leverkusen,https://tmssl.akamaized.net/images/wappen/medium/15.png?lm=1651221781,21/22,Jonathan Tah
06.2021,2021-06-09,25,"22,00",22000000,€,Mio.,15,Bayer 04 Leverkusen,B. Leverkusen,https://tmssl.akamaized.net/images/wappen/medium/15.png?lm=1651221781,20/21,Jonathan Tah
02.2021,2021-02-10,24,"20,00",20000000,€,Mio.,15,Bayer 04 Leverkusen,B. Leverkusen,https://tmssl.akamaized.net/images/wappen/medium/15.png?lm=1651221781,20/21,Jonathan Tah
11.2020,2020-11-26,24,"20,00",20000000,€,Mio.,15,Bayer 04 Leverkusen,B. Leverkusen,https://tmssl.akamaized.net/images/wappen/medium/15.png?lm=1651221781,20/21,Jonathan Tah
07.2020,2020-07-08,24,"24,00",24000000,€,Mio.,15,Bayer 04 Leverkusen,B. Leverkusen,https://tmssl.akamaized.net/images/wappen/medium/15.png?lm=1651221781,20/21,Jonathan Tah
04.2020,2020-04-08,24,"29,50",29500000,€,Mio.,15,Bayer 04 Leverkusen,B. Leverkusen,https://tmssl.akamaized.net/images/wappen/medium/15.png?lm=1651221781,19/20,Jonathan Tah
12.2019,2019-12-17,23,"37,00",37000000,€,Mio.,15,Bayer 04 Leverkusen,B. Leverkusen,https://tmssl.akamaized.net/images/wappen/medium/15.png?lm=1651221781,19/20,Jonathan Tah
06.2019,2019-06-05,23,"40,00",40000000,€,Mio.,15,Bayer 04 Leverkusen,B. Leverkusen,https://tmssl.akamaized.net/images/wappen/medium/15.png?lm=1651221781,18/19,Jonathan Tah
03.2019,2019-03-06,23,"35,00",35000000,€,Mio.,15,Bayer 04 Leverkusen,B. Leverkusen,https://tmssl.akamaized.net/images/wappen/medium/15.png?lm=1651221781,18/19,Jonathan Tah
12.2018,2018-12-18,22,"32,00",32000000,€,Mio.,15,Bayer 04 Leverkusen,B. Leverkusen,https://tmssl.akamaized.net/images/wappen/medium/15.png?lm=1651221781,18/19,Jonathan Tah
08.2018,2018-08-22,22,"40,00",40000000,€,Mio.,15,Bayer 04 Leverkusen,B. Leverkusen,https://tmssl.akamaized.net/images/wappen/medium/15.png?lm=1651221781,18/19,Jonathan Tah
06.2018,2018-06-05,22,"30,00",30000000,€,Mio.,15,Bayer 04 Leverkusen,B. Leverkusen,https://tmssl.akamaized.net/images/wappen/medium/15.png?lm=1651221781,17/18,Jonathan Tah
04.2018,2018-04-04,22,"30,00",30000000,€,Mio.,15,Bayer 04 Leverkusen,B. Leverkusen,https://tmssl.akamaized.net/images/wappen/medium/15.png?lm=1651221781,17/18,Jonathan Tah
12.2017,2017-12-28,21,"25,00",25000000,€,Mio.,15,Bayer 04 Leverkusen,B. Leverkusen,https://tmssl.akamaized.net/images/wappen/medium/15.png?lm=1651221781,17/18,Jonathan Tah
06.2017,2017-06-19,21,"22,00",22000000,€,Mio.,15,Bayer 04 Leverkusen,B. Leverkusen,https://tmssl.akamaized.net/images/wappen/medium/15.png?lm=1651221781,16/17,Jonathan Tah
02.2017,2017-02-07,20,"22,00",22000000,€,Mio.,15,Bayer 04 Leverkusen,B. Leverkusen,https://tmssl.akamaized.net/images/wappen/medium/15.png?lm=1651221781,16/17,Jonathan Tah
07.2016,2016-07-22,20,"16,00",16000000,€,Mio.,15,Bayer 04 Leverkusen,B. Leverkusen,https://tmssl.akamaized.net/images/wappen/medium/15.png?lm=1651221781,16/17,Jonathan Tah
06.2016,2016-06-01,20,"12,00",12000000,€,Mio.,15,Bayer 04 Leverkusen,B. Leverkusen,https://tmssl.akamaized.net/images/wappen/medium/15.png?lm=1651221781,15/16,Jonathan Tah
04.2016,2016-04-13,20,"12,00",12000000,€,Mio.,15,Bayer 04 Leverkusen,B. Leverkusen,https://tmssl.akamaized.net/images/wappen/medium/15.png?lm=1651221781,15/16,Jonathan Tah
02.2016,2016-02-15,20,"10,00",10000000,€,Mio.,15,Bayer 04 Leverkusen,B. Leverkusen,https://tmssl.akamaized.net/images/wappen/medium/15.png?lm=1651221781,15/16,Jonathan Tah
10.2015,2015-10-16,19,"9,00",9000000,€,Mio.,15,Bayer 04 Leverkusen,B. Leverkusen,https://tmssl.akamaized.net/images/wappen/medium/15.png?lm=1651221781,15/16,Jonathan Tah
07.2015,2015-07-01,19,"6,00",6000000,€,Mio.,41,Hamburger SV,Hamburger SV,https://tmssl.akamaized.net/images/wappen/medium/41.png?lm=1597319274,15/16,Jonathan Tah
01.2015,2015-01-13,18,"4,00",4000000,€,Mio.,38,Fortuna Düsseldorf,F. Düsseldorf,https://tmssl.akamaized.net/images/wappen/medium/38.png?lm=1405514004,14/15,Jonathan Tah
10.2014,2014-10-01,18,"4,00",4000000,€,Mio.,38,Fortuna Düsseldorf,F. Düsseldorf,https://tmssl.akamaized.net/images/wappen/medium/38.png?lm=1405514004,14/15,Jonathan Tah
02.2014,2014-02-12,18,"6,50",6500000,€,Mio.,41,Hamburger SV,Hamburger SV,https://tmssl.akamaized.net/images/wappen/medium/41.png?lm=1597319274,13/14,Jonathan Tah
11.2013,2013-11-05,17,"3,50",3500000,€,Mio.,41,Hamburger SV,Hamburger SV,https://tmssl.akamaized.net/images/wappen/medium/41.png?lm=1597319274,13/14,Jonathan Tah
07.2013,2013-07-25,17,500,500000,€,Tsd.,41,Hamburger SV,Hamburger SV,https://tmssl.akamaized.net/images/wappen/medium/41.png?lm=1597319274,13/14,Jonathan Tah
