date,unformattedDate,age,marketValue,marketValueUnformatted,marketValueCurrency,marketValueNumeral,clubID,clubName,clubShortName,clubImage,seasonID,Name
11.2022,2022-11-09,24,"2,00",2000000,€,Mio.,3,1.FC Köln,1.FC Köln,https://tmssl.akamaized.net/images/wappen/medium/3.png?lm=1656580823,22/23,Julian Chabot
06.2022,2022-06-09,24,"2,00",2000000,€,Mio.,3,1.FC Köln,1.FC Köln,https://tmssl.akamaized.net/images/wappen/medium/3.png?lm=1656580823,21/22,Julian Chabot
12.2021,2021-12-28,23,"2,80",2800000,€,Mio.,1038,Sampdoria Genua,Sampdoria,https://tmssl.akamaized.net/images/wappen/medium/1038.png?lm=1520934353,21/22,Julian Chabot
06.2021,2021-06-03,23,"3,00",3000000,€,Mio.,3522,Spezia Calcio,Spezia Calcio,https://tmssl.akamaized.net/images/wappen/medium/3522.png?lm=1504611067,20/21,Julian Chabot
12.2020,2020-12-29,22,"3,50",3500000,€,Mio.,3522,Spezia Calcio,Spezia Calcio,https://tmssl.akamaized.net/images/wappen/medium/3522.png?lm=1504611067,20/21,Julian Chabot
08.2020,2020-08-25,22,"3,10",3100000,€,Mio.,1038,Sampdoria Genua,Sampdoria,https://tmssl.akamaized.net/images/wappen/medium/1038.png?lm=1520934353,20/21,Julian Chabot
04.2020,2020-04-08,22,"3,20",3200000,€,Mio.,1038,Sampdoria Genua,Sampdoria,https://tmssl.akamaized.net/images/wappen/medium/1038.png?lm=1520934353,19/20,Julian Chabot
12.2019,2019-12-12,21,"3,50",3500000,€,Mio.,1038,Sampdoria Genua,Sampdoria,https://tmssl.akamaized.net/images/wappen/medium/1038.png?lm=1520934353,19/20,Julian Chabot
06.2019,2019-06-12,21,"3,50",3500000,€,Mio.,202,FC Groningen,FC Groningen,https://tmssl.akamaized.net/images/wappen/medium/202.png?lm=1657052745,18/19,Julian Chabot
03.2019,2019-03-13,21,"2,00",2000000,€,Mio.,202,FC Groningen,FC Groningen,https://tmssl.akamaized.net/images/wappen/medium/202.png?lm=1657052745,18/19,Julian Chabot
12.2018,2018-12-28,20,"1,25",1250000,€,Mio.,202,FC Groningen,FC Groningen,https://tmssl.akamaized.net/images/wappen/medium/202.png?lm=1657052745,18/19,Julian Chabot
10.2018,2018-10-04,20,900,900000,€,Tsd.,202,FC Groningen,FC Groningen,https://tmssl.akamaized.net/images/wappen/medium/202.png?lm=1657052745,18/19,Julian Chabot
06.2018,2018-06-12,20,500,500000,€,Tsd.,468,Sparta Rotterdam,Sparta R.,https://tmssl.akamaized.net/images/wappen/medium/468.png?lm=1485262132,17/18,Julian Chabot
03.2018,2018-03-27,20,600,600000,€,Tsd.,468,Sparta Rotterdam,Sparta R.,https://tmssl.akamaized.net/images/wappen/medium/468.png?lm=1485262132,17/18,Julian Chabot
01.2018,2018-01-17,19,200,200000,€,Tsd.,468,Sparta Rotterdam,Sparta R.,https://tmssl.akamaized.net/images/wappen/medium/468.png?lm=1485262132,17/18,Julian Chabot
07.2017,2017-07-01,19,200,200000,€,Tsd.,468,Sparta Rotterdam,Sparta R.,https://tmssl.akamaized.net/images/wappen/medium/468.png?lm=1485262132,17/18,Julian Chabot
