date,unformattedDate,age,marketValue,marketValueUnformatted,marketValueCurrency,marketValueNumeral,clubID,clubName,clubShortName,clubImage,seasonID,Name
11.2022,2022-11-09,29,"3,00",3000000,€,Mio.,82,VfL Wolfsburg,VfL Wolfsburg,https://tmssl.akamaized.net/images/wappen/medium/82.png?lm=1503060755,22/23,Jérôme Roussillon
06.2022,2022-06-09,29,"4,50",4500000,€,Mio.,82,VfL Wolfsburg,VfL Wolfsburg,https://tmssl.akamaized.net/images/wappen/medium/82.png?lm=1503060755,21/22,Jérôme Roussillon
12.2021,2021-12-22,28,"7,00",7000000,€,Mio.,82,VfL Wolfsburg,VfL Wolfsburg,https://tmssl.akamaized.net/images/wappen/medium/82.png?lm=1503060755,21/22,Jérôme Roussillon
06.2021,2021-06-09,28,"7,00",7000000,€,Mio.,82,VfL Wolfsburg,VfL Wolfsburg,https://tmssl.akamaized.net/images/wappen/medium/82.png?lm=1503060755,20/21,Jérôme Roussillon
02.2021,2021-02-10,28,"9,00",9000000,€,Mio.,82,VfL Wolfsburg,VfL Wolfsburg,https://tmssl.akamaized.net/images/wappen/medium/82.png?lm=1503060755,20/21,Jérôme Roussillon
09.2020,2020-09-16,27,"10,00",10000000,€,Mio.,82,VfL Wolfsburg,VfL Wolfsburg,https://tmssl.akamaized.net/images/wappen/medium/82.png?lm=1503060755,20/21,Jérôme Roussillon
04.2020,2020-04-08,27,"16,00",16000000,€,Mio.,82,VfL Wolfsburg,VfL Wolfsburg,https://tmssl.akamaized.net/images/wappen/medium/82.png?lm=1503060755,19/20,Jérôme Roussillon
12.2019,2019-12-17,26,"20,00",20000000,€,Mio.,82,VfL Wolfsburg,VfL Wolfsburg,https://tmssl.akamaized.net/images/wappen/medium/82.png?lm=1503060755,19/20,Jérôme Roussillon
06.2019,2019-06-05,26,"20,00",20000000,€,Mio.,82,VfL Wolfsburg,VfL Wolfsburg,https://tmssl.akamaized.net/images/wappen/medium/82.png?lm=1503060755,18/19,Jérôme Roussillon
03.2019,2019-03-06,26,"15,00",15000000,€,Mio.,82,VfL Wolfsburg,VfL Wolfsburg,https://tmssl.akamaized.net/images/wappen/medium/82.png?lm=1503060755,18/19,Jérôme Roussillon
12.2018,2018-12-18,25,"10,00",10000000,€,Mio.,82,VfL Wolfsburg,VfL Wolfsburg,https://tmssl.akamaized.net/images/wappen/medium/82.png?lm=1503060755,18/19,Jérôme Roussillon
06.2018,2018-06-04,25,"8,00",8000000,€,Mio.,969,Montpellier HSC,Montpellier HSC,https://tmssl.akamaized.net/images/wappen/medium/969.png?lm=1459072367,17/18,Jérôme Roussillon
03.2018,2018-03-20,25,"7,00",7000000,€,Mio.,969,Montpellier HSC,Montpellier HSC,https://tmssl.akamaized.net/images/wappen/medium/969.png?lm=1459072367,17/18,Jérôme Roussillon
01.2018,2018-01-24,25,"5,00",5000000,€,Mio.,969,Montpellier HSC,Montpellier HSC,https://tmssl.akamaized.net/images/wappen/medium/969.png?lm=1459072367,17/18,Jérôme Roussillon
06.2017,2017-06-01,24,"3,50",3500000,€,Mio.,969,Montpellier HSC,Montpellier HSC,https://tmssl.akamaized.net/images/wappen/medium/969.png?lm=1459072367,16/17,Jérôme Roussillon
01.2017,2017-01-16,24,"3,00",3000000,€,Mio.,969,Montpellier HSC,Montpellier HSC,https://tmssl.akamaized.net/images/wappen/medium/969.png?lm=1459072367,16/17,Jérôme Roussillon
07.2016,2016-07-13,23,"2,50",2500000,€,Mio.,969,Montpellier HSC,Montpellier HSC,https://tmssl.akamaized.net/images/wappen/medium/969.png?lm=1459072367,16/17,Jérôme Roussillon
02.2016,2016-02-04,23,"2,00",2000000,€,Mio.,969,Montpellier HSC,Montpellier HSC,https://tmssl.akamaized.net/images/wappen/medium/969.png?lm=1459072367,15/16,Jérôme Roussillon
06.2015,2015-06-06,22,"2,00",2000000,€,Mio.,750,FC Sochaux-Montbéliard,FC Sochaux,https://tmssl.akamaized.net/images/wappen/medium/750.png?lm=1439104427,14/15,Jérôme Roussillon
11.2014,2014-11-20,21,"1,50",1500000,€,Mio.,750,FC Sochaux-Montbéliard,FC Sochaux,https://tmssl.akamaized.net/images/wappen/medium/750.png?lm=1439104427,14/15,Jérôme Roussillon
01.2014,2014-01-14,21,"1,50",1500000,€,Mio.,750,FC Sochaux-Montbéliard,FC Sochaux,https://tmssl.akamaized.net/images/wappen/medium/750.png?lm=1439104427,13/14,Jérôme Roussillon
05.2013,2013-05-30,20,"2,00",2000000,€,Mio.,750,FC Sochaux-Montbéliard,FC Sochaux,https://tmssl.akamaized.net/images/wappen/medium/750.png?lm=1439104427,12/13,Jérôme Roussillon
01.2013,2013-01-07,20,"1,50",1500000,€,Mio.,750,FC Sochaux-Montbéliard,FC Sochaux,https://tmssl.akamaized.net/images/wappen/medium/750.png?lm=1439104427,12/13,Jérôme Roussillon
09.2012,2012-09-30,19,500,500000,€,Tsd.,750,FC Sochaux-Montbéliard,FC Sochaux,https://tmssl.akamaized.net/images/wappen/medium/750.png?lm=1439104427,12/13,Jérôme Roussillon
