date,unformattedDate,age,marketValue,marketValueUnformatted,marketValueCurrency,marketValueNumeral,clubID,clubName,clubShortName,clubImage,seasonID,Name
11.2022,2022-11-09,25,"3,00",3000000,€,Mio.,60,SC Freiburg,SC Freiburg,https://tmssl.akamaized.net/images/wappen/medium/60.png?lm=1517249279,22/23,Keven Schlotterbeck
06.2022,2022-06-09,25,"3,00",3000000,€,Mio.,60,SC Freiburg,SC Freiburg,https://tmssl.akamaized.net/images/wappen/medium/60.png?lm=1517249279,21/22,Keven Schlotterbeck
03.2022,2022-03-24,24,"3,50",3500000,€,Mio.,60,SC Freiburg,SC Freiburg,https://tmssl.akamaized.net/images/wappen/medium/60.png?lm=1517249279,21/22,Keven Schlotterbeck
12.2021,2021-12-22,24,"5,00",5000000,€,Mio.,60,SC Freiburg,SC Freiburg,https://tmssl.akamaized.net/images/wappen/medium/60.png?lm=1517249279,21/22,Keven Schlotterbeck
10.2021,2021-10-07,24,"6,50",6500000,€,Mio.,60,SC Freiburg,SC Freiburg,https://tmssl.akamaized.net/images/wappen/medium/60.png?lm=1517249279,21/22,Keven Schlotterbeck
06.2021,2021-06-09,24,"7,50",7500000,€,Mio.,60,SC Freiburg,SC Freiburg,https://tmssl.akamaized.net/images/wappen/medium/60.png?lm=1517249279,20/21,Keven Schlotterbeck
02.2021,2021-02-10,23,"7,50",7500000,€,Mio.,60,SC Freiburg,SC Freiburg,https://tmssl.akamaized.net/images/wappen/medium/60.png?lm=1517249279,20/21,Keven Schlotterbeck
09.2020,2020-09-16,23,"4,00",4000000,€,Mio.,60,SC Freiburg,SC Freiburg,https://tmssl.akamaized.net/images/wappen/medium/60.png?lm=1517249279,20/21,Keven Schlotterbeck
07.2020,2020-07-08,23,"3,50",3500000,€,Mio.,60,SC Freiburg,SC Freiburg,https://tmssl.akamaized.net/images/wappen/medium/60.png?lm=1517249279,20/21,Keven Schlotterbeck
04.2020,2020-04-08,22,"2,80",2800000,€,Mio.,89,1.FC Union Berlin,Union Berlin,https://tmssl.akamaized.net/images/wappen/medium/89.png?lm=1402956210,19/20,Keven Schlotterbeck
03.2020,2020-03-11,22,"3,50",3500000,€,Mio.,89,1.FC Union Berlin,Union Berlin,https://tmssl.akamaized.net/images/wappen/medium/89.png?lm=1402956210,19/20,Keven Schlotterbeck
12.2019,2019-12-17,22,"2,00",2000000,€,Mio.,89,1.FC Union Berlin,Union Berlin,https://tmssl.akamaized.net/images/wappen/medium/89.png?lm=1402956210,19/20,Keven Schlotterbeck
06.2019,2019-06-05,22,"1,00",1000000,€,Mio.,60,SC Freiburg,SC Freiburg,https://tmssl.akamaized.net/images/wappen/medium/60.png?lm=1517249279,18/19,Keven Schlotterbeck
02.2019,2019-02-11,21,100,100000,€,Tsd.,60,SC Freiburg,SC Freiburg,https://tmssl.akamaized.net/images/wappen/medium/60.png?lm=1517249279,18/19,Keven Schlotterbeck
12.2018,2018-12-18,21,100,100000,€,Tsd.,60,SC Freiburg,SC Freiburg,https://tmssl.akamaized.net/images/wappen/medium/60.png?lm=1517249279,18/19,Keven Schlotterbeck
08.2018,2018-08-22,21,100,100000,€,Tsd.,60,SC Freiburg,SC Freiburg,https://tmssl.akamaized.net/images/wappen/medium/60.png?lm=1517249279,18/19,Keven Schlotterbeck
02.2018,2018-02-04,20,75,75000,€,Tsd.,245,SC Freiburg II,SC Freiburg II,https://tmssl.akamaized.net/images/wappen/medium/245.png?lm=1594709898,17/18,Keven Schlotterbeck
08.2017,2017-08-21,20,50,50000,€,Tsd.,245,SC Freiburg II,SC Freiburg II,https://tmssl.akamaized.net/images/wappen/medium/245.png?lm=1594709898,17/18,Keven Schlotterbeck
