date,unformattedDate,age,marketValue,marketValueUnformatted,marketValueCurrency,marketValueNumeral,clubID,clubName,clubShortName,clubImage,seasonID,Name
11.2022,2022-11-09,27,"5,00",5000000,€,Mio.,533,TSG 1899 Hoffenheim,TSG Hoffenheim,https://tmssl.akamaized.net/images/wappen/medium/533.png?lm=1675591766,22/23,Kevin Akpoguma
06.2022,2022-06-09,27,"6,00",6000000,€,Mio.,533,TSG 1899 Hoffenheim,TSG Hoffenheim,https://tmssl.akamaized.net/images/wappen/medium/533.png?lm=1675591766,21/22,Kevin Akpoguma
12.2021,2021-12-22,26,"6,00",6000000,€,Mio.,533,TSG 1899 Hoffenheim,TSG Hoffenheim,https://tmssl.akamaized.net/images/wappen/medium/533.png?lm=1675591766,21/22,Kevin Akpoguma
06.2021,2021-06-09,26,"5,00",5000000,€,Mio.,533,TSG 1899 Hoffenheim,TSG Hoffenheim,https://tmssl.akamaized.net/images/wappen/medium/533.png?lm=1675591766,20/21,Kevin Akpoguma
02.2021,2021-02-10,25,"6,00",6000000,€,Mio.,533,TSG 1899 Hoffenheim,TSG Hoffenheim,https://tmssl.akamaized.net/images/wappen/medium/533.png?lm=1675591766,20/21,Kevin Akpoguma
11.2020,2020-11-26,25,"6,00",6000000,€,Mio.,533,TSG 1899 Hoffenheim,TSG Hoffenheim,https://tmssl.akamaized.net/images/wappen/medium/533.png?lm=1675591766,20/21,Kevin Akpoguma
04.2020,2020-04-08,24,"4,80",4800000,€,Mio.,533,TSG 1899 Hoffenheim,TSG Hoffenheim,https://tmssl.akamaized.net/images/wappen/medium/533.png?lm=1675591766,19/20,Kevin Akpoguma
12.2019,2019-12-17,24,"6,00",6000000,€,Mio.,533,TSG 1899 Hoffenheim,TSG Hoffenheim,https://tmssl.akamaized.net/images/wappen/medium/533.png?lm=1675591766,19/20,Kevin Akpoguma
10.2019,2019-10-02,24,"4,00",4000000,€,Mio.,533,TSG 1899 Hoffenheim,TSG Hoffenheim,https://tmssl.akamaized.net/images/wappen/medium/533.png?lm=1675591766,19/20,Kevin Akpoguma
06.2019,2019-06-05,24,"6,50",6500000,€,Mio.,42,Hannover 96,Hannover 96,https://tmssl.akamaized.net/images/wappen/medium/42.png?lm=1625590625,18/19,Kevin Akpoguma
12.2018,2018-12-18,23,"10,00",10000000,€,Mio.,533,TSG 1899 Hoffenheim,TSG Hoffenheim,https://tmssl.akamaized.net/images/wappen/medium/533.png?lm=1675591766,18/19,Kevin Akpoguma
08.2018,2018-08-22,23,"12,00",12000000,€,Mio.,533,TSG 1899 Hoffenheim,TSG Hoffenheim,https://tmssl.akamaized.net/images/wappen/medium/533.png?lm=1675591766,18/19,Kevin Akpoguma
06.2018,2018-06-05,23,"8,00",8000000,€,Mio.,533,TSG 1899 Hoffenheim,TSG Hoffenheim,https://tmssl.akamaized.net/images/wappen/medium/533.png?lm=1675591766,17/18,Kevin Akpoguma
04.2018,2018-04-04,22,"5,50",5500000,€,Mio.,533,TSG 1899 Hoffenheim,TSG Hoffenheim,https://tmssl.akamaized.net/images/wappen/medium/533.png?lm=1675591766,17/18,Kevin Akpoguma
12.2017,2017-12-28,22,"3,00",3000000,€,Mio.,533,TSG 1899 Hoffenheim,TSG Hoffenheim,https://tmssl.akamaized.net/images/wappen/medium/533.png?lm=1675591766,17/18,Kevin Akpoguma
06.2017,2017-06-27,22,"1,25",1250000,€,Mio.,38,Fortuna Düsseldorf,F. Düsseldorf,https://tmssl.akamaized.net/images/wappen/medium/38.png?lm=1405514004,16/17,Kevin Akpoguma
01.2017,2017-01-23,21,"1,25",1250000,€,Mio.,38,Fortuna Düsseldorf,F. Düsseldorf,https://tmssl.akamaized.net/images/wappen/medium/38.png?lm=1405514004,16/17,Kevin Akpoguma
10.2016,2016-10-06,21,"1,00",1000000,€,Mio.,38,Fortuna Düsseldorf,F. Düsseldorf,https://tmssl.akamaized.net/images/wappen/medium/38.png?lm=1405514004,16/17,Kevin Akpoguma
07.2016,2016-07-22,21,600,600000,€,Tsd.,38,Fortuna Düsseldorf,F. Düsseldorf,https://tmssl.akamaized.net/images/wappen/medium/38.png?lm=1405514004,16/17,Kevin Akpoguma
02.2016,2016-02-11,20,400,400000,€,Tsd.,38,Fortuna Düsseldorf,F. Düsseldorf,https://tmssl.akamaized.net/images/wappen/medium/38.png?lm=1405514004,15/16,Kevin Akpoguma
07.2015,2015-07-01,20,400,400000,€,Tsd.,38,Fortuna Düsseldorf,F. Düsseldorf,https://tmssl.akamaized.net/images/wappen/medium/38.png?lm=1405514004,15/16,Kevin Akpoguma
02.2015,2015-02-04,19,600,600000,€,Tsd.,533,TSG 1899 Hoffenheim,TSG Hoffenheim,https://tmssl.akamaized.net/images/wappen/medium/533.png?lm=1675591766,14/15,Kevin Akpoguma
07.2014,2014-07-10,19,600,600000,€,Tsd.,533,TSG 1899 Hoffenheim,TSG Hoffenheim,https://tmssl.akamaized.net/images/wappen/medium/533.png?lm=1675591766,14/15,Kevin Akpoguma
