date,unformattedDate,age,marketValue,marketValueUnformatted,marketValueCurrency,marketValueNumeral,clubID,clubName,clubShortName,clubImage,seasonID,Name
11.2022,2022-11-09,31,"3,50",3500000,€,Mio.,533,TSG 1899 Hoffenheim,TSG Hoffenheim,https://tmssl.akamaized.net/images/wappen/medium/533.png?lm=1675591766,22/23,Kevin Vogt
06.2022,2022-06-09,30,"3,50",3500000,€,Mio.,533,TSG 1899 Hoffenheim,TSG Hoffenheim,https://tmssl.akamaized.net/images/wappen/medium/533.png?lm=1675591766,21/22,Kevin Vogt
12.2021,2021-12-22,30,"4,00",4000000,€,Mio.,533,TSG 1899 Hoffenheim,TSG Hoffenheim,https://tmssl.akamaized.net/images/wappen/medium/533.png?lm=1675591766,21/22,Kevin Vogt
06.2021,2021-06-09,29,"4,00",4000000,€,Mio.,533,TSG 1899 Hoffenheim,TSG Hoffenheim,https://tmssl.akamaized.net/images/wappen/medium/533.png?lm=1675591766,20/21,Kevin Vogt
02.2021,2021-02-10,29,"6,00",6000000,€,Mio.,533,TSG 1899 Hoffenheim,TSG Hoffenheim,https://tmssl.akamaized.net/images/wappen/medium/533.png?lm=1675591766,20/21,Kevin Vogt
09.2020,2020-09-16,28,"6,00",6000000,€,Mio.,533,TSG 1899 Hoffenheim,TSG Hoffenheim,https://tmssl.akamaized.net/images/wappen/medium/533.png?lm=1675591766,20/21,Kevin Vogt
07.2020,2020-07-08,28,"7,00",7000000,€,Mio.,533,TSG 1899 Hoffenheim,TSG Hoffenheim,https://tmssl.akamaized.net/images/wappen/medium/533.png?lm=1675591766,20/21,Kevin Vogt
04.2020,2020-04-08,28,"8,00",8000000,€,Mio.,86,SV Werder Bremen,Werder Bremen,https://tmssl.akamaized.net/images/wappen/medium/86.png?lm=1403082298,19/20,Kevin Vogt
12.2019,2019-12-17,28,"10,00",10000000,€,Mio.,533,TSG 1899 Hoffenheim,TSG Hoffenheim,https://tmssl.akamaized.net/images/wappen/medium/533.png?lm=1675591766,19/20,Kevin Vogt
06.2019,2019-06-05,27,"12,00",12000000,€,Mio.,533,TSG 1899 Hoffenheim,TSG Hoffenheim,https://tmssl.akamaized.net/images/wappen/medium/533.png?lm=1675591766,18/19,Kevin Vogt
03.2019,2019-03-06,27,"12,00",12000000,€,Mio.,533,TSG 1899 Hoffenheim,TSG Hoffenheim,https://tmssl.akamaized.net/images/wappen/medium/533.png?lm=1675591766,18/19,Kevin Vogt
12.2018,2018-12-18,27,"17,00",17000000,€,Mio.,533,TSG 1899 Hoffenheim,TSG Hoffenheim,https://tmssl.akamaized.net/images/wappen/medium/533.png?lm=1675591766,18/19,Kevin Vogt
10.2018,2018-10-22,27,"17,00",17000000,€,Mio.,533,TSG 1899 Hoffenheim,TSG Hoffenheim,https://tmssl.akamaized.net/images/wappen/medium/533.png?lm=1675591766,18/19,Kevin Vogt
06.2018,2018-06-05,26,"12,00",12000000,€,Mio.,533,TSG 1899 Hoffenheim,TSG Hoffenheim,https://tmssl.akamaized.net/images/wappen/medium/533.png?lm=1675591766,17/18,Kevin Vogt
12.2017,2017-12-28,26,"8,00",8000000,€,Mio.,533,TSG 1899 Hoffenheim,TSG Hoffenheim,https://tmssl.akamaized.net/images/wappen/medium/533.png?lm=1675591766,17/18,Kevin Vogt
06.2017,2017-06-19,25,"6,00",6000000,€,Mio.,533,TSG 1899 Hoffenheim,TSG Hoffenheim,https://tmssl.akamaized.net/images/wappen/medium/533.png?lm=1675591766,16/17,Kevin Vogt
02.2017,2017-02-07,25,"4,50",4500000,€,Mio.,533,TSG 1899 Hoffenheim,TSG Hoffenheim,https://tmssl.akamaized.net/images/wappen/medium/533.png?lm=1675591766,16/17,Kevin Vogt
07.2016,2016-07-22,24,"3,00",3000000,€,Mio.,533,TSG 1899 Hoffenheim,TSG Hoffenheim,https://tmssl.akamaized.net/images/wappen/medium/533.png?lm=1675591766,16/17,Kevin Vogt
02.2016,2016-02-15,24,"4,00",4000000,€,Mio.,3,1.FC Köln,1.FC Köln,https://tmssl.akamaized.net/images/wappen/medium/3.png?lm=1656580823,15/16,Kevin Vogt
07.2015,2015-07-01,23,"4,00",4000000,€,Mio.,3,1.FC Köln,1.FC Köln,https://tmssl.akamaized.net/images/wappen/medium/3.png?lm=1656580823,15/16,Kevin Vogt
02.2015,2015-02-04,23,"3,50",3500000,€,Mio.,3,1.FC Köln,1.FC Köln,https://tmssl.akamaized.net/images/wappen/medium/3.png?lm=1656580823,14/15,Kevin Vogt
02.2014,2014-02-12,22,"1,75",1750000,€,Mio.,167,FC Augsburg,FC Augsburg,https://tmssl.akamaized.net/images/wappen/medium/167.png?lm=1656582897,13/14,Kevin Vogt
06.2013,2013-06-30,21,"1,25",1250000,€,Mio.,167,FC Augsburg,FC Augsburg,https://tmssl.akamaized.net/images/wappen/medium/167.png?lm=1656582897,12/13,Kevin Vogt
01.2013,2013-01-13,21,"1,00",1000000,€,Mio.,167,FC Augsburg,FC Augsburg,https://tmssl.akamaized.net/images/wappen/medium/167.png?lm=1656582897,12/13,Kevin Vogt
06.2012,2012-06-24,20,"1,00",1000000,€,Mio.,80,VfL Bochum,VfL Bochum,https://tmssl.akamaized.net/images/wappen/medium/80.png?lm=1656583090,11/12,Kevin Vogt
01.2012,2012-01-16,20,"1,00",1000000,€,Mio.,80,VfL Bochum,VfL Bochum,https://tmssl.akamaized.net/images/wappen/medium/80.png?lm=1656583090,11/12,Kevin Vogt
06.2011,2011-06-04,19,"1,00",1000000,€,Mio.,80,VfL Bochum,VfL Bochum,https://tmssl.akamaized.net/images/wappen/medium/80.png?lm=1656583090,10/11,Kevin Vogt
02.2011,2011-02-03,19,500,500000,€,Tsd.,80,VfL Bochum,VfL Bochum,https://tmssl.akamaized.net/images/wappen/medium/80.png?lm=1656583090,10/11,Kevin Vogt
01.2011,2011-01-12,19,250,250000,€,Tsd.,80,VfL Bochum,VfL Bochum,https://tmssl.akamaized.net/images/wappen/medium/80.png?lm=1656583090,10/11,Kevin Vogt
03.2009,2009-03-15,17,100,100000,€,Tsd.,3862,VfL Bochum U19,VfL Bochum U19,https://tmssl.akamaized.net/images/wappen/medium/3862.png?lm=1656583091,08/09,Kevin Vogt
